TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.538611,0B / 0B,2.50%,otel-collector,90e39ed0108b,20.84%,104.2MiB / 500MiB,otel-collector,5.56MB / 1.03MB,22
21.531795,0B / 0B,1.91%,otel-collector,90e39ed0108b,22.84%,114.2MiB / 500MiB,otel-collector,6.44MB / 1.22MB,22
31.528098,0B / 0B,1.12%,otel-collector,90e39ed0108b,23.30%,116.5MiB / 500MiB,otel-collector,6.62MB / 1.28MB,22
41.525837,0B / 0B,1.39%,otel-collector,90e39ed0108b,23.72%,118.6MiB / 500MiB,otel-collector,7.13MB / 1.41MB,22
51.535035,0B / 0B,2.21%,otel-collector,90e39ed0108b,25.28%,126.4MiB / 500MiB,otel-collector,7.41MB / 1.5MB,22
61.528171,0B / 0B,1.32%,otel-collector,90e39ed0108b,27.76%,138.8MiB / 500MiB,otel-collector,7.55MB / 1.58MB,22
71.526059,0B / 0B,2.18%,otel-collector,90e39ed0108b,28.70%,143.5MiB / 500MiB,otel-collector,8.81MB / 1.89MB,22
81.535183,0B / 0B,2.43%,otel-collector,90e39ed0108b,29.53%,147.6MiB / 500MiB,otel-collector,9.41MB / 2.04MB,22
91.532027,0B / 0B,1.24%,otel-collector,90e39ed0108b,29.76%,148.8MiB / 500MiB,otel-collector,9.74MB / 2.14MB,22
101.530418,0B / 0B,1.26%,otel-collector,90e39ed0108b,29.71%,148.6MiB / 500MiB,otel-collector,9.86MB / 2.21MB,22
111.533692,0B / 0B,1.98%,otel-collector,90e39ed0108b,30.12%,150.6MiB / 500MiB,otel-collector,10.2MB / 2.31MB,22
121.533707,0B / 0B,1.45%,otel-collector,90e39ed0108b,30.12%,150.6MiB / 500MiB,otel-collector,10.3MB / 2.38MB,22
131.532009,0B / 0B,3.76%,otel-collector,90e39ed0108b,30.77%,153.8MiB / 500MiB,otel-collector,11.6MB / 2.7MB,22
141.524675,0B / 0B,2.56%,otel-collector,90e39ed0108b,31.12%,155.6MiB / 500MiB,otel-collector,12.4MB / 2.91MB,22
151.532801,0B / 0B,1.45%,otel-collector,90e39ed0108b,31.85%,159.3MiB / 500MiB,otel-collector,12.7MB / 3MB,22
161.538190,0B / 0B,1.77%,otel-collector,90e39ed0108b,31.05%,155.3MiB / 500MiB,otel-collector,13.2MB / 3.13MB,22
171.534194,0B / 0B,2.12%,otel-collector,90e39ed0108b,31.05%,155.3MiB / 500MiB,otel-collector,13.6MB / 3.25MB,22
181.533540,0B / 0B,1.41%,otel-collector,90e39ed0108b,31.91%,159.6MiB / 500MiB,otel-collector,13.8MB / 3.34MB,22
191.533904,0B / 0B,3.36%,otel-collector,90e39ed0108b,31.93%,159.6MiB / 500MiB,otel-collector,14.8MB / 3.6MB,22
201.533931,0B / 0B,2.11%,otel-collector,90e39ed0108b,32.49%,162.4MiB / 500MiB,otel-collector,15.9MB / 3.84MB,22
211.534223,0B / 0B,1.58%,otel-collector,90e39ed0108b,32.14%,160.7MiB / 500MiB,otel-collector,16.2MB / 3.95MB,22
221.534376,0B / 0B,2.02%,otel-collector,90e39ed0108b,32.90%,164.5MiB / 500MiB,otel-collector,16.7MB / 4.08MB,22
231.534638,0B / 0B,2.00%,otel-collector,90e39ed0108b,33.31%,166.6MiB / 500MiB,otel-collector,17.3MB / 4.23MB,22
241.532734,0B / 0B,1.68%,otel-collector,90e39ed0108b,32.17%,160.8MiB / 500MiB,otel-collector,17.4MB / 4.3MB,22
251.536660,0B / 0B,2.66%,otel-collector,90e39ed0108b,32.64%,163.2MiB / 500MiB,otel-collector,18.1MB / 4.52MB,22
261.532703,0B / 0B,3.06%,otel-collector,90e39ed0108b,32.67%,163.4MiB / 500MiB,otel-collector,19.4MB / 4.79MB,22
271.536804,0B / 0B,1.82%,otel-collector,90e39ed0108b,32.84%,164.2MiB / 500MiB,otel-collector,20.1MB / 4.96MB,22
281.534807,0B / 0B,76.85%,otel-collector,90e39ed0108b,35.34%,176.7MiB / 500MiB,otel-collector,20.7MB / 14MB,22
291.534183,0B / 0B,3.06%,otel-collector,90e39ed0108b,36.17%,180.8MiB / 500MiB,otel-collector,21.3MB / 14.1MB,22
301.532990,0B / 0B,1.64%,otel-collector,90e39ed0108b,35.67%,178.3MiB / 500MiB,otel-collector,21.4MB / 14.2MB,22
311.535012,0B / 0B,3.09%,otel-collector,90e39ed0108b,36.23%,181.2MiB / 500MiB,otel-collector,22MB / 14.4MB,22
321.533465,0B / 0B,3.06%,otel-collector,90e39ed0108b,36.39%,181.9MiB / 500MiB,otel-collector,23.3MB / 14.7MB,22
331.534146,0B / 0B,2.83%,otel-collector,90e39ed0108b,36.01%,180MiB / 500MiB,otel-collector,23.9MB / 14.8MB,22
341.535562,0B / 0B,1.81%,otel-collector,90e39ed0108b,36.21%,181.1MiB / 500MiB,otel-collector,24.8MB / 15MB,22
351.533036,0B / 0B,2.31%,otel-collector,90e39ed0108b,36.26%,181.3MiB / 500MiB,otel-collector,25.1MB / 15.1MB,22
361.535141,0B / 0B,1.50%,otel-collector,90e39ed0108b,36.27%,181.4MiB / 500MiB,otel-collector,25.4MB / 15.2MB,22
371.537420,0B / 0B,2.38%,otel-collector,90e39ed0108b,36.47%,182.3MiB / 500MiB,otel-collector,26.2MB / 15.5MB,22
381.535153,0B / 0B,4.21%,otel-collector,90e39ed0108b,37.22%,186.1MiB / 500MiB,otel-collector,27.3MB / 15.7MB,22
391.534913,0B / 0B,2.53%,otel-collector,90e39ed0108b,37.22%,186.1MiB / 500MiB,otel-collector,28.4MB / 15.9MB,22
401.537301,0B / 0B,1.98%,otel-collector,90e39ed0108b,37.76%,188.8MiB / 500MiB,otel-collector,29.3MB / 16.1MB,22
411.541314,0B / 0B,2.54%,otel-collector,90e39ed0108b,37.82%,189.1MiB / 500MiB,otel-collector,29.7MB / 16.3MB,22
421.529483,0B / 0B,1.64%,otel-collector,90e39ed0108b,36.58%,182.9MiB / 500MiB,otel-collector,32.2MB / 16.6MB,22
431.531381,0B / 0B,2.55%,otel-collector,90e39ed0108b,36.64%,183.2MiB / 500MiB,otel-collector,32.7MB / 16.8MB,22
441.532847,0B / 0B,1.62%,otel-collector,90e39ed0108b,36.66%,183.3MiB / 500MiB,otel-collector,33.1MB / 16.9MB,22
451.548195,0B / 0B,2.61%,otel-collector,90e39ed0108b,36.01%,180.1MiB / 500MiB,otel-collector,34.4MB / 17.1MB,22
461.533672,0B / 0B,2.40%,otel-collector,90e39ed0108b,35.96%,179.8MiB / 500MiB,otel-collector,35.7MB / 17.4MB,22
471.532519,0B / 0B,1.29%,otel-collector,90e39ed0108b,36.94%,184.7MiB / 500MiB,otel-collector,35.9MB / 17.5MB,22
481.532566,0B / 0B,1.89%,otel-collector,90e39ed0108b,36.38%,181.9MiB / 500MiB,otel-collector,36.4MB / 17.6MB,22
491.531964,4.1kB / 0B,3.13%,otel-collector,90e39ed0108b,35.98%,179.9MiB / 500MiB,otel-collector,36.8MB / 17.8MB,22
501.532580,4.1kB / 0B,1.59%,otel-collector,90e39ed0108b,35.93%,179.6MiB / 500MiB,otel-collector,37.1MB / 17.9MB,22
511.533081,4.1kB / 0B,14.85%,otel-collector,90e39ed0108b,35.99%,179.9MiB / 500MiB,otel-collector,37.9MB / 18.1MB,23
521.534309,4.1kB / 0B,19.85%,otel-collector,90e39ed0108b,36.02%,180.1MiB / 500MiB,otel-collector,39.1MB / 18.4MB,23
531.532774,4.1kB / 0B,2.50%,otel-collector,90e39ed0108b,36.27%,181.3MiB / 500MiB,otel-collector,40.1MB / 18.6MB,23
541.532516,4.1kB / 0B,1.82%,otel-collector,90e39ed0108b,36.08%,180.4MiB / 500MiB,otel-collector,40.8MB / 18.8MB,23
551.534207,4.1kB / 0B,3.18%,otel-collector,90e39ed0108b,36.45%,182.2MiB / 500MiB,otel-collector,41.2MB / 19MB,23
561.534947,4.1kB / 0B,119.32%,otel-collector,90e39ed0108b,36.83%,184.2MiB / 500MiB,otel-collector,41.5MB / 28.4MB,23
571.533329,4.1kB / 0B,3.11%,otel-collector,90e39ed0108b,37.92%,189.6MiB / 500MiB,otel-collector,42.3MB / 28.7MB,23
581.534962,4.1kB / 0B,4.85%,otel-collector,90e39ed0108b,37.18%,185.9MiB / 500MiB,otel-collector,43.3MB / 28.9MB,23
591.532889,4.1kB / 0B,2.75%,otel-collector,90e39ed0108b,37.04%,185.2MiB / 500MiB,otel-collector,44.1MB / 29.1MB,23
