TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.588022,8.19kB / 0B,1.28%,otel-collector,e3993cf5ded1,16.09%,80.45MiB / 500MiB,otel-collector,5.41MB / 736kB,17
21.549910,8.19kB / 0B,1.24%,otel-collector,e3993cf5ded1,16.36%,81.79MiB / 500MiB,otel-collector,5.92MB / 783kB,17
31.533756,8.19kB / 0B,1.11%,otel-collector,e3993cf5ded1,17.24%,86.18MiB / 500MiB,otel-collector,6.34MB / 826kB,22
41.529791,8.19kB / 0B,1.12%,otel-collector,e3993cf5ded1,18.08%,90.38MiB / 500MiB,otel-collector,6.78MB / 870kB,22
51.534446,8.19kB / 0B,1.69%,otel-collector,e3993cf5ded1,18.05%,90.27MiB / 500MiB,otel-collector,6.97MB / 922kB,22
61.531943,8.19kB / 0B,1.05%,otel-collector,e3993cf5ded1,19.48%,97.38MiB / 500MiB,otel-collector,7.33MB / 990kB,22
71.533149,8.19kB / 0B,1.17%,otel-collector,e3993cf5ded1,20.57%,102.8MiB / 500MiB,otel-collector,8.06MB / 1.07MB,22
81.534226,8.19kB / 0B,1.19%,otel-collector,e3993cf5ded1,20.59%,103MiB / 500MiB,otel-collector,8.33MB / 1.11MB,22
91.531669,8.19kB / 0B,1.44%,otel-collector,e3993cf5ded1,21.38%,106.9MiB / 500MiB,otel-collector,8.61MB / 1.16MB,22
101.533457,8.19kB / 0B,6.51%,otel-collector,e3993cf5ded1,22.92%,114.6MiB / 500MiB,otel-collector,8.87MB / 1.2MB,22
111.534995,8.19kB / 0B,1.65%,otel-collector,e3993cf5ded1,22.83%,114.2MiB / 500MiB,otel-collector,8.95MB / 1.25MB,22
121.534930,8.19kB / 0B,1.39%,otel-collector,e3993cf5ded1,23.24%,116.2MiB / 500MiB,otel-collector,9.39MB / 1.32MB,22
131.534304,8.19kB / 0B,1.24%,otel-collector,e3993cf5ded1,24.11%,120.6MiB / 500MiB,otel-collector,9.69MB / 1.39MB,22
141.531447,8.19kB / 0B,1.31%,otel-collector,e3993cf5ded1,24.19%,121MiB / 500MiB,otel-collector,10.1MB / 1.44MB,22
151.533474,8.19kB / 0B,1.26%,otel-collector,e3993cf5ded1,24.63%,123.2MiB / 500MiB,otel-collector,10.5MB / 1.48MB,22
161.533940,8.19kB / 0B,1.30%,otel-collector,e3993cf5ded1,24.63%,123.2MiB / 500MiB,otel-collector,10.8MB / 1.53MB,22
171.534631,8.19kB / 0B,1.64%,otel-collector,e3993cf5ded1,25.04%,125.2MiB / 500MiB,otel-collector,10.9MB / 1.58MB,22
181.532053,8.19kB / 0B,1.32%,otel-collector,e3993cf5ded1,25.07%,125.3MiB / 500MiB,otel-collector,11.3MB / 1.65MB,22
191.535477,8.19kB / 0B,1.23%,otel-collector,e3993cf5ded1,25.12%,125.6MiB / 500MiB,otel-collector,11.7MB / 1.72MB,22
201.532029,8.19kB / 0B,1.24%,otel-collector,e3993cf5ded1,25.15%,125.7MiB / 500MiB,otel-collector,12MB / 1.76MB,22
211.534212,8.19kB / 0B,1.24%,otel-collector,e3993cf5ded1,25.15%,125.8MiB / 500MiB,otel-collector,12.5MB / 1.81MB,22
221.533999,8.19kB / 0B,1.73%,otel-collector,e3993cf5ded1,26.76%,133.8MiB / 500MiB,otel-collector,12.8MB / 1.86MB,22
231.536261,8.19kB / 0B,1.58%,otel-collector,e3993cf5ded1,26.76%,133.8MiB / 500MiB,otel-collector,12.9MB / 1.91MB,22
241.533218,8.19kB / 0B,1.22%,otel-collector,e3993cf5ded1,26.77%,133.8MiB / 500MiB,otel-collector,13.3MB / 1.97MB,22
251.533410,8.19kB / 0B,1.20%,otel-collector,e3993cf5ded1,26.78%,133.9MiB / 500MiB,otel-collector,13.7MB / 2.05MB,22
261.534131,8.19kB / 0B,1.44%,otel-collector,e3993cf5ded1,26.78%,133.9MiB / 500MiB,otel-collector,14MB / 2.1MB,22
271.542031,8.19kB / 0B,1.24%,otel-collector,e3993cf5ded1,26.84%,134.2MiB / 500MiB,otel-collector,14.5MB / 2.14MB,22
281.535324,8.19kB / 0B,1.26%,otel-collector,e3993cf5ded1,26.84%,134.2MiB / 500MiB,otel-collector,14.7MB / 2.18MB,22
291.532835,8.19kB / 0B,1.57%,otel-collector,e3993cf5ded1,30.04%,150.2MiB / 500MiB,otel-collector,15.4MB / 9.61MB,22
301.533992,8.19kB / 0B,1.17%,otel-collector,e3993cf5ded1,28.91%,144.6MiB / 500MiB,otel-collector,15.9MB / 9.68MB,22
311.532908,8.19kB / 0B,1.16%,otel-collector,e3993cf5ded1,29.12%,145.6MiB / 500MiB,otel-collector,16.2MB / 9.76MB,22
321.531814,8.19kB / 0B,1.72%,otel-collector,e3993cf5ded1,30.34%,151.7MiB / 500MiB,otel-collector,16.5MB / 9.81MB,22
