TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.553031,8.19kB / 0B,1.40%,otel-collector,d1e02d3c67ff,15.87%,79.34MiB / 500MiB,otel-collector,4.94MB / 295kB,21
21.533233,8.19kB / 0B,1.17%,otel-collector,d1e02d3c67ff,17.45%,87.24MiB / 500MiB,otel-collector,5.64MB / 348kB,21
31.534999,8.19kB / 0B,1.67%,otel-collector,d1e02d3c67ff,19.62%,98.11MiB / 500MiB,otel-collector,5.97MB / 408kB,21
41.543919,8.19kB / 0B,1.20%,otel-collector,d1e02d3c67ff,20.43%,102.1MiB / 500MiB,otel-collector,6.39MB / 470kB,21
51.534217,8.19kB / 0B,1.15%,otel-collector,d1e02d3c67ff,20.95%,104.7MiB / 500MiB,otel-collector,6.63MB / 515kB,21
61.532804,8.19kB / 0B,1.10%,otel-collector,d1e02d3c67ff,21.49%,107.5MiB / 500MiB,otel-collector,6.78MB / 553kB,21
71.532937,8.19kB / 0B,1.53%,otel-collector,d1e02d3c67ff,22.34%,111.7MiB / 500MiB,otel-collector,7.5MB / 636kB,22
81.532120,8.19kB / 0B,1.28%,otel-collector,d1e02d3c67ff,22.31%,111.6MiB / 500MiB,otel-collector,7.87MB / 684kB,22
91.532243,8.19kB / 0B,1.29%,otel-collector,d1e02d3c67ff,23.14%,115.7MiB / 500MiB,otel-collector,8.14MB / 744kB,22
101.529889,8.19kB / 0B,1.18%,otel-collector,d1e02d3c67ff,23.15%,115.7MiB / 500MiB,otel-collector,8.47MB / 802kB,22
111.531220,8.19kB / 0B,1.55%,otel-collector,d1e02d3c67ff,23.56%,117.8MiB / 500MiB,otel-collector,8.73MB / 848kB,22
121.526612,8.19kB / 0B,1.10%,otel-collector,d1e02d3c67ff,23.57%,117.8MiB / 500MiB,otel-collector,8.87MB / 888kB,22
131.532974,8.19kB / 0B,1.08%,otel-collector,d1e02d3c67ff,23.59%,117.9MiB / 500MiB,otel-collector,9.35MB / 970kB,22
141.535714,8.19kB / 0B,1.18%,otel-collector,d1e02d3c67ff,23.73%,118.7MiB / 500MiB,otel-collector,9.88MB / 1.02MB,22
151.534349,8.19kB / 0B,1.48%,otel-collector,d1e02d3c67ff,25.75%,128.8MiB / 500MiB,otel-collector,10.2MB / 1.08MB,22
