TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.533850,4.1kB / 0B,1.66%,otel-collector,0b5685834abb,17.21%,86.05MiB / 500MiB,otel-collector,4.9MB / 135kB,22
21.533585,4.1kB / 0B,13.16%,otel-collector,0b5685834abb,24.59%,123MiB / 500MiB,otel-collector,5.77MB / 2.01MB,22
31.565108,4.1kB / 0B,3.02%,otel-collector,0b5685834abb,26.94%,134.7MiB / 500MiB,otel-collector,6.03MB / 2.46MB,22
41.524753,4.1kB / 0B,1.41%,otel-collector,0b5685834abb,27.59%,138MiB / 500MiB,otel-collector,6.47MB / 2.75MB,22
51.525236,4.1kB / 0B,1.67%,otel-collector,0b5685834abb,27.60%,138MiB / 500MiB,otel-collector,6.78MB / 2.95MB,22
61.533074,4.1kB / 0B,1.60%,otel-collector,0b5685834abb,27.61%,138MiB / 500MiB,otel-collector,6.91MB / 3.04MB,22
71.532544,4.1kB / 0B,1.98%,otel-collector,0b5685834abb,28.75%,143.8MiB / 500MiB,otel-collector,7.63MB / 3.29MB,22
81.533202,4.1kB / 0B,2.75%,otel-collector,0b5685834abb,28.80%,144MiB / 500MiB,otel-collector,8.15MB / 3.53MB,22
91.533009,4.1kB / 0B,1.43%,otel-collector,0b5685834abb,29.25%,146.3MiB / 500MiB,otel-collector,8.37MB / 4.01MB,22
101.534817,4.1kB / 0B,1.35%,otel-collector,0b5685834abb,29.21%,146MiB / 500MiB,otel-collector,8.7MB / 4.34MB,22
111.524392,4.1kB / 0B,1.55%,otel-collector,0b5685834abb,29.21%,146.1MiB / 500MiB,otel-collector,8.83MB / 4.48MB,22
121.533818,4.1kB / 0B,1.46%,otel-collector,0b5685834abb,29.21%,146.1MiB / 500MiB,otel-collector,9.1MB / 4.65MB,22
131.596463,4.1kB / 0B,1.77%,otel-collector,0b5685834abb,29.66%,148.3MiB / 500MiB,otel-collector,9.61MB / 4.91MB,22
141.535465,4.1kB / 0B,1.63%,otel-collector,0b5685834abb,29.75%,148.7MiB / 500MiB,otel-collector,10.4MB / 5.21MB,22
151.534358,4.1kB / 0B,1.42%,otel-collector,0b5685834abb,30.07%,150.4MiB / 500MiB,otel-collector,10.7MB / 5.7MB,22
161.533412,4.1kB / 0B,1.51%,otel-collector,0b5685834abb,30.27%,151.4MiB / 500MiB,otel-collector,11.1MB / 6.12MB,22
171.533173,4.1kB / 0B,1.95%,otel-collector,0b5685834abb,30.08%,150.4MiB / 500MiB,otel-collector,11.2MB / 6.19MB,22
181.534334,4.1kB / 0B,1.60%,otel-collector,0b5685834abb,30.08%,150.4MiB / 500MiB,otel-collector,11.6MB / 6.43MB,22
191.532273,4.1kB / 0B,1.45%,otel-collector,0b5685834abb,30.19%,151MiB / 500MiB,otel-collector,11.9MB / 6.75MB,22
201.533027,4.1kB / 0B,2.09%,otel-collector,0b5685834abb,30.94%,154.7MiB / 500MiB,otel-collector,12.5MB / 6.85MB,22
211.533085,4.1kB / 0B,1.87%,otel-collector,0b5685834abb,30.89%,154.5MiB / 500MiB,otel-collector,13MB / 7.23MB,22
221.533476,4.1kB / 0B,1.89%,otel-collector,0b5685834abb,30.88%,154.4MiB / 500MiB,otel-collector,13.4MB / 7.75MB,22
231.525829,4.1kB / 0B,1.30%,otel-collector,0b5685834abb,30.88%,154.4MiB / 500MiB,otel-collector,13.5MB / 8.03MB,22
241.533540,4.1kB / 0B,1.64%,otel-collector,0b5685834abb,30.83%,154.1MiB / 500MiB,otel-collector,13.8MB / 8.12MB,22
251.534422,4.1kB / 0B,1.79%,otel-collector,0b5685834abb,30.89%,154.4MiB / 500MiB,otel-collector,14.1MB / 8.38MB,22
261.533239,4.1kB / 0B,6.08%,otel-collector,0b5685834abb,30.85%,154.3MiB / 500MiB,otel-collector,14.5MB / 8.61MB,22
271.532399,4.1kB / 0B,1.31%,otel-collector,0b5685834abb,35.10%,175.5MiB / 500MiB,otel-collector,15.6MB / 15.7MB,22
281.533489,4.1kB / 0B,1.94%,otel-collector,0b5685834abb,35.01%,175MiB / 500MiB,otel-collector,16.1MB / 16.3MB,22
291.534523,4.1kB / 0B,2.02%,otel-collector,0b5685834abb,35.55%,177.8MiB / 500MiB,otel-collector,16.4MB / 16.7MB,22
301.532801,4.1kB / 0B,1.51%,otel-collector,0b5685834abb,35.53%,177.7MiB / 500MiB,otel-collector,16.6MB / 16.9MB,22
311.534408,4.1kB / 0B,1.45%,otel-collector,0b5685834abb,34.93%,174.6MiB / 500MiB,otel-collector,17MB / 17.2MB,22
321.534667,4.1kB / 0B,2.49%,otel-collector,0b5685834abb,35.05%,175.3MiB / 500MiB,otel-collector,17.3MB / 17.3MB,22
331.535823,4.1kB / 0B,2.05%,otel-collector,0b5685834abb,35.51%,177.6MiB / 500MiB,otel-collector,17.8MB / 17.5MB,22
341.533937,4.1kB / 0B,1.43%,otel-collector,0b5685834abb,35.04%,175.2MiB / 500MiB,otel-collector,18.3MB / 17.8MB,22
351.529380,4.1kB / 0B,1.91%,otel-collector,0b5685834abb,35.09%,175.5MiB / 500MiB,otel-collector,18.6MB / 18.4MB,22
361.535750,4.1kB / 0B,1.38%,otel-collector,0b5685834abb,35.04%,175.2MiB / 500MiB,otel-collector,18.8MB / 18.6MB,22
371.533937,4.1kB / 0B,1.31%,otel-collector,0b5685834abb,35.33%,176.6MiB / 500MiB,otel-collector,19.1MB / 18.8MB,22
381.534674,4.1kB / 0B,2.40%,otel-collector,0b5685834abb,35.44%,177.2MiB / 500MiB,otel-collector,19.5MB / 18.9MB,22
391.534500,4.1kB / 0B,1.26%,otel-collector,0b5685834abb,35.50%,177.5MiB / 500MiB,otel-collector,19.9MB / 19.2MB,22
401.534604,4.1kB / 0B,3.84%,otel-collector,0b5685834abb,35.43%,177.2MiB / 500MiB,otel-collector,20.6MB / 19.5MB,22
411.537270,4.1kB / 0B,12.56%,otel-collector,0b5685834abb,35.45%,177.2MiB / 500MiB,otel-collector,20.9MB / 20MB,22
421.534433,4.1kB / 0B,1.77%,otel-collector,0b5685834abb,36.28%,181.4MiB / 500MiB,otel-collector,21.3MB / 20.5MB,22
431.527981,8.19kB / 0B,1.28%,otel-collector,0b5685834abb,36.74%,183.7MiB / 500MiB,otel-collector,23.5MB / 22.2MB,22
441.535711,8.19kB / 0B,3.91%,otel-collector,0b5685834abb,36.85%,184.3MiB / 500MiB,otel-collector,23.7MB / 22.3MB,22
451.530406,8.19kB / 0B,1.09%,otel-collector,0b5685834abb,38.03%,190.1MiB / 500MiB,otel-collector,24.2MB / 22.5MB,22
461.526032,8.19kB / 0B,3.07%,otel-collector,0b5685834abb,36.60%,183MiB / 500MiB,otel-collector,24.8MB / 22.8MB,22
471.527845,8.19kB / 0B,2.14%,otel-collector,0b5685834abb,37.15%,185.8MiB / 500MiB,otel-collector,25.2MB / 22.9MB,22
481.526784,8.19kB / 0B,1.56%,otel-collector,0b5685834abb,35.62%,178.1MiB / 500MiB,otel-collector,25.6MB / 23.6MB,22
491.534232,8.19kB / 0B,1.38%,otel-collector,0b5685834abb,36.16%,180.8MiB / 500MiB,otel-collector,26MB / 24MB,22
501.534525,8.19kB / 0B,1.45%,otel-collector,0b5685834abb,36.26%,181.3MiB / 500MiB,otel-collector,26.2MB / 24.1MB,22
511.531377,8.19kB / 0B,1.14%,otel-collector,0b5685834abb,36.39%,181.9MiB / 500MiB,otel-collector,26.6MB / 24.4MB,22
521.532394,8.19kB / 0B,1.71%,otel-collector,0b5685834abb,35.79%,179MiB / 500MiB,otel-collector,27MB / 24.6MB,22
531.532707,8.19kB / 0B,1.23%,otel-collector,0b5685834abb,35.90%,179.5MiB / 500MiB,otel-collector,27.3MB / 24.7MB,22
541.533582,8.19kB / 0B,1.24%,otel-collector,0b5685834abb,35.91%,179.5MiB / 500MiB,otel-collector,27.8MB / 25.1MB,22
551.549952,12.3kB / 0B,1.31%,otel-collector,0b5685834abb,34.15%,170.8MiB / 500MiB,otel-collector,28.2MB / 25.7MB,22
561.540912,12.3kB / 0B,2.32%,otel-collector,0b5685834abb,32.46%,162.3MiB / 500MiB,otel-collector,28.7MB / 30.1MB,22
571.534220,12.3kB / 0B,1.98%,otel-collector,0b5685834abb,34.90%,174.5MiB / 500MiB,otel-collector,29.6MB / 30.5MB,22
581.532762,12.3kB / 0B,1.48%,otel-collector,0b5685834abb,35.00%,175MiB / 500MiB,otel-collector,30MB / 30.8MB,22
591.530806,12.3kB / 0B,1.37%,otel-collector,0b5685834abb,35.95%,179.7MiB / 500MiB,otel-collector,30.1MB / 31.1MB,22
