TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.536508,0B / 0B,1.50%,otel-collector,7a8c8ec14a3f,18.47%,92.34MiB / 500MiB,otel-collector,5.12MB / 174kB,21
21.534693,0B / 0B,26.02%,otel-collector,7a8c8ec14a3f,23.61%,118MiB / 500MiB,otel-collector,5.8MB / 1.13MB,21
31.531803,0B / 0B,2.49%,otel-collector,7a8c8ec14a3f,26.00%,130MiB / 500MiB,otel-collector,5.97MB / 1.45MB,21
41.534405,0B / 0B,1.63%,otel-collector,7a8c8ec14a3f,26.82%,134.1MiB / 500MiB,otel-collector,6.38MB / 1.67MB,21
51.532215,0B / 0B,8.02%,otel-collector,7a8c8ec14a3f,27.23%,136.2MiB / 500MiB,otel-collector,6.66MB / 1.87MB,21
61.531880,0B / 0B,1.40%,otel-collector,7a8c8ec14a3f,27.29%,136.4MiB / 500MiB,otel-collector,6.96MB / 1.98MB,21
71.533642,0B / 0B,1.86%,otel-collector,7a8c8ec14a3f,28.61%,143MiB / 500MiB,otel-collector,7.72MB / 2.32MB,21
81.533281,0B / 0B,1.97%,otel-collector,7a8c8ec14a3f,28.62%,143.1MiB / 500MiB,otel-collector,8.02MB / 2.64MB,21
91.529480,0B / 0B,5.03%,otel-collector,7a8c8ec14a3f,28.82%,144.1MiB / 500MiB,otel-collector,8.26MB / 3.02MB,21
101.525351,0B / 0B,1.88%,otel-collector,7a8c8ec14a3f,28.87%,144.3MiB / 500MiB,otel-collector,8.51MB / 3.24MB,21
111.530582,0B / 0B,1.92%,otel-collector,7a8c8ec14a3f,28.88%,144.4MiB / 500MiB,otel-collector,8.67MB / 3.4MB,21
121.534850,0B / 0B,1.61%,otel-collector,7a8c8ec14a3f,29.77%,148.8MiB / 500MiB,otel-collector,8.93MB / 3.48MB,21
131.535069,0B / 0B,1.75%,otel-collector,7a8c8ec14a3f,29.81%,149.1MiB / 500MiB,otel-collector,9.56MB / 3.78MB,23
141.533764,0B / 0B,2.26%,otel-collector,7a8c8ec14a3f,29.82%,149.1MiB / 500MiB,otel-collector,10.2MB / 3.98MB,23
151.533675,0B / 0B,7.69%,otel-collector,7a8c8ec14a3f,29.84%,149.2MiB / 500MiB,otel-collector,10.4MB / 4.49MB,23
161.532551,0B / 0B,4.01%,otel-collector,7a8c8ec14a3f,30.51%,152.5MiB / 500MiB,otel-collector,10.7MB / 4.88MB,23
171.532925,0B / 0B,3.90%,otel-collector,7a8c8ec14a3f,30.53%,152.6MiB / 500MiB,otel-collector,11MB / 5.05MB,23
181.534256,0B / 0B,1.52%,otel-collector,7a8c8ec14a3f,31.08%,155.4MiB / 500MiB,otel-collector,11.1MB / 5.2MB,23
191.531168,0B / 0B,1.90%,otel-collector,7a8c8ec14a3f,31.48%,157.4MiB / 500MiB,otel-collector,11.6MB / 5.48MB,23
201.533775,0B / 0B,4.45%,otel-collector,7a8c8ec14a3f,31.71%,158.6MiB / 500MiB,otel-collector,12.3MB / 5.64MB,23
211.535800,0B / 0B,2.23%,otel-collector,7a8c8ec14a3f,31.77%,158.8MiB / 500MiB,otel-collector,12.5MB / 6.06MB,23
221.525876,0B / 0B,1.78%,otel-collector,7a8c8ec14a3f,33.15%,165.7MiB / 500MiB,otel-collector,12.7MB / 6.42MB,23
231.532465,0B / 0B,3.81%,otel-collector,7a8c8ec14a3f,33.39%,166.9MiB / 500MiB,otel-collector,12.9MB / 6.56MB,23
241.532910,0B / 0B,1.54%,otel-collector,7a8c8ec14a3f,34.32%,171.6MiB / 500MiB,otel-collector,13.2MB / 6.7MB,23
251.534287,4.1kB / 0B,1.71%,otel-collector,7a8c8ec14a3f,34.37%,171.9MiB / 500MiB,otel-collector,13.6MB / 7.01MB,23
261.534919,4.1kB / 0B,4.25%,otel-collector,7a8c8ec14a3f,33.92%,169.6MiB / 500MiB,otel-collector,14.1MB / 7.16MB,23
271.534734,4.1kB / 0B,1.95%,otel-collector,7a8c8ec14a3f,34.05%,170.2MiB / 500MiB,otel-collector,14.3MB / 7.31MB,23
281.532632,4.1kB / 0B,3.91%,otel-collector,7a8c8ec14a3f,34.80%,174MiB / 500MiB,otel-collector,14.7MB / 7.84MB,23
291.532586,4.1kB / 0B,3.77%,otel-collector,7a8c8ec14a3f,33.59%,168MiB / 500MiB,otel-collector,15.5MB / 15.5MB,23
301.533088,4.1kB / 0B,1.71%,otel-collector,7a8c8ec14a3f,34.27%,171.4MiB / 500MiB,otel-collector,15.7MB / 15.7MB,23
311.532028,4.1kB / 0B,1.82%,otel-collector,7a8c8ec14a3f,35.78%,178.9MiB / 500MiB,otel-collector,16.2MB / 16MB,23
321.530828,4.1kB / 0B,5.08%,otel-collector,7a8c8ec14a3f,34.22%,171.1MiB / 500MiB,otel-collector,16.7MB / 16.2MB,23
331.534444,4.1kB / 0B,1.89%,otel-collector,7a8c8ec14a3f,34.82%,174.1MiB / 500MiB,otel-collector,17.1MB / 16.4MB,23
341.560760,4.1kB / 0B,8.13%,otel-collector,7a8c8ec14a3f,33.37%,166.8MiB / 500MiB,otel-collector,17.5MB / 17MB,23
351.533628,4.1kB / 0B,8.93%,otel-collector,7a8c8ec14a3f,33.96%,169.8MiB / 500MiB,otel-collector,17.8MB / 17.3MB,23
361.533444,4.1kB / 0B,1.88%,otel-collector,7a8c8ec14a3f,33.99%,170MiB / 500MiB,otel-collector,18MB / 17.5MB,23
371.532887,4.1kB / 0B,1.55%,otel-collector,7a8c8ec14a3f,33.55%,167.8MiB / 500MiB,otel-collector,18.4MB / 17.8MB,23
381.534359,4.1kB / 0B,3.83%,otel-collector,7a8c8ec14a3f,33.55%,167.8MiB / 500MiB,otel-collector,18.8MB / 17.9MB,23
391.535712,4.1kB / 0B,1.61%,otel-collector,7a8c8ec14a3f,34.12%,170.6MiB / 500MiB,otel-collector,19.4MB / 18.1MB,23
401.561816,4.1kB / 0B,6.93%,otel-collector,7a8c8ec14a3f,34.71%,173.5MiB / 500MiB,otel-collector,19.8MB / 18.6MB,23
411.534517,4.1kB / 0B,7.11%,otel-collector,7a8c8ec14a3f,35.36%,176.8MiB / 500MiB,otel-collector,20MB / 19MB,23
