TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.578432,4.1kB / 0B,10.05%,otel-collector,ea2a24565341,16.65%,83.27MiB / 500MiB,otel-collector,4.49MB / 207kB,21
21.534023,4.1kB / 0B,2.03%,otel-collector,ea2a24565341,25.16%,125.8MiB / 500MiB,otel-collector,5.41MB / 1.8MB,21
31.533576,4.1kB / 0B,1.47%,otel-collector,ea2a24565341,27.46%,137.3MiB / 500MiB,otel-collector,5.6MB / 2.26MB,21
41.532181,4.1kB / 0B,1.46%,otel-collector,ea2a24565341,27.48%,137.4MiB / 500MiB,otel-collector,6.05MB / 2.7MB,21
51.531215,4.1kB / 0B,1.89%,otel-collector,ea2a24565341,27.90%,139.5MiB / 500MiB,otel-collector,6.47MB / 2.93MB,21
61.532448,4.1kB / 0B,1.49%,otel-collector,ea2a24565341,27.57%,137.9MiB / 500MiB,otel-collector,6.63MB / 3.02MB,21
71.533663,4.1kB / 0B,1.88%,otel-collector,ea2a24565341,27.64%,138.2MiB / 500MiB,otel-collector,7.29MB / 3.28MB,21
81.532668,4.1kB / 0B,1.40%,otel-collector,ea2a24565341,28.07%,140.3MiB / 500MiB,otel-collector,7.9MB / 3.61MB,21
91.525762,4.1kB / 0B,5.34%,otel-collector,ea2a24565341,28.07%,140.4MiB / 500MiB,otel-collector,8.08MB / 4.08MB,21
101.533498,4.1kB / 0B,1.49%,otel-collector,ea2a24565341,28.08%,140.4MiB / 500MiB,otel-collector,8.47MB / 4.45MB,21
111.532238,4.1kB / 0B,1.69%,otel-collector,ea2a24565341,28.09%,140.4MiB / 500MiB,otel-collector,8.68MB / 4.7MB,21
121.531393,4.1kB / 0B,1.46%,otel-collector,ea2a24565341,28.09%,140.4MiB / 500MiB,otel-collector,8.91MB / 4.8MB,21
131.532999,4.1kB / 0B,1.73%,otel-collector,ea2a24565341,28.26%,141.3MiB / 500MiB,otel-collector,9.46MB / 5.02MB,21
141.532005,4.1kB / 0B,1.40%,otel-collector,ea2a24565341,28.79%,144MiB / 500MiB,otel-collector,10MB / 5.32MB,21
151.566756,4.1kB / 0B,1.42%,otel-collector,ea2a24565341,28.80%,144MiB / 500MiB,otel-collector,10.4MB / 5.66MB,21
161.531732,4.1kB / 0B,1.48%,otel-collector,ea2a24565341,30.67%,153.4MiB / 500MiB,otel-collector,10.9MB / 6.1MB,21
171.534211,4.1kB / 0B,1.61%,otel-collector,ea2a24565341,30.77%,153.9MiB / 500MiB,otel-collector,11.1MB / 6.46MB,21
181.534471,4.1kB / 0B,1.72%,otel-collector,ea2a24565341,30.72%,153.6MiB / 500MiB,otel-collector,11.4MB / 6.58MB,21
191.533333,4.1kB / 0B,1.85%,otel-collector,ea2a24565341,31.14%,155.7MiB / 500MiB,otel-collector,11.9MB / 6.85MB,21
201.535050,4.1kB / 0B,1.57%,otel-collector,ea2a24565341,31.15%,155.7MiB / 500MiB,otel-collector,12.3MB / 7.04MB,21
211.528302,4.1kB / 0B,1.51%,otel-collector,ea2a24565341,31.16%,155.8MiB / 500MiB,otel-collector,12.7MB / 7.34MB,21
221.535742,4.1kB / 0B,1.57%,otel-collector,ea2a24565341,31.56%,157.8MiB / 500MiB,otel-collector,13.2MB / 7.83MB,21
231.533025,4.1kB / 0B,1.46%,otel-collector,ea2a24565341,32.01%,160.1MiB / 500MiB,otel-collector,13.3MB / 8.15MB,21
241.532818,4.1kB / 0B,2.07%,otel-collector,ea2a24565341,32.42%,162.1MiB / 500MiB,otel-collector,13.6MB / 8.3MB,21
251.529279,8.19kB / 0B,2.14%,otel-collector,ea2a24565341,32.38%,161.9MiB / 500MiB,otel-collector,14MB / 8.53MB,21
261.534512,8.19kB / 0B,7.01%,otel-collector,ea2a24565341,30.95%,154.8MiB / 500MiB,otel-collector,14.4MB / 8.75MB,21
271.534251,8.19kB / 0B,1.51%,otel-collector,ea2a24565341,30.95%,154.8MiB / 500MiB,otel-collector,14.8MB / 8.86MB,21
281.533208,8.19kB / 0B,1.89%,otel-collector,ea2a24565341,34.79%,174MiB / 500MiB,otel-collector,15.5MB / 16.3MB,21
291.533679,8.19kB / 0B,1.56%,otel-collector,ea2a24565341,35.47%,177.4MiB / 500MiB,otel-collector,15.9MB / 16.7MB,21
301.533190,8.19kB / 0B,1.57%,otel-collector,ea2a24565341,35.02%,175.1MiB / 500MiB,otel-collector,16.3MB / 17.1MB,21
311.532130,8.19kB / 0B,1.72%,otel-collector,ea2a24565341,35.28%,176.4MiB / 500MiB,otel-collector,16.7MB / 17.4MB,21
321.533095,8.19kB / 0B,1.53%,otel-collector,ea2a24565341,35.34%,176.7MiB / 500MiB,otel-collector,16.8MB / 17.6MB,21
331.528341,8.19kB / 0B,1.37%,otel-collector,ea2a24565341,35.35%,176.8MiB / 500MiB,otel-collector,17.4MB / 17.7MB,21
341.534052,8.19kB / 0B,1.66%,otel-collector,ea2a24565341,35.80%,179MiB / 500MiB,otel-collector,17.8MB / 18.1MB,21
351.534134,8.19kB / 0B,1.46%,otel-collector,ea2a24565341,35.40%,177MiB / 500MiB,otel-collector,18.1MB / 18.4MB,21
361.536507,8.19kB / 0B,3.67%,otel-collector,ea2a24565341,35.40%,177MiB / 500MiB,otel-collector,18.6MB / 18.7MB,21
371.563487,8.19kB / 0B,1.88%,otel-collector,ea2a24565341,35.07%,175.3MiB / 500MiB,otel-collector,18.9MB / 19.1MB,22
