TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.566445,0B / 0B,11.35%,otel-collector,b0d2aeafcf9c,23.65%,118.2MiB / 500MiB,otel-collector,8.26MB / 6.01MB,21
21.531962,0B / 0B,18.12%,otel-collector,b0d2aeafcf9c,27.94%,139.7MiB / 500MiB,otel-collector,15.4MB / 10.9MB,21
31.550622,0B / 0B,17.69%,otel-collector,b0d2aeafcf9c,27.91%,139.6MiB / 500MiB,otel-collector,23.3MB / 16.5MB,21
41.526011,0B / 0B,7.20%,otel-collector,b0d2aeafcf9c,26.89%,134.4MiB / 500MiB,otel-collector,30.5MB / 21.7MB,21
51.534104,0B / 0B,13.89%,otel-collector,b0d2aeafcf9c,27.38%,136.9MiB / 500MiB,otel-collector,37.7MB / 26.8MB,22
61.532143,0B / 0B,10.02%,otel-collector,b0d2aeafcf9c,29.36%,146.8MiB / 500MiB,otel-collector,45.8MB / 32.6MB,22
71.532740,0B / 0B,3.92%,otel-collector,b0d2aeafcf9c,30.43%,152.2MiB / 500MiB,otel-collector,53.8MB / 38.8MB,22
81.530547,0B / 0B,16.69%,otel-collector,b0d2aeafcf9c,29.96%,149.8MiB / 500MiB,otel-collector,61.1MB / 44MB,22
91.570403,0B / 0B,13.69%,otel-collector,b0d2aeafcf9c,30.05%,150.2MiB / 500MiB,otel-collector,68.1MB / 48.9MB,22
101.541779,0B / 0B,13.52%,otel-collector,b0d2aeafcf9c,28.02%,140.1MiB / 500MiB,otel-collector,76.3MB / 54.9MB,22
111.532079,0B / 0B,18.38%,otel-collector,b0d2aeafcf9c,29.14%,145.7MiB / 500MiB,otel-collector,84.3MB / 60.4MB,22
121.570026,0B / 0B,19.17%,otel-collector,b0d2aeafcf9c,31.05%,155.2MiB / 500MiB,otel-collector,92.5MB / 66.3MB,22
131.625004,0B / 0B,12.53%,otel-collector,b0d2aeafcf9c,32.31%,161.6MiB / 500MiB,otel-collector,101MB / 72.3MB,22
141.536470,0B / 0B,11.88%,otel-collector,b0d2aeafcf9c,30.27%,151.3MiB / 500MiB,otel-collector,108MB / 77.6MB,22
151.534574,0B / 0B,14.56%,otel-collector,b0d2aeafcf9c,29.95%,149.8MiB / 500MiB,otel-collector,114MB / 82MB,22
161.532845,0B / 0B,16.80%,otel-collector,b0d2aeafcf9c,30.71%,153.6MiB / 500MiB,otel-collector,122MB / 87.1MB,22
171.559532,0B / 0B,13.53%,otel-collector,b0d2aeafcf9c,29.18%,145.9MiB / 500MiB,otel-collector,129MB / 92.5MB,22
181.552335,0B / 0B,12.19%,otel-collector,b0d2aeafcf9c,28.67%,143.3MiB / 500MiB,otel-collector,137MB / 97.9MB,22
191.540966,0B / 0B,18.90%,otel-collector,b0d2aeafcf9c,30.82%,154.1MiB / 500MiB,otel-collector,144MB / 103MB,22
201.540243,0B / 0B,8.52%,otel-collector,b0d2aeafcf9c,28.17%,140.8MiB / 500MiB,otel-collector,152MB / 109MB,22
211.533486,0B / 0B,12.56%,otel-collector,b0d2aeafcf9c,28.57%,142.9MiB / 500MiB,otel-collector,159MB / 114MB,22
221.553037,0B / 0B,13.52%,otel-collector,b0d2aeafcf9c,29.71%,148.6MiB / 500MiB,otel-collector,166MB / 119MB,22
231.534912,0B / 0B,16.90%,otel-collector,b0d2aeafcf9c,30.59%,153MiB / 500MiB,otel-collector,174MB / 124MB,22
241.537685,0B / 0B,8.99%,otel-collector,b0d2aeafcf9c,31.28%,156.4MiB / 500MiB,otel-collector,182MB / 130MB,22
251.532593,0B / 0B,14.34%,otel-collector,b0d2aeafcf9c,30.16%,150.8MiB / 500MiB,otel-collector,189MB / 136MB,22
261.531822,0B / 0B,14.99%,otel-collector,b0d2aeafcf9c,31.90%,159.5MiB / 500MiB,otel-collector,198MB / 142MB,22
271.535074,0B / 0B,13.50%,otel-collector,b0d2aeafcf9c,30.92%,154.6MiB / 500MiB,otel-collector,206MB / 147MB,22
281.522899,0B / 0B,7.64%,otel-collector,b0d2aeafcf9c,30.38%,151.9MiB / 500MiB,otel-collector,213MB / 152MB,22
