TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.544444,0B / 0B,12.61%,otel-collector,09a2aecf2cca,23.13%,115.6MiB / 500MiB,otel-collector,8.95MB / 6.74MB,20
21.536284,0B / 0B,17.42%,otel-collector,09a2aecf2cca,25.50%,127.5MiB / 500MiB,otel-collector,17.2MB / 12.8MB,21
31.529136,0B / 0B,15.81%,otel-collector,09a2aecf2cca,27.17%,135.9MiB / 500MiB,otel-collector,25.2MB / 18.6MB,21
41.537893,0B / 0B,15.12%,otel-collector,09a2aecf2cca,25.26%,126.3MiB / 500MiB,otel-collector,32MB / 23.4MB,21
51.534676,0B / 0B,8.62%,otel-collector,09a2aecf2cca,28.13%,140.7MiB / 500MiB,otel-collector,38.8MB / 28.5MB,21
61.532846,0B / 0B,13.79%,otel-collector,09a2aecf2cca,28.06%,140.3MiB / 500MiB,otel-collector,46.7MB / 34MB,21
71.538292,0B / 0B,15.63%,otel-collector,09a2aecf2cca,26.56%,132.8MiB / 500MiB,otel-collector,55MB / 40.2MB,22
81.565442,0B / 0B,16.24%,otel-collector,09a2aecf2cca,27.56%,137.8MiB / 500MiB,otel-collector,62.9MB / 45.9MB,22
91.535949,0B / 0B,15.09%,otel-collector,09a2aecf2cca,27.83%,139.2MiB / 500MiB,otel-collector,71MB / 51.7MB,22
101.532890,0B / 0B,10.20%,otel-collector,09a2aecf2cca,27.67%,138.4MiB / 500MiB,otel-collector,78MB / 57.1MB,22
111.561748,0B / 0B,16.83%,otel-collector,09a2aecf2cca,27.96%,139.8MiB / 500MiB,otel-collector,85.9MB / 62.6MB,22
121.541680,0B / 0B,8.04%,otel-collector,09a2aecf2cca,29.94%,149.7MiB / 500MiB,otel-collector,92.8MB / 67.8MB,22
131.540028,0B / 0B,19.13%,otel-collector,09a2aecf2cca,28.83%,144.1MiB / 500MiB,otel-collector,101MB / 74MB,22
141.553761,0B / 0B,17.69%,otel-collector,09a2aecf2cca,28.87%,144.3MiB / 500MiB,otel-collector,109MB / 79.7MB,22
151.543210,0B / 0B,15.89%,otel-collector,09a2aecf2cca,28.14%,140.7MiB / 500MiB,otel-collector,117MB / 85.8MB,22
161.554766,0B / 0B,16.54%,otel-collector,09a2aecf2cca,29.54%,147.7MiB / 500MiB,otel-collector,125MB / 91.8MB,22
171.541285,0B / 0B,14.66%,otel-collector,09a2aecf2cca,27.17%,135.8MiB / 500MiB,otel-collector,132MB / 96.3MB,22
181.559354,0B / 0B,14.95%,otel-collector,09a2aecf2cca,28.61%,143.1MiB / 500MiB,otel-collector,139MB / 101MB,22
191.540919,0B / 0B,17.36%,otel-collector,09a2aecf2cca,26.99%,134.9MiB / 500MiB,otel-collector,147MB / 107MB,22
201.536881,0B / 0B,15.98%,otel-collector,09a2aecf2cca,28.07%,140.4MiB / 500MiB,otel-collector,154MB / 113MB,22
211.533863,0B / 0B,12.00%,otel-collector,09a2aecf2cca,28.28%,141.4MiB / 500MiB,otel-collector,162MB / 119MB,22
221.530245,0B / 0B,17.39%,otel-collector,09a2aecf2cca,27.22%,136.1MiB / 500MiB,otel-collector,171MB / 125MB,22
231.531797,0B / 0B,9.58%,otel-collector,09a2aecf2cca,27.30%,136.5MiB / 500MiB,otel-collector,179MB / 131MB,22
241.530556,0B / 0B,5.32%,otel-collector,09a2aecf2cca,27.59%,138MiB / 500MiB,otel-collector,185MB / 136MB,22
251.535304,0B / 0B,6.15%,otel-collector,09a2aecf2cca,28.73%,143.7MiB / 500MiB,otel-collector,192MB / 141MB,22
261.535740,0B / 0B,10.17%,otel-collector,09a2aecf2cca,29.09%,145.5MiB / 500MiB,otel-collector,200MB / 147MB,22
271.545054,0B / 0B,11.99%,otel-collector,09a2aecf2cca,29.64%,148.2MiB / 500MiB,otel-collector,208MB / 152MB,22
281.563522,0B / 0B,14.33%,otel-collector,09a2aecf2cca,27.83%,139.1MiB / 500MiB,otel-collector,217MB / 159MB,22
291.543721,0B / 0B,12.03%,otel-collector,09a2aecf2cca,29.61%,148MiB / 500MiB,otel-collector,224MB / 164MB,22
301.569107,0B / 0B,11.39%,otel-collector,09a2aecf2cca,28.97%,144.9MiB / 500MiB,otel-collector,231MB / 169MB,22
311.563205,4.1kB / 0B,18.31%,otel-collector,09a2aecf2cca,28.30%,141.5MiB / 500MiB,otel-collector,239MB / 175MB,22
321.544204,4.1kB / 0B,14.49%,otel-collector,09a2aecf2cca,26.32%,131.6MiB / 500MiB,otel-collector,245MB / 179MB,22
331.543951,4.1kB / 0B,13.43%,otel-collector,09a2aecf2cca,28.84%,144.2MiB / 500MiB,otel-collector,253MB / 186MB,22
341.532075,4.1kB / 0B,16.91%,otel-collector,09a2aecf2cca,27.81%,139.1MiB / 500MiB,otel-collector,261MB / 191MB,22
351.548999,4.1kB / 0B,15.41%,otel-collector,09a2aecf2cca,28.64%,143.2MiB / 500MiB,otel-collector,268MB / 196MB,22
361.533295,4.1kB / 0B,16.33%,otel-collector,09a2aecf2cca,28.07%,140.3MiB / 500MiB,otel-collector,276MB / 202MB,22
371.535819,8.19kB / 0B,12.28%,otel-collector,09a2aecf2cca,29.63%,148.2MiB / 500MiB,otel-collector,283MB / 208MB,22
381.535543,8.19kB / 0B,14.66%,otel-collector,09a2aecf2cca,28.77%,143.8MiB / 500MiB,otel-collector,291MB / 213MB,22
391.531693,8.19kB / 0B,15.75%,otel-collector,09a2aecf2cca,28.89%,144.4MiB / 500MiB,otel-collector,298MB / 218MB,22
401.545539,8.19kB / 0B,12.39%,otel-collector,09a2aecf2cca,29.63%,148.1MiB / 500MiB,otel-collector,305MB / 223MB,22
411.527043,8.19kB / 0B,15.01%,otel-collector,09a2aecf2cca,28.71%,143.5MiB / 500MiB,otel-collector,312MB / 229MB,22
421.553550,8.19kB / 0B,14.18%,otel-collector,09a2aecf2cca,26.56%,132.8MiB / 500MiB,otel-collector,319MB / 234MB,22
431.535735,8.19kB / 0B,10.52%,otel-collector,09a2aecf2cca,27.60%,138MiB / 500MiB,otel-collector,327MB / 239MB,22
441.538651,8.19kB / 0B,18.71%,otel-collector,09a2aecf2cca,28.43%,142.2MiB / 500MiB,otel-collector,334MB / 245MB,22
451.536550,8.19kB / 0B,15.09%,otel-collector,09a2aecf2cca,29.74%,148.7MiB / 500MiB,otel-collector,342MB / 250MB,22
461.530641,8.19kB / 0B,13.15%,otel-collector,09a2aecf2cca,26.37%,131.9MiB / 500MiB,otel-collector,349MB / 256MB,22
471.534631,8.19kB / 0B,15.14%,otel-collector,09a2aecf2cca,29.23%,146.1MiB / 500MiB,otel-collector,357MB / 261MB,22
481.535405,8.19kB / 0B,11.52%,otel-collector,09a2aecf2cca,28.86%,144.3MiB / 500MiB,otel-collector,364MB / 266MB,22
