TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.542477,0B / 0B,18.07%,otel-collector,e5c07c0210d7,23.33%,116.6MiB / 500MiB,otel-collector,9.81MB / 6.15MB,21
21.540091,0B / 0B,11.94%,otel-collector,e5c07c0210d7,24.92%,124.6MiB / 500MiB,otel-collector,17.5MB / 11.9MB,22
31.562111,0B / 0B,20.15%,otel-collector,e5c07c0210d7,27.45%,137.2MiB / 500MiB,otel-collector,26.7MB / 18.3MB,22
41.529532,0B / 0B,14.46%,otel-collector,e5c07c0210d7,27.46%,137.3MiB / 500MiB,otel-collector,35.2MB / 24MB,22
51.535829,0B / 0B,17.46%,otel-collector,e5c07c0210d7,26.99%,134.9MiB / 500MiB,otel-collector,45MB / 31.3MB,22
61.568702,0B / 0B,26.60%,otel-collector,e5c07c0210d7,25.87%,129.4MiB / 500MiB,otel-collector,54.9MB / 38.4MB,22
71.578845,0B / 0B,13.34%,otel-collector,e5c07c0210d7,28.96%,144.8MiB / 500MiB,otel-collector,62.1MB / 43.8MB,22
81.535848,0B / 0B,18.18%,otel-collector,e5c07c0210d7,27.93%,139.6MiB / 500MiB,otel-collector,70.7MB / 49.8MB,23
91.550006,0B / 0B,16.75%,otel-collector,e5c07c0210d7,28.26%,141.3MiB / 500MiB,otel-collector,79.9MB / 56.4MB,23
101.536563,0B / 0B,19.46%,otel-collector,e5c07c0210d7,28.14%,140.7MiB / 500MiB,otel-collector,88.6MB / 62.4MB,23
111.532741,0B / 0B,15.07%,otel-collector,e5c07c0210d7,26.35%,131.7MiB / 500MiB,otel-collector,97.4MB / 68.9MB,23
121.532257,0B / 0B,17.97%,otel-collector,e5c07c0210d7,27.15%,135.8MiB / 500MiB,otel-collector,106MB / 75.5MB,23
131.540101,4.1kB / 0B,15.01%,otel-collector,e5c07c0210d7,26.32%,131.6MiB / 500MiB,otel-collector,115MB / 82MB,23
141.596860,4.1kB / 0B,6.56%,otel-collector,e5c07c0210d7,27.39%,137MiB / 500MiB,otel-collector,123MB / 87.1MB,23
151.532972,4.1kB / 0B,16.65%,otel-collector,e5c07c0210d7,28.42%,142.1MiB / 500MiB,otel-collector,131MB / 92.7MB,23
161.567419,4.1kB / 0B,17.44%,otel-collector,e5c07c0210d7,27.84%,139.2MiB / 500MiB,otel-collector,140MB / 99.1MB,23
171.532911,4.1kB / 0B,10.38%,otel-collector,e5c07c0210d7,28.07%,140.3MiB / 500MiB,otel-collector,147MB / 105MB,23
181.553440,4.1kB / 0B,17.70%,otel-collector,e5c07c0210d7,27.88%,139.4MiB / 500MiB,otel-collector,153MB / 109MB,23
191.539417,8.19kB / 0B,17.81%,otel-collector,e5c07c0210d7,28.19%,141MiB / 500MiB,otel-collector,163MB / 117MB,23
201.523761,8.19kB / 0B,16.21%,otel-collector,e5c07c0210d7,28.14%,140.7MiB / 500MiB,otel-collector,170MB / 122MB,23
211.534260,8.19kB / 0B,14.85%,otel-collector,e5c07c0210d7,27.34%,136.7MiB / 500MiB,otel-collector,178MB / 127MB,23
221.531239,8.19kB / 0B,16.68%,otel-collector,e5c07c0210d7,29.36%,146.8MiB / 500MiB,otel-collector,187MB / 133MB,23
231.532177,8.19kB / 0B,17.16%,otel-collector,e5c07c0210d7,27.50%,137.5MiB / 500MiB,otel-collector,197MB / 141MB,23
241.534934,8.19kB / 0B,15.89%,otel-collector,e5c07c0210d7,28.97%,144.8MiB / 500MiB,otel-collector,205MB / 147MB,23
251.563631,12.3kB / 0B,16.52%,otel-collector,e5c07c0210d7,27.88%,139.4MiB / 500MiB,otel-collector,215MB / 154MB,23
261.540538,12.3kB / 0B,12.66%,otel-collector,e5c07c0210d7,28.94%,144.7MiB / 500MiB,otel-collector,223MB / 160MB,23
271.561490,12.3kB / 0B,8.79%,otel-collector,e5c07c0210d7,29.19%,145.9MiB / 500MiB,otel-collector,231MB / 165MB,23
281.532581,12.3kB / 0B,17.78%,otel-collector,e5c07c0210d7,29.22%,146.1MiB / 500MiB,otel-collector,239MB / 171MB,23
291.531942,12.3kB / 0B,13.53%,otel-collector,e5c07c0210d7,29.28%,146.4MiB / 500MiB,otel-collector,248MB / 177MB,23
301.531405,12.3kB / 0B,10.79%,otel-collector,e5c07c0210d7,29.44%,147.2MiB / 500MiB,otel-collector,257MB / 184MB,23
311.537098,12.3kB / 0B,17.32%,otel-collector,e5c07c0210d7,27.80%,139MiB / 500MiB,otel-collector,267MB / 191MB,23
321.538213,12.3kB / 0B,15.27%,otel-collector,e5c07c0210d7,27.31%,136.6MiB / 500MiB,otel-collector,276MB / 198MB,23
331.544645,12.3kB / 0B,9.94%,otel-collector,e5c07c0210d7,28.17%,140.9MiB / 500MiB,otel-collector,285MB / 204MB,23
341.531904,12.3kB / 0B,11.06%,otel-collector,e5c07c0210d7,27.56%,137.8MiB / 500MiB,otel-collector,293MB / 209MB,23
351.550250,12.3kB / 0B,16.09%,otel-collector,e5c07c0210d7,27.94%,139.7MiB / 500MiB,otel-collector,302MB / 216MB,23
361.531400,12.3kB / 0B,17.26%,otel-collector,e5c07c0210d7,29.01%,145MiB / 500MiB,otel-collector,311MB / 223MB,23
371.531006,16.4kB / 0B,9.65%,otel-collector,e5c07c0210d7,29.93%,149.6MiB / 500MiB,otel-collector,319MB / 228MB,23
381.525048,16.4kB / 0B,14.30%,otel-collector,e5c07c0210d7,30.04%,150.2MiB / 500MiB,otel-collector,329MB / 235MB,23
391.534090,16.4kB / 0B,14.06%,otel-collector,e5c07c0210d7,28.85%,144.3MiB / 500MiB,otel-collector,339MB / 243MB,23
401.563542,16.4kB / 0B,9.09%,otel-collector,e5c07c0210d7,28.02%,140.1MiB / 500MiB,otel-collector,347MB / 249MB,23
411.535804,16.4kB / 0B,16.18%,otel-collector,e5c07c0210d7,29.08%,145.4MiB / 500MiB,otel-collector,356MB / 255MB,23
421.537125,16.4kB / 0B,20.70%,otel-collector,e5c07c0210d7,30.73%,153.6MiB / 500MiB,otel-collector,365MB / 261MB,23
431.531492,16.4kB / 0B,10.17%,otel-collector,e5c07c0210d7,27.41%,137MiB / 500MiB,otel-collector,373MB / 267MB,23
441.533051,16.4kB / 0B,16.68%,otel-collector,e5c07c0210d7,28.47%,142.4MiB / 500MiB,otel-collector,382MB / 274MB,23
451.532924,16.4kB / 0B,10.55%,otel-collector,e5c07c0210d7,30.15%,150.8MiB / 500MiB,otel-collector,392MB / 280MB,23
461.540018,16.4kB / 0B,20.02%,otel-collector,e5c07c0210d7,30.17%,150.8MiB / 500MiB,otel-collector,401MB / 287MB,23
471.562200,16.4kB / 0B,16.71%,otel-collector,e5c07c0210d7,28.78%,143.9MiB / 500MiB,otel-collector,409MB / 293MB,23
481.531893,16.4kB / 0B,14.50%,otel-collector,e5c07c0210d7,29.52%,147.6MiB / 500MiB,otel-collector,417MB / 298MB,23
491.560424,16.4kB / 0B,19.01%,otel-collector,e5c07c0210d7,28.93%,144.6MiB / 500MiB,otel-collector,426MB / 305MB,23
501.541697,16.4kB / 0B,12.86%,otel-collector,e5c07c0210d7,30.39%,152MiB / 500MiB,otel-collector,435MB / 311MB,23
511.537571,16.4kB / 0B,16.64%,otel-collector,e5c07c0210d7,29.95%,149.8MiB / 500MiB,otel-collector,444MB / 318MB,23
521.533625,16.4kB / 0B,17.57%,otel-collector,e5c07c0210d7,28.12%,140.6MiB / 500MiB,otel-collector,454MB / 325MB,23
531.528323,16.4kB / 0B,10.19%,otel-collector,e5c07c0210d7,29.58%,147.9MiB / 500MiB,otel-collector,461MB / 330MB,23
541.530841,16.4kB / 0B,4.53%,otel-collector,e5c07c0210d7,30.86%,154.3MiB / 500MiB,otel-collector,464MB / 332MB,23
551.531396,16.4kB / 0B,7.62%,otel-collector,e5c07c0210d7,28.25%,141.3MiB / 500MiB,otel-collector,467MB / 334MB,23
561.530816,16.4kB / 0B,1.72%,otel-collector,e5c07c0210d7,29.99%,150MiB / 500MiB,otel-collector,470MB / 336MB,23
571.561178,16.4kB / 0B,6.25%,otel-collector,e5c07c0210d7,30.30%,151.5MiB / 500MiB,otel-collector,472MB / 337MB,23
581.536665,16.4kB / 0B,4.16%,otel-collector,e5c07c0210d7,31.57%,157.8MiB / 500MiB,otel-collector,475MB / 339MB,23
591.547708,16.4kB / 0B,8.02%,otel-collector,e5c07c0210d7,29.74%,148.7MiB / 500MiB,otel-collector,478MB / 341MB,23
601.537948,16.4kB / 0B,8.08%,otel-collector,e5c07c0210d7,31.33%,156.6MiB / 500MiB,otel-collector,480MB / 342MB,23
611.530464,24.6kB / 0B,2.97%,otel-collector,e5c07c0210d7,31.09%,155.5MiB / 500MiB,otel-collector,483MB / 345MB,23
621.579848,24.6kB / 0B,8.67%,otel-collector,e5c07c0210d7,30.69%,153.5MiB / 500MiB,otel-collector,486MB / 347MB,23
631.560303,24.6kB / 0B,9.41%,otel-collector,e5c07c0210d7,30.23%,151.1MiB / 500MiB,otel-collector,488MB / 348MB,23
641.557187,24.6kB / 0B,15.53%,otel-collector,e5c07c0210d7,29.94%,149.7MiB / 500MiB,otel-collector,491MB / 350MB,23
651.525837,24.6kB / 0B,7.44%,otel-collector,e5c07c0210d7,30.81%,154.1MiB / 500MiB,otel-collector,494MB / 351MB,23
661.538308,24.6kB / 0B,19.72%,otel-collector,e5c07c0210d7,30.04%,150.2MiB / 500MiB,otel-collector,505MB / 361MB,23
671.533126,24.6kB / 0B,10.59%,otel-collector,e5c07c0210d7,30.93%,154.7MiB / 500MiB,otel-collector,514MB / 367MB,23
681.537386,24.6kB / 0B,17.49%,otel-collector,e5c07c0210d7,28.70%,143.5MiB / 500MiB,otel-collector,525MB / 376MB,23
691.593704,24.6kB / 0B,20.17%,otel-collector,e5c07c0210d7,31.04%,155.2MiB / 500MiB,otel-collector,539MB / 386MB,23
