TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.572544,4.1kB / 0B,28.20%,otel-collector,2a915c138b49,24.75%,123.7MiB / 500MiB,otel-collector,11.2MB / 7.39MB,22
21.536014,4.1kB / 0B,65.44%,otel-collector,2a915c138b49,32.87%,164.3MiB / 500MiB,otel-collector,21.5MB / 15.9MB,22
31.571930,4.1kB / 0B,65.40%,otel-collector,2a915c138b49,35.99%,180MiB / 500MiB,otel-collector,31.7MB / 28.4MB,22
41.541027,4.1kB / 0B,66.40%,otel-collector,2a915c138b49,35.43%,177.1MiB / 500MiB,otel-collector,42.6MB / 39.7MB,23
51.537558,4.1kB / 0B,107.78%,otel-collector,2a915c138b49,35.73%,178.7MiB / 500MiB,otel-collector,55MB / 52.7MB,23
61.541578,4.1kB / 0B,106.55%,otel-collector,2a915c138b49,36.14%,180.7MiB / 500MiB,otel-collector,66.5MB / 65.1MB,23
71.535360,12.3kB / 0B,107.06%,otel-collector,2a915c138b49,37.18%,185.9MiB / 500MiB,otel-collector,78.9MB / 78.8MB,23
81.539713,12.3kB / 0B,116.61%,otel-collector,2a915c138b49,36.95%,184.7MiB / 500MiB,otel-collector,91.9MB / 92.5MB,23
91.556212,12.3kB / 0B,94.87%,otel-collector,2a915c138b49,36.80%,184MiB / 500MiB,otel-collector,102MB / 105MB,23
101.539661,12.3kB / 0B,56.30%,otel-collector,2a915c138b49,36.77%,183.9MiB / 500MiB,otel-collector,112MB / 117MB,23
111.558679,12.3kB / 0B,75.87%,otel-collector,2a915c138b49,37.96%,189.8MiB / 500MiB,otel-collector,123MB / 128MB,23
121.537712,12.3kB / 0B,108.92%,otel-collector,2a915c138b49,37.14%,185.7MiB / 500MiB,otel-collector,135MB / 140MB,23
131.540555,16.4kB / 0B,102.69%,otel-collector,2a915c138b49,37.52%,187.6MiB / 500MiB,otel-collector,146MB / 153MB,23
141.554541,16.4kB / 0B,111.58%,otel-collector,2a915c138b49,37.71%,188.5MiB / 500MiB,otel-collector,158MB / 165MB,23
