TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.550403,8.19kB / 0B,13.89%,otel-collector,e1a23f37b370,20.84%,104.2MiB / 500MiB,otel-collector,10.6MB / 6.89MB,21
21.533727,8.19kB / 0B,13.67%,otel-collector,e1a23f37b370,23.22%,116.1MiB / 500MiB,otel-collector,20.7MB / 12.7MB,22
31.564549,8.19kB / 0B,13.07%,otel-collector,e1a23f37b370,24.94%,124.7MiB / 500MiB,otel-collector,29MB / 18.1MB,22
41.550853,8.19kB / 0B,12.95%,otel-collector,e1a23f37b370,24.73%,123.7MiB / 500MiB,otel-collector,38.4MB / 23.5MB,22
51.557191,8.19kB / 0B,14.26%,otel-collector,e1a23f37b370,25.79%,128.9MiB / 500MiB,otel-collector,47.9MB / 29.5MB,22
61.579790,8.19kB / 0B,14.78%,otel-collector,e1a23f37b370,24.04%,120.2MiB / 500MiB,otel-collector,56.6MB / 34.6MB,22
71.535548,12.3kB / 0B,13.51%,otel-collector,e1a23f37b370,26.70%,133.5MiB / 500MiB,otel-collector,66.4MB / 40.6MB,22
81.534426,12.3kB / 0B,11.33%,otel-collector,e1a23f37b370,25.50%,127.5MiB / 500MiB,otel-collector,75.7MB / 45.9MB,22
91.535432,12.3kB / 0B,13.44%,otel-collector,e1a23f37b370,25.93%,129.7MiB / 500MiB,otel-collector,85MB / 51.5MB,22
101.555855,12.3kB / 0B,9.84%,otel-collector,e1a23f37b370,26.32%,131.6MiB / 500MiB,otel-collector,92MB / 55.7MB,22
111.535327,12.3kB / 0B,13.12%,otel-collector,e1a23f37b370,28.38%,141.9MiB / 500MiB,otel-collector,101MB / 61.3MB,22
121.533604,12.3kB / 0B,12.29%,otel-collector,e1a23f37b370,25.32%,126.6MiB / 500MiB,otel-collector,110MB / 66.8MB,22
131.532932,16.4kB / 0B,16.66%,otel-collector,e1a23f37b370,25.79%,129MiB / 500MiB,otel-collector,119MB / 71.7MB,22
141.534644,16.4kB / 0B,12.89%,otel-collector,e1a23f37b370,27.08%,135.4MiB / 500MiB,otel-collector,128MB / 77.5MB,22
151.533947,16.4kB / 0B,13.79%,otel-collector,e1a23f37b370,28.57%,142.9MiB / 500MiB,otel-collector,137MB / 82.9MB,22
161.557298,16.4kB / 0B,12.31%,otel-collector,e1a23f37b370,26.26%,131.3MiB / 500MiB,otel-collector,146MB / 87.8MB,22
171.572353,16.4kB / 0B,12.31%,otel-collector,e1a23f37b370,27.97%,139.9MiB / 500MiB,otel-collector,154MB / 92.7MB,22
181.551273,16.4kB / 0B,14.26%,otel-collector,e1a23f37b370,28.46%,142.3MiB / 500MiB,otel-collector,163MB / 98.4MB,22
191.534699,20.5kB / 0B,13.40%,otel-collector,e1a23f37b370,28.85%,144.3MiB / 500MiB,otel-collector,173MB / 104MB,22
201.541682,20.5kB / 0B,12.99%,otel-collector,e1a23f37b370,27.59%,138MiB / 500MiB,otel-collector,181MB / 109MB,22
211.542804,20.5kB / 0B,11.93%,otel-collector,e1a23f37b370,28.04%,140.2MiB / 500MiB,otel-collector,190MB / 115MB,22
221.532036,20.5kB / 0B,12.79%,otel-collector,e1a23f37b370,25.56%,127.8MiB / 500MiB,otel-collector,200MB / 120MB,22
231.539599,20.5kB / 0B,14.44%,otel-collector,e1a23f37b370,27.51%,137.6MiB / 500MiB,otel-collector,207MB / 124MB,22
241.534098,20.5kB / 0B,9.97%,otel-collector,e1a23f37b370,28.50%,142.5MiB / 500MiB,otel-collector,216MB / 129MB,22
251.576372,28.7kB / 0B,13.53%,otel-collector,e1a23f37b370,27.14%,135.7MiB / 500MiB,otel-collector,224MB / 135MB,22
261.533419,28.7kB / 0B,19.36%,otel-collector,e1a23f37b370,26.67%,133.3MiB / 500MiB,otel-collector,233MB / 140MB,22
271.545078,28.7kB / 0B,14.72%,otel-collector,e1a23f37b370,27.04%,135.2MiB / 500MiB,otel-collector,243MB / 146MB,22
281.530906,28.7kB / 0B,10.82%,otel-collector,e1a23f37b370,28.63%,143.2MiB / 500MiB,otel-collector,252MB / 151MB,22
291.563581,28.7kB / 0B,10.48%,otel-collector,e1a23f37b370,28.07%,140.4MiB / 500MiB,otel-collector,261MB / 156MB,22
301.584289,28.7kB / 0B,9.05%,otel-collector,e1a23f37b370,27.30%,136.5MiB / 500MiB,otel-collector,267MB / 160MB,22
311.530484,36.9kB / 0B,15.28%,otel-collector,e1a23f37b370,27.38%,136.9MiB / 500MiB,otel-collector,276MB / 165MB,22
321.525721,36.9kB / 0B,3.78%,otel-collector,e1a23f37b370,27.88%,139.4MiB / 500MiB,otel-collector,282MB / 169MB,22
331.564159,36.9kB / 0B,11.17%,otel-collector,e1a23f37b370,27.42%,137.1MiB / 500MiB,otel-collector,286MB / 171MB,22
341.528872,36.9kB / 0B,13.35%,otel-collector,e1a23f37b370,24.70%,123.5MiB / 500MiB,otel-collector,295MB / 177MB,22
351.533624,36.9kB / 0B,16.88%,otel-collector,e1a23f37b370,27.30%,136.5MiB / 500MiB,otel-collector,306MB / 183MB,22
361.532825,36.9kB / 0B,9.02%,otel-collector,e1a23f37b370,26.99%,135MiB / 500MiB,otel-collector,313MB / 188MB,22
371.596194,41kB / 0B,13.50%,otel-collector,e1a23f37b370,27.35%,136.7MiB / 500MiB,otel-collector,323MB / 193MB,22
381.533353,41kB / 0B,11.35%,otel-collector,e1a23f37b370,27.96%,139.8MiB / 500MiB,otel-collector,332MB / 198MB,22
391.538893,41kB / 0B,9.39%,otel-collector,e1a23f37b370,27.16%,135.8MiB / 500MiB,otel-collector,341MB / 204MB,22
401.579947,41kB / 0B,10.97%,otel-collector,e1a23f37b370,27.45%,137.3MiB / 500MiB,otel-collector,351MB / 209MB,22
411.608495,41kB / 0B,12.07%,otel-collector,e1a23f37b370,27.45%,137.3MiB / 500MiB,otel-collector,361MB / 216MB,22
421.533889,41kB / 0B,15.52%,otel-collector,e1a23f37b370,24.65%,123.3MiB / 500MiB,otel-collector,370MB / 221MB,22
431.563072,45.1kB / 0B,14.32%,otel-collector,e1a23f37b370,28.15%,140.7MiB / 500MiB,otel-collector,377MB / 225MB,22
441.533523,45.1kB / 0B,11.57%,otel-collector,e1a23f37b370,25.91%,129.5MiB / 500MiB,otel-collector,386MB / 231MB,22
451.535391,45.1kB / 0B,15.85%,otel-collector,e1a23f37b370,27.66%,138.3MiB / 500MiB,otel-collector,396MB / 236MB,22
461.537142,45.1kB / 0B,7.76%,otel-collector,e1a23f37b370,27.07%,135.3MiB / 500MiB,otel-collector,401MB / 239MB,22
471.534093,45.1kB / 0B,2.12%,otel-collector,e1a23f37b370,25.97%,129.9MiB / 500MiB,otel-collector,405MB / 242MB,22
481.530754,45.1kB / 0B,7.41%,otel-collector,e1a23f37b370,27.19%,135.9MiB / 500MiB,otel-collector,409MB / 244MB,22
491.526785,45.1kB / 0B,7.47%,otel-collector,e1a23f37b370,27.35%,136.7MiB / 500MiB,otel-collector,413MB / 246MB,22
501.525360,45.1kB / 0B,8.03%,otel-collector,e1a23f37b370,27.15%,135.7MiB / 500MiB,otel-collector,416MB / 248MB,22
511.531223,45.1kB / 0B,8.77%,otel-collector,e1a23f37b370,27.06%,135.3MiB / 500MiB,otel-collector,420MB / 250MB,22
521.588429,45.1kB / 0B,2.37%,otel-collector,e1a23f37b370,27.10%,135.5MiB / 500MiB,otel-collector,425MB / 252MB,22
531.523718,45.1kB / 0B,10.87%,otel-collector,e1a23f37b370,24.86%,124.3MiB / 500MiB,otel-collector,429MB / 254MB,22
541.565834,45.1kB / 0B,6.79%,otel-collector,e1a23f37b370,25.39%,126.9MiB / 500MiB,otel-collector,433MB / 257MB,22
551.534678,53.2kB / 0B,4.25%,otel-collector,e1a23f37b370,28.65%,143.3MiB / 500MiB,otel-collector,437MB / 259MB,22
561.532519,53.2kB / 0B,10.81%,otel-collector,e1a23f37b370,27.33%,136.6MiB / 500MiB,otel-collector,441MB / 261MB,22
571.564364,53.2kB / 0B,3.40%,otel-collector,e1a23f37b370,28.57%,142.9MiB / 500MiB,otel-collector,445MB / 263MB,22
581.552895,53.2kB / 0B,13.88%,otel-collector,e1a23f37b370,26.02%,130.1MiB / 500MiB,otel-collector,453MB / 268MB,22
591.537193,53.2kB / 0B,9.35%,otel-collector,e1a23f37b370,27.23%,136.1MiB / 500MiB,otel-collector,462MB / 273MB,22
601.537357,53.2kB / 0B,15.86%,otel-collector,e1a23f37b370,27.75%,138.8MiB / 500MiB,otel-collector,472MB / 279MB,22
611.537552,57.3kB / 0B,12.60%,otel-collector,e1a23f37b370,26.08%,130.4MiB / 500MiB,otel-collector,481MB / 284MB,22
621.535634,57.3kB / 0B,17.39%,otel-collector,e1a23f37b370,25.90%,129.5MiB / 500MiB,otel-collector,491MB / 290MB,22
631.533684,57.3kB / 0B,6.68%,otel-collector,e1a23f37b370,25.00%,125MiB / 500MiB,otel-collector,498MB / 295MB,22
641.531147,57.3kB / 0B,12.44%,otel-collector,e1a23f37b370,28.36%,141.8MiB / 500MiB,otel-collector,506MB / 299MB,22
651.535557,57.3kB / 0B,13.82%,otel-collector,e1a23f37b370,27.38%,136.9MiB / 500MiB,otel-collector,516MB / 305MB,22
661.533976,57.3kB / 0B,14.82%,otel-collector,e1a23f37b370,27.98%,139.9MiB / 500MiB,otel-collector,524MB / 310MB,22
671.539609,61.4kB / 0B,14.04%,otel-collector,e1a23f37b370,26.81%,134MiB / 500MiB,otel-collector,534MB / 316MB,22
681.533500,61.4kB / 0B,15.64%,otel-collector,e1a23f37b370,25.95%,129.8MiB / 500MiB,otel-collector,544MB / 322MB,22
691.536149,61.4kB / 0B,12.71%,otel-collector,e1a23f37b370,28.21%,141.1MiB / 500MiB,otel-collector,553MB / 327MB,22
701.537586,61.4kB / 0B,14.33%,otel-collector,e1a23f37b370,25.83%,129.1MiB / 500MiB,otel-collector,560MB / 331MB,22
711.532772,61.4kB / 0B,14.63%,otel-collector,e1a23f37b370,27.86%,139.3MiB / 500MiB,otel-collector,569MB / 337MB,22
721.538932,61.4kB / 0B,14.23%,otel-collector,e1a23f37b370,27.68%,138.4MiB / 500MiB,otel-collector,580MB / 343MB,22
731.537711,65.5kB / 0B,14.26%,otel-collector,e1a23f37b370,28.17%,140.9MiB / 500MiB,otel-collector,589MB / 349MB,22
741.540212,65.5kB / 0B,13.72%,otel-collector,e1a23f37b370,26.78%,133.9MiB / 500MiB,otel-collector,599MB / 355MB,22
751.536562,65.5kB / 0B,12.48%,otel-collector,e1a23f37b370,28.18%,140.9MiB / 500MiB,otel-collector,609MB / 360MB,22
761.535258,65.5kB / 0B,12.68%,otel-collector,e1a23f37b370,27.58%,137.9MiB / 500MiB,otel-collector,617MB / 365MB,22
771.560254,65.5kB / 0B,12.49%,otel-collector,e1a23f37b370,27.76%,138.8MiB / 500MiB,otel-collector,627MB / 371MB,22
781.530630,65.5kB / 0B,14.21%,otel-collector,e1a23f37b370,25.50%,127.5MiB / 500MiB,otel-collector,637MB / 377MB,22
791.534304,69.6kB / 0B,15.55%,otel-collector,e1a23f37b370,27.61%,138MiB / 500MiB,otel-collector,646MB / 382MB,22
801.533345,69.6kB / 0B,14.02%,otel-collector,e1a23f37b370,28.34%,141.7MiB / 500MiB,otel-collector,659MB / 391MB,22
811.532150,69.6kB / 0B,10.54%,otel-collector,e1a23f37b370,27.91%,139.6MiB / 500MiB,otel-collector,672MB / 398MB,22
821.541987,69.6kB / 0B,7.51%,otel-collector,e1a23f37b370,28.16%,140.8MiB / 500MiB,otel-collector,683MB / 406MB,22
831.547652,69.6kB / 0B,14.22%,otel-collector,e1a23f37b370,27.68%,138.4MiB / 500MiB,otel-collector,691MB / 411MB,22
841.537296,69.6kB / 0B,15.11%,otel-collector,e1a23f37b370,27.78%,138.9MiB / 500MiB,otel-collector,702MB / 418MB,22
851.552751,73.7kB / 0B,14.52%,otel-collector,e1a23f37b370,27.83%,139.2MiB / 500MiB,otel-collector,713MB / 424MB,22
861.540646,73.7kB / 0B,13.37%,otel-collector,e1a23f37b370,27.39%,137MiB / 500MiB,otel-collector,723MB / 431MB,22
871.562460,73.7kB / 0B,11.73%,otel-collector,e1a23f37b370,25.67%,128.3MiB / 500MiB,otel-collector,733MB / 437MB,22
881.529015,73.7kB / 0B,13.29%,otel-collector,e1a23f37b370,26.77%,133.9MiB / 500MiB,otel-collector,743MB / 443MB,22
891.532516,73.7kB / 0B,9.22%,otel-collector,e1a23f37b370,26.87%,134.3MiB / 500MiB,otel-collector,752MB / 449MB,22
901.556029,73.7kB / 0B,14.89%,otel-collector,e1a23f37b370,26.64%,133.2MiB / 500MiB,otel-collector,762MB / 455MB,23
911.538704,77.8kB / 0B,9.36%,otel-collector,e1a23f37b370,27.31%,136.6MiB / 500MiB,otel-collector,771MB / 460MB,23
921.530553,77.8kB / 0B,12.61%,otel-collector,e1a23f37b370,27.58%,137.9MiB / 500MiB,otel-collector,781MB / 466MB,23
931.533819,77.8kB / 0B,13.90%,otel-collector,e1a23f37b370,27.75%,138.8MiB / 500MiB,otel-collector,791MB / 473MB,23
941.532960,77.8kB / 0B,11.92%,otel-collector,e1a23f37b370,24.88%,124.4MiB / 500MiB,otel-collector,802MB / 479MB,23
951.558899,77.8kB / 0B,10.60%,otel-collector,e1a23f37b370,24.61%,123MiB / 500MiB,otel-collector,811MB / 485MB,23
961.533464,77.8kB / 0B,8.53%,otel-collector,e1a23f37b370,27.53%,137.7MiB / 500MiB,otel-collector,819MB / 490MB,23
971.533804,81.9kB / 0B,14.27%,otel-collector,e1a23f37b370,27.35%,136.8MiB / 500MiB,otel-collector,828MB / 495MB,23
981.536273,81.9kB / 0B,14.70%,otel-collector,e1a23f37b370,28.34%,141.7MiB / 500MiB,otel-collector,838MB / 502MB,23
991.541861,81.9kB / 0B,12.19%,otel-collector,e1a23f37b370,27.29%,136.5MiB / 500MiB,otel-collector,848MB / 507MB,23
1001.540475,81.9kB / 0B,10.07%,otel-collector,e1a23f37b370,25.85%,129.3MiB / 500MiB,otel-collector,858MB / 513MB,23
1011.538018,81.9kB / 0B,17.00%,otel-collector,e1a23f37b370,26.24%,131.2MiB / 500MiB,otel-collector,867MB / 519MB,23
1021.531894,81.9kB / 0B,9.51%,otel-collector,e1a23f37b370,25.30%,126.5MiB / 500MiB,otel-collector,877MB / 524MB,23
1031.537293,90.1kB / 0B,12.05%,otel-collector,e1a23f37b370,26.18%,130.9MiB / 500MiB,otel-collector,885MB / 530MB,23
1041.534349,90.1kB / 0B,15.40%,otel-collector,e1a23f37b370,26.29%,131.5MiB / 500MiB,otel-collector,895MB / 535MB,23
1051.542850,90.1kB / 0B,11.77%,otel-collector,e1a23f37b370,24.14%,120.7MiB / 500MiB,otel-collector,905MB / 542MB,23
1061.539002,90.1kB / 0B,7.87%,otel-collector,e1a23f37b370,27.30%,136.5MiB / 500MiB,otel-collector,914MB / 547MB,23
1071.542873,90.1kB / 0B,13.59%,otel-collector,e1a23f37b370,25.98%,129.9MiB / 500MiB,otel-collector,923MB / 552MB,23
1081.558336,90.1kB / 0B,16.68%,otel-collector,e1a23f37b370,26.80%,134MiB / 500MiB,otel-collector,933MB / 559MB,23
1091.537885,94.2kB / 0B,13.20%,otel-collector,e1a23f37b370,25.50%,127.5MiB / 500MiB,otel-collector,941MB / 563MB,23
1101.566964,94.2kB / 0B,14.65%,otel-collector,e1a23f37b370,25.92%,129.6MiB / 500MiB,otel-collector,950MB / 569MB,23
1111.549152,94.2kB / 0B,11.26%,otel-collector,e1a23f37b370,26.51%,132.6MiB / 500MiB,otel-collector,959MB / 574MB,23
1121.532979,94.2kB / 0B,11.22%,otel-collector,e1a23f37b370,26.61%,133MiB / 500MiB,otel-collector,968MB / 579MB,23
1131.579331,94.2kB / 0B,13.41%,otel-collector,e1a23f37b370,28.40%,142MiB / 500MiB,otel-collector,978MB / 586MB,23
1141.541304,94.2kB / 0B,12.03%,otel-collector,e1a23f37b370,27.20%,136MiB / 500MiB,otel-collector,986MB / 591MB,23
1151.535913,98.3kB / 0B,8.03%,otel-collector,e1a23f37b370,27.22%,136.1MiB / 500MiB,otel-collector,995MB / 596MB,23
1161.534787,98.3kB / 0B,14.73%,otel-collector,e1a23f37b370,27.04%,135.2MiB / 500MiB,otel-collector,1GB / 601MB,23
1171.535063,98.3kB / 0B,14.43%,otel-collector,e1a23f37b370,26.09%,130.5MiB / 500MiB,otel-collector,1.01GB / 607MB,23
1181.560630,98.3kB / 0B,22.54%,otel-collector,e1a23f37b370,25.94%,129.7MiB / 500MiB,otel-collector,1.02GB / 613MB,23
1191.526990,98.3kB / 0B,11.98%,otel-collector,e1a23f37b370,26.72%,133.6MiB / 500MiB,otel-collector,1.03GB / 618MB,23
1201.539264,98.3kB / 0B,13.27%,otel-collector,e1a23f37b370,24.92%,124.6MiB / 500MiB,otel-collector,1.04GB / 624MB,23
1211.563732,102kB / 0B,10.99%,otel-collector,e1a23f37b370,26.31%,131.5MiB / 500MiB,otel-collector,1.05GB / 630MB,23
1221.528281,102kB / 0B,11.74%,otel-collector,e1a23f37b370,27.31%,136.6MiB / 500MiB,otel-collector,1.06GB / 635MB,23
1231.538625,102kB / 0B,13.40%,otel-collector,e1a23f37b370,25.86%,129.3MiB / 500MiB,otel-collector,1.07GB / 640MB,23
1241.533293,102kB / 0B,16.09%,otel-collector,e1a23f37b370,27.48%,137.4MiB / 500MiB,otel-collector,1.08GB / 646MB,23
1251.540473,102kB / 0B,12.71%,otel-collector,e1a23f37b370,25.79%,128.9MiB / 500MiB,otel-collector,1.09GB / 652MB,23
1261.540848,102kB / 0B,12.96%,otel-collector,e1a23f37b370,27.86%,139.3MiB / 500MiB,otel-collector,1.1GB / 658MB,23
1271.547117,106kB / 0B,13.64%,otel-collector,e1a23f37b370,25.87%,129.3MiB / 500MiB,otel-collector,1.11GB / 664MB,23
1281.532701,106kB / 0B,12.25%,otel-collector,e1a23f37b370,27.23%,136.2MiB / 500MiB,otel-collector,1.12GB / 670MB,23
1291.537075,106kB / 0B,14.76%,otel-collector,e1a23f37b370,27.42%,137.1MiB / 500MiB,otel-collector,1.13GB / 675MB,23
1301.524622,106kB / 0B,12.48%,otel-collector,e1a23f37b370,27.62%,138.1MiB / 500MiB,otel-collector,1.13GB / 680MB,23
1311.535716,106kB / 0B,13.69%,otel-collector,e1a23f37b370,27.48%,137.4MiB / 500MiB,otel-collector,1.14GB / 685MB,23
1321.535461,106kB / 0B,12.53%,otel-collector,e1a23f37b370,26.81%,134.1MiB / 500MiB,otel-collector,1.15GB / 691MB,23
1331.534938,111kB / 0B,12.91%,otel-collector,e1a23f37b370,27.66%,138.3MiB / 500MiB,otel-collector,1.16GB / 698MB,23
1341.526202,111kB / 0B,12.82%,otel-collector,e1a23f37b370,25.05%,125.2MiB / 500MiB,otel-collector,1.17GB / 703MB,23
1351.537916,111kB / 0B,9.24%,otel-collector,e1a23f37b370,27.70%,138.5MiB / 500MiB,otel-collector,1.18GB / 709MB,23
1361.551263,111kB / 0B,16.76%,otel-collector,e1a23f37b370,25.37%,126.9MiB / 500MiB,otel-collector,1.19GB / 714MB,23
1371.539174,111kB / 0B,10.59%,otel-collector,e1a23f37b370,28.09%,140.4MiB / 500MiB,otel-collector,1.2GB / 720MB,23
1381.542129,111kB / 0B,8.00%,otel-collector,e1a23f37b370,26.75%,133.8MiB / 500MiB,otel-collector,1.21GB / 726MB,23
1391.525713,119kB / 0B,14.56%,otel-collector,e1a23f37b370,27.26%,136.3MiB / 500MiB,otel-collector,1.22GB / 732MB,23
1401.544016,119kB / 0B,14.56%,otel-collector,e1a23f37b370,25.05%,125.3MiB / 500MiB,otel-collector,1.23GB / 738MB,23
1411.535504,119kB / 0B,14.41%,otel-collector,e1a23f37b370,27.54%,137.7MiB / 500MiB,otel-collector,1.24GB / 744MB,23
1421.535355,119kB / 0B,8.33%,otel-collector,e1a23f37b370,27.06%,135.3MiB / 500MiB,otel-collector,1.25GB / 748MB,23
1431.552859,119kB / 0B,12.25%,otel-collector,e1a23f37b370,25.81%,129MiB / 500MiB,otel-collector,1.26GB / 754MB,23
1441.532962,119kB / 0B,8.22%,otel-collector,e1a23f37b370,27.12%,135.6MiB / 500MiB,otel-collector,1.27GB / 759MB,23
1451.545205,123kB / 0B,14.47%,otel-collector,e1a23f37b370,26.18%,130.9MiB / 500MiB,otel-collector,1.28GB / 765MB,23
1461.531336,123kB / 0B,10.59%,otel-collector,e1a23f37b370,26.52%,132.6MiB / 500MiB,otel-collector,1.28GB / 770MB,23
1471.531663,123kB / 0B,9.68%,otel-collector,e1a23f37b370,27.59%,137.9MiB / 500MiB,otel-collector,1.29GB / 776MB,23
