TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.537884,16.4kB / 0B,10.78%,otel-collector,a672ee2ee0e4,24.51%,122.5MiB / 500MiB,otel-collector,7.59MB / 4.55MB,21
21.557718,16.4kB / 0B,17.79%,otel-collector,a672ee2ee0e4,27.10%,135.5MiB / 500MiB,otel-collector,16.3MB / 9.68MB,21
31.534665,16.4kB / 0B,11.24%,otel-collector,a672ee2ee0e4,26.79%,134MiB / 500MiB,otel-collector,23.5MB / 14MB,21
41.533868,16.4kB / 0B,12.46%,otel-collector,a672ee2ee0e4,28.66%,143.3MiB / 500MiB,otel-collector,30.6MB / 17.8MB,21
51.593398,16.4kB / 0B,14.60%,otel-collector,a672ee2ee0e4,28.89%,144.4MiB / 500MiB,otel-collector,38MB / 22.6MB,21
61.533304,16.4kB / 0B,14.32%,otel-collector,a672ee2ee0e4,28.92%,144.6MiB / 500MiB,otel-collector,44.7MB / 26.8MB,21
71.562110,20.5kB / 0B,19.67%,otel-collector,a672ee2ee0e4,31.02%,155.1MiB / 500MiB,otel-collector,51.7MB / 30.8MB,21
81.548977,20.5kB / 0B,20.12%,otel-collector,a672ee2ee0e4,32.19%,160.9MiB / 500MiB,otel-collector,59MB / 35MB,21
91.560024,20.5kB / 0B,8.68%,otel-collector,a672ee2ee0e4,31.42%,157.1MiB / 500MiB,otel-collector,66.9MB / 40.4MB,22
101.534803,20.5kB / 0B,17.81%,otel-collector,a672ee2ee0e4,31.33%,156.6MiB / 500MiB,otel-collector,73.7MB / 44.3MB,22
111.557783,20.5kB / 0B,19.89%,otel-collector,a672ee2ee0e4,34.18%,170.9MiB / 500MiB,otel-collector,81.4MB / 49MB,22
121.543392,20.5kB / 0B,22.01%,otel-collector,a672ee2ee0e4,34.59%,172.9MiB / 500MiB,otel-collector,88.9MB / 53.4MB,22
131.566667,24.6kB / 0B,10.00%,otel-collector,a672ee2ee0e4,31.87%,159.4MiB / 500MiB,otel-collector,95.1MB / 57MB,22
141.563168,24.6kB / 0B,13.82%,otel-collector,a672ee2ee0e4,35.91%,179.6MiB / 500MiB,otel-collector,103MB / 61.8MB,22
151.552180,24.6kB / 0B,12.80%,otel-collector,a672ee2ee0e4,34.34%,171.7MiB / 500MiB,otel-collector,111MB / 66.4MB,22
161.536576,24.6kB / 0B,11.11%,otel-collector,a672ee2ee0e4,35.16%,175.8MiB / 500MiB,otel-collector,118MB / 71.1MB,22
171.533951,24.6kB / 0B,23.00%,otel-collector,a672ee2ee0e4,33.90%,169.5MiB / 500MiB,otel-collector,127MB / 76.1MB,22
181.530982,24.6kB / 0B,21.83%,otel-collector,a672ee2ee0e4,34.46%,172.3MiB / 500MiB,otel-collector,134MB / 80.5MB,22
191.535426,32.8kB / 0B,16.62%,otel-collector,a672ee2ee0e4,35.63%,178.2MiB / 500MiB,otel-collector,142MB / 85.2MB,22
201.557371,32.8kB / 0B,11.83%,otel-collector,a672ee2ee0e4,32.74%,163.7MiB / 500MiB,otel-collector,148MB / 88.4MB,22
211.559200,32.8kB / 0B,10.53%,otel-collector,a672ee2ee0e4,33.06%,165.3MiB / 500MiB,otel-collector,154MB / 92MB,22
221.555409,32.8kB / 0B,22.36%,otel-collector,a672ee2ee0e4,36.07%,180.3MiB / 500MiB,otel-collector,161MB / 96.7MB,22
231.530700,32.8kB / 0B,12.89%,otel-collector,a672ee2ee0e4,34.18%,170.9MiB / 500MiB,otel-collector,164MB / 98.2MB,22
241.562522,32.8kB / 0B,13.78%,otel-collector,a672ee2ee0e4,34.29%,171.5MiB / 500MiB,otel-collector,166MB / 99.2MB,22
251.561577,45.1kB / 0B,5.29%,otel-collector,a672ee2ee0e4,35.08%,175.4MiB / 500MiB,otel-collector,168MB / 100MB,22
261.531475,45.1kB / 0B,3.26%,otel-collector,a672ee2ee0e4,32.68%,163.4MiB / 500MiB,otel-collector,169MB / 101MB,22
271.550510,45.1kB / 0B,8.26%,otel-collector,a672ee2ee0e4,36.51%,182.6MiB / 500MiB,otel-collector,175MB / 104MB,22
281.549981,45.1kB / 0B,17.96%,otel-collector,a672ee2ee0e4,36.36%,181.8MiB / 500MiB,otel-collector,183MB / 109MB,22
291.563583,45.1kB / 0B,5.63%,otel-collector,a672ee2ee0e4,36.86%,184.3MiB / 500MiB,otel-collector,191MB / 114MB,22
301.537305,45.1kB / 0B,5.45%,otel-collector,a672ee2ee0e4,36.30%,181.5MiB / 500MiB,otel-collector,198MB / 118MB,22
311.539518,49.2kB / 0B,7.76%,otel-collector,a672ee2ee0e4,36.03%,180.2MiB / 500MiB,otel-collector,206MB / 123MB,22
321.559387,49.2kB / 0B,22.83%,otel-collector,a672ee2ee0e4,36.55%,182.8MiB / 500MiB,otel-collector,215MB / 128MB,22
331.537838,49.2kB / 0B,22.45%,otel-collector,a672ee2ee0e4,36.33%,181.7MiB / 500MiB,otel-collector,222MB / 132MB,22
341.533186,49.2kB / 0B,5.05%,otel-collector,a672ee2ee0e4,36.08%,180.4MiB / 500MiB,otel-collector,229MB / 137MB,22
351.547861,49.2kB / 0B,25.36%,otel-collector,a672ee2ee0e4,36.41%,182.1MiB / 500MiB,otel-collector,237MB / 142MB,22
361.542099,49.2kB / 0B,26.02%,otel-collector,a672ee2ee0e4,36.70%,183.5MiB / 500MiB,otel-collector,245MB / 147MB,22
371.541059,53.2kB / 0B,24.93%,otel-collector,a672ee2ee0e4,35.64%,178.2MiB / 500MiB,otel-collector,253MB / 151MB,22
381.566931,53.2kB / 0B,12.35%,otel-collector,a672ee2ee0e4,36.16%,180.8MiB / 500MiB,otel-collector,261MB / 156MB,22
391.595958,53.2kB / 0B,24.15%,otel-collector,a672ee2ee0e4,36.43%,182.1MiB / 500MiB,otel-collector,269MB / 161MB,23
401.534203,53.2kB / 0B,11.23%,otel-collector,a672ee2ee0e4,36.94%,184.7MiB / 500MiB,otel-collector,276MB / 165MB,23
411.536295,53.2kB / 0B,11.71%,otel-collector,a672ee2ee0e4,37.80%,189MiB / 500MiB,otel-collector,284MB / 170MB,23
421.534340,53.2kB / 0B,20.76%,otel-collector,a672ee2ee0e4,36.29%,181.4MiB / 500MiB,otel-collector,291MB / 174MB,23
431.532812,57.3kB / 0B,28.46%,otel-collector,a672ee2ee0e4,36.00%,180MiB / 500MiB,otel-collector,299MB / 179MB,23
441.530829,57.3kB / 0B,29.91%,otel-collector,a672ee2ee0e4,35.93%,179.7MiB / 500MiB,otel-collector,307MB / 184MB,23
451.536198,57.3kB / 0B,13.70%,otel-collector,a672ee2ee0e4,37.41%,187.1MiB / 500MiB,otel-collector,315MB / 189MB,23
461.533655,57.3kB / 0B,22.33%,otel-collector,a672ee2ee0e4,36.14%,180.7MiB / 500MiB,otel-collector,323MB / 193MB,23
471.534845,57.3kB / 0B,28.20%,otel-collector,a672ee2ee0e4,36.41%,182.1MiB / 500MiB,otel-collector,330MB / 197MB,23
481.535723,57.3kB / 0B,24.67%,otel-collector,a672ee2ee0e4,36.95%,184.7MiB / 500MiB,otel-collector,337MB / 202MB,23
491.531828,61.4kB / 0B,25.31%,otel-collector,a672ee2ee0e4,36.20%,181MiB / 500MiB,otel-collector,345MB / 206MB,23
501.532965,61.4kB / 0B,28.75%,otel-collector,a672ee2ee0e4,37.19%,186MiB / 500MiB,otel-collector,353MB / 211MB,23
511.531436,61.4kB / 0B,11.27%,otel-collector,a672ee2ee0e4,35.77%,178.9MiB / 500MiB,otel-collector,360MB / 215MB,23
521.538139,61.4kB / 0B,10.18%,otel-collector,a672ee2ee0e4,36.25%,181.3MiB / 500MiB,otel-collector,368MB / 220MB,23
531.541446,61.4kB / 0B,4.16%,otel-collector,a672ee2ee0e4,35.68%,178.4MiB / 500MiB,otel-collector,373MB / 223MB,23
541.536391,61.4kB / 0B,6.19%,otel-collector,a672ee2ee0e4,36.54%,182.7MiB / 500MiB,otel-collector,380MB / 227MB,23
551.539587,65.5kB / 0B,23.96%,otel-collector,a672ee2ee0e4,35.31%,176.5MiB / 500MiB,otel-collector,389MB / 232MB,23
561.532690,65.5kB / 0B,21.44%,otel-collector,a672ee2ee0e4,36.11%,180.6MiB / 500MiB,otel-collector,397MB / 238MB,23
571.534988,65.5kB / 0B,24.28%,otel-collector,a672ee2ee0e4,36.10%,180.5MiB / 500MiB,otel-collector,404MB / 242MB,23
581.533059,65.5kB / 0B,17.06%,otel-collector,a672ee2ee0e4,35.53%,177.6MiB / 500MiB,otel-collector,407MB / 243MB,23
591.535441,65.5kB / 0B,9.41%,otel-collector,a672ee2ee0e4,35.14%,175.7MiB / 500MiB,otel-collector,411MB / 245MB,23
601.527835,65.5kB / 0B,17.64%,otel-collector,a672ee2ee0e4,34.60%,173MiB / 500MiB,otel-collector,418MB / 250MB,23
611.537972,69.6kB / 0B,19.23%,otel-collector,a672ee2ee0e4,35.73%,178.6MiB / 500MiB,otel-collector,423MB / 253MB,23
621.536677,69.6kB / 0B,18.21%,otel-collector,a672ee2ee0e4,34.88%,174.4MiB / 500MiB,otel-collector,428MB / 256MB,23
631.541150,69.6kB / 0B,19.03%,otel-collector,a672ee2ee0e4,34.32%,171.6MiB / 500MiB,otel-collector,433MB / 259MB,23
641.538545,69.6kB / 0B,8.28%,otel-collector,a672ee2ee0e4,36.14%,180.7MiB / 500MiB,otel-collector,438MB / 262MB,23
651.537394,69.6kB / 0B,14.32%,otel-collector,a672ee2ee0e4,35.95%,179.7MiB / 500MiB,otel-collector,442MB / 265MB,23
661.531249,69.6kB / 0B,22.85%,otel-collector,a672ee2ee0e4,35.52%,177.6MiB / 500MiB,otel-collector,446MB / 267MB,23
671.550112,73.7kB / 0B,4.66%,otel-collector,a672ee2ee0e4,35.63%,178.1MiB / 500MiB,otel-collector,450MB / 270MB,23
681.534886,73.7kB / 0B,4.91%,otel-collector,a672ee2ee0e4,35.85%,179.3MiB / 500MiB,otel-collector,454MB / 272MB,23
691.539067,73.7kB / 0B,11.35%,otel-collector,a672ee2ee0e4,35.92%,179.6MiB / 500MiB,otel-collector,459MB / 275MB,23
701.535465,73.7kB / 0B,27.09%,otel-collector,a672ee2ee0e4,37.52%,187.6MiB / 500MiB,otel-collector,468MB / 280MB,23
711.534065,73.7kB / 0B,24.15%,otel-collector,a672ee2ee0e4,36.38%,181.9MiB / 500MiB,otel-collector,476MB / 285MB,23
721.562295,73.7kB / 0B,24.01%,otel-collector,a672ee2ee0e4,36.22%,181.1MiB / 500MiB,otel-collector,485MB / 291MB,23
731.533332,77.8kB / 0B,28.16%,otel-collector,a672ee2ee0e4,36.13%,180.7MiB / 500MiB,otel-collector,493MB / 296MB,23
741.531393,77.8kB / 0B,24.28%,otel-collector,a672ee2ee0e4,36.10%,180.5MiB / 500MiB,otel-collector,501MB / 301MB,23
751.532710,77.8kB / 0B,12.08%,otel-collector,a672ee2ee0e4,36.80%,184MiB / 500MiB,otel-collector,509MB / 306MB,23
761.526487,77.8kB / 0B,10.75%,otel-collector,a672ee2ee0e4,35.87%,179.3MiB / 500MiB,otel-collector,518MB / 312MB,23
771.535674,77.8kB / 0B,8.05%,otel-collector,a672ee2ee0e4,37.46%,187.3MiB / 500MiB,otel-collector,528MB / 318MB,23
781.535884,77.8kB / 0B,8.89%,otel-collector,a672ee2ee0e4,37.06%,185.3MiB / 500MiB,otel-collector,537MB / 323MB,23
791.544736,86kB / 0B,7.39%,otel-collector,a672ee2ee0e4,37.49%,187.5MiB / 500MiB,otel-collector,545MB / 328MB,23
801.531497,86kB / 0B,19.25%,otel-collector,a672ee2ee0e4,36.29%,181.4MiB / 500MiB,otel-collector,553MB / 333MB,23
811.543791,86kB / 0B,19.60%,otel-collector,a672ee2ee0e4,36.17%,180.9MiB / 500MiB,otel-collector,561MB / 337MB,23
