TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.560913,0B / 0B,27.88%,otel-collector,5e185ddb47de,25.45%,127.3MiB / 500MiB,otel-collector,9.83MB / 8.23MB,21
21.583733,0B / 0B,33.40%,otel-collector,5e185ddb47de,32.13%,160.7MiB / 500MiB,otel-collector,18.1MB / 17.3MB,22
31.527866,0B / 0B,28.20%,otel-collector,5e185ddb47de,33.68%,168.4MiB / 500MiB,otel-collector,24.1MB / 25.2MB,22
41.526104,0B / 0B,6.98%,otel-collector,5e185ddb47de,32.58%,162.9MiB / 500MiB,otel-collector,26.6MB / 27.8MB,22
51.531172,0B / 0B,10.46%,otel-collector,5e185ddb47de,32.43%,162.2MiB / 500MiB,otel-collector,29.2MB / 30.6MB,22
61.529666,0B / 0B,11.86%,otel-collector,5e185ddb47de,32.54%,162.7MiB / 500MiB,otel-collector,32.1MB / 33.6MB,22
71.563502,8.19kB / 0B,10.42%,otel-collector,5e185ddb47de,34.14%,170.7MiB / 500MiB,otel-collector,34.9MB / 36.4MB,22
81.526601,8.19kB / 0B,11.60%,otel-collector,5e185ddb47de,35.48%,177.4MiB / 500MiB,otel-collector,37.4MB / 39.3MB,22
91.525736,8.19kB / 0B,6.88%,otel-collector,5e185ddb47de,35.52%,177.6MiB / 500MiB,otel-collector,40.2MB / 42MB,22
101.533224,8.19kB / 0B,9.52%,otel-collector,5e185ddb47de,36.46%,182.3MiB / 500MiB,otel-collector,42.8MB / 44.9MB,22
111.546284,8.19kB / 0B,18.34%,otel-collector,5e185ddb47de,35.18%,175.9MiB / 500MiB,otel-collector,45.6MB / 47.7MB,22
121.553307,8.19kB / 0B,29.31%,otel-collector,5e185ddb47de,32.70%,163.5MiB / 500MiB,otel-collector,48.4MB / 50.5MB,22
131.535546,12.3kB / 0B,15.97%,otel-collector,5e185ddb47de,34.24%,171.2MiB / 500MiB,otel-collector,50.9MB / 53MB,22
141.534125,12.3kB / 0B,6.00%,otel-collector,5e185ddb47de,35.46%,177.3MiB / 500MiB,otel-collector,53.8MB / 55.9MB,22
151.548236,12.3kB / 0B,13.76%,otel-collector,5e185ddb47de,38.88%,194.4MiB / 500MiB,otel-collector,58.4MB / 60.3MB,22
161.543935,12.3kB / 0B,37.43%,otel-collector,5e185ddb47de,39.33%,196.6MiB / 500MiB,otel-collector,70.5MB / 72.6MB,22
171.531619,12.3kB / 0B,33.85%,otel-collector,5e185ddb47de,40.41%,202MiB / 500MiB,otel-collector,80.7MB / 84MB,22
181.532262,12.3kB / 0B,42.94%,otel-collector,5e185ddb47de,37.57%,187.9MiB / 500MiB,otel-collector,92.2MB / 96.4MB,22
191.544578,20.5kB / 0B,49.50%,otel-collector,5e185ddb47de,39.00%,195MiB / 500MiB,otel-collector,105MB / 110MB,22
201.534708,20.5kB / 0B,41.75%,otel-collector,5e185ddb47de,38.27%,191.3MiB / 500MiB,otel-collector,117MB / 124MB,22
211.528712,20.5kB / 0B,45.13%,otel-collector,5e185ddb47de,39.08%,195.4MiB / 500MiB,otel-collector,129MB / 137MB,22
221.542568,20.5kB / 0B,56.10%,otel-collector,5e185ddb47de,38.24%,191.2MiB / 500MiB,otel-collector,142MB / 150MB,22
231.531709,20.5kB / 0B,37.73%,otel-collector,5e185ddb47de,37.09%,185.4MiB / 500MiB,otel-collector,151MB / 162MB,22
241.540610,20.5kB / 0B,45.03%,otel-collector,5e185ddb47de,37.92%,189.6MiB / 500MiB,otel-collector,162MB / 173MB,22
251.543043,24.6kB / 0B,40.59%,otel-collector,5e185ddb47de,39.29%,196.4MiB / 500MiB,otel-collector,173MB / 185MB,22
261.529102,24.6kB / 0B,36.38%,otel-collector,5e185ddb47de,38.50%,192.5MiB / 500MiB,otel-collector,183MB / 197MB,22
271.558822,24.6kB / 0B,60.43%,otel-collector,5e185ddb47de,38.88%,194.4MiB / 500MiB,otel-collector,194MB / 208MB,22
281.541078,24.6kB / 0B,43.42%,otel-collector,5e185ddb47de,38.31%,191.6MiB / 500MiB,otel-collector,205MB / 221MB,22
291.542490,24.6kB / 0B,46.04%,otel-collector,5e185ddb47de,38.84%,194.2MiB / 500MiB,otel-collector,216MB / 233MB,22
301.557358,24.6kB / 0B,32.99%,otel-collector,5e185ddb47de,37.61%,188MiB / 500MiB,otel-collector,224MB / 242MB,22
311.565903,36.9kB / 0B,43.04%,otel-collector,5e185ddb47de,38.65%,193.2MiB / 500MiB,otel-collector,235MB / 254MB,22
321.545340,36.9kB / 0B,56.86%,otel-collector,5e185ddb47de,38.51%,192.5MiB / 500MiB,otel-collector,245MB / 265MB,22
331.540854,36.9kB / 0B,34.29%,otel-collector,5e185ddb47de,37.92%,189.6MiB / 500MiB,otel-collector,256MB / 277MB,22
341.535314,36.9kB / 0B,33.46%,otel-collector,5e185ddb47de,38.67%,193.4MiB / 500MiB,otel-collector,266MB / 289MB,23
351.562342,36.9kB / 0B,68.85%,otel-collector,5e185ddb47de,38.93%,194.7MiB / 500MiB,otel-collector,278MB / 301MB,23
361.524464,36.9kB / 0B,36.95%,otel-collector,5e185ddb47de,38.93%,194.7MiB / 500MiB,otel-collector,289MB / 314MB,23
371.537447,45.1kB / 0B,31.69%,otel-collector,5e185ddb47de,38.96%,194.8MiB / 500MiB,otel-collector,296MB / 322MB,23
381.534533,45.1kB / 0B,24.47%,otel-collector,5e185ddb47de,38.44%,192.2MiB / 500MiB,otel-collector,306MB / 332MB,23
391.563370,45.1kB / 0B,3.65%,otel-collector,5e185ddb47de,38.70%,193.5MiB / 500MiB,otel-collector,309MB / 336MB,23
401.536548,45.1kB / 0B,9.53%,otel-collector,5e185ddb47de,39.66%,198.3MiB / 500MiB,otel-collector,311MB / 338MB,23
411.533059,45.1kB / 0B,27.08%,otel-collector,5e185ddb47de,39.91%,199.6MiB / 500MiB,otel-collector,312MB / 340MB,23
421.530966,45.1kB / 0B,4.10%,otel-collector,5e185ddb47de,38.89%,194.4MiB / 500MiB,otel-collector,314MB / 342MB,23
431.528110,53.2kB / 0B,20.49%,otel-collector,5e185ddb47de,38.90%,194.5MiB / 500MiB,otel-collector,316MB / 344MB,23
441.542009,53.2kB / 0B,24.24%,otel-collector,5e185ddb47de,39.77%,198.8MiB / 500MiB,otel-collector,319MB / 347MB,23
451.550312,53.2kB / 0B,46.96%,otel-collector,5e185ddb47de,40.61%,203.1MiB / 500MiB,otel-collector,330MB / 357MB,23
461.576637,53.2kB / 0B,38.63%,otel-collector,5e185ddb47de,39.24%,196.2MiB / 500MiB,otel-collector,341MB / 370MB,23
471.571790,53.2kB / 0B,43.50%,otel-collector,5e185ddb47de,39.32%,196.6MiB / 500MiB,otel-collector,354MB / 383MB,23
481.548958,53.2kB / 0B,70.76%,otel-collector,5e185ddb47de,39.23%,196.1MiB / 500MiB,otel-collector,366MB / 398MB,23
491.537439,57.3kB / 0B,57.03%,otel-collector,5e185ddb47de,39.34%,196.7MiB / 500MiB,otel-collector,378MB / 411MB,23
501.556398,57.3kB / 0B,42.28%,otel-collector,5e185ddb47de,39.10%,195.5MiB / 500MiB,otel-collector,388MB / 421MB,23
511.597517,57.3kB / 0B,70.93%,otel-collector,5e185ddb47de,39.06%,195.3MiB / 500MiB,otel-collector,399MB / 434MB,23
521.544439,57.3kB / 0B,45.96%,otel-collector,5e185ddb47de,40.53%,202.7MiB / 500MiB,otel-collector,411MB / 447MB,23
531.539012,57.3kB / 0B,71.67%,otel-collector,5e185ddb47de,40.39%,202MiB / 500MiB,otel-collector,423MB / 459MB,23
541.556131,57.3kB / 0B,46.37%,otel-collector,5e185ddb47de,39.40%,197MiB / 500MiB,otel-collector,436MB / 474MB,23
551.538310,69.6kB / 0B,39.85%,otel-collector,5e185ddb47de,39.51%,197.6MiB / 500MiB,otel-collector,448MB / 487MB,23
561.541655,69.6kB / 0B,38.19%,otel-collector,5e185ddb47de,39.74%,198.7MiB / 500MiB,otel-collector,457MB / 499MB,23
571.549120,69.6kB / 0B,34.27%,otel-collector,5e185ddb47de,39.55%,197.7MiB / 500MiB,otel-collector,469MB / 510MB,23
581.605329,69.6kB / 0B,59.93%,otel-collector,5e185ddb47de,39.52%,197.6MiB / 500MiB,otel-collector,480MB / 523MB,23
591.535977,69.6kB / 0B,61.23%,otel-collector,5e185ddb47de,39.58%,197.9MiB / 500MiB,otel-collector,492MB / 536MB,23
601.574146,69.6kB / 0B,43.90%,otel-collector,5e185ddb47de,39.47%,197.4MiB / 500MiB,otel-collector,503MB / 548MB,23
611.568723,77.8kB / 0B,71.15%,otel-collector,5e185ddb47de,39.52%,197.6MiB / 500MiB,otel-collector,516MB / 562MB,23
621.593077,77.8kB / 0B,42.93%,otel-collector,5e185ddb47de,39.54%,197.7MiB / 500MiB,otel-collector,528MB / 576MB,23
631.539045,77.8kB / 0B,38.90%,otel-collector,5e185ddb47de,39.11%,195.6MiB / 500MiB,otel-collector,538MB / 587MB,23
641.531237,77.8kB / 0B,40.14%,otel-collector,5e185ddb47de,40.10%,200.5MiB / 500MiB,otel-collector,548MB / 598MB,23
651.532647,77.8kB / 0B,46.95%,otel-collector,5e185ddb47de,39.15%,195.7MiB / 500MiB,otel-collector,560MB / 611MB,23
661.539487,77.8kB / 0B,58.65%,otel-collector,5e185ddb47de,40.03%,200.2MiB / 500MiB,otel-collector,572MB / 624MB,23
671.559234,86kB / 0B,58.76%,otel-collector,5e185ddb47de,39.06%,195.3MiB / 500MiB,otel-collector,583MB / 638MB,23
681.572495,86kB / 0B,45.49%,otel-collector,5e185ddb47de,38.61%,193MiB / 500MiB,otel-collector,595MB / 649MB,23
691.533601,86kB / 0B,33.24%,otel-collector,5e185ddb47de,39.57%,197.9MiB / 500MiB,otel-collector,605MB / 661MB,23
701.560307,86kB / 0B,65.84%,otel-collector,5e185ddb47de,38.82%,194.1MiB / 500MiB,otel-collector,615MB / 673MB,23
711.540503,86kB / 0B,62.13%,otel-collector,5e185ddb47de,39.58%,197.9MiB / 500MiB,otel-collector,627MB / 685MB,23
721.603078,86kB / 0B,55.08%,otel-collector,5e185ddb47de,39.22%,196.1MiB / 500MiB,otel-collector,639MB / 698MB,23
731.537768,90.1kB / 0B,48.56%,otel-collector,5e185ddb47de,40.59%,203MiB / 500MiB,otel-collector,650MB / 711MB,23
741.545453,90.1kB / 0B,88.30%,otel-collector,5e185ddb47de,39.28%,196.4MiB / 500MiB,otel-collector,663MB / 725MB,23
751.590208,90.1kB / 0B,53.20%,otel-collector,5e185ddb47de,40.39%,201.9MiB / 500MiB,otel-collector,676MB / 739MB,23
761.620947,90.1kB / 0B,23.52%,otel-collector,5e185ddb47de,39.56%,197.8MiB / 500MiB,otel-collector,685MB / 750MB,23
771.537316,90.1kB / 0B,43.83%,otel-collector,5e185ddb47de,39.02%,195.1MiB / 500MiB,otel-collector,696MB / 761MB,23
781.562848,90.1kB / 0B,72.33%,otel-collector,5e185ddb47de,39.60%,198MiB / 500MiB,otel-collector,708MB / 775MB,23
791.541527,102kB / 0B,41.23%,otel-collector,5e185ddb47de,38.89%,194.4MiB / 500MiB,otel-collector,719MB / 787MB,23
801.542681,102kB / 0B,60.91%,otel-collector,5e185ddb47de,39.57%,197.9MiB / 500MiB,otel-collector,730MB / 800MB,23
811.543990,102kB / 0B,85.44%,otel-collector,5e185ddb47de,39.52%,197.6MiB / 500MiB,otel-collector,743MB / 813MB,23
821.532477,102kB / 0B,29.04%,otel-collector,5e185ddb47de,39.90%,199.5MiB / 500MiB,otel-collector,755MB / 826MB,23
831.532059,102kB / 0B,38.91%,otel-collector,5e185ddb47de,39.51%,197.5MiB / 500MiB,otel-collector,764MB / 836MB,23
841.557166,102kB / 0B,56.23%,otel-collector,5e185ddb47de,39.61%,198MiB / 500MiB,otel-collector,775MB / 849MB,23
851.541330,111kB / 0B,62.92%,otel-collector,5e185ddb47de,39.49%,197.5MiB / 500MiB,otel-collector,786MB / 862MB,23
861.563557,111kB / 0B,37.63%,otel-collector,5e185ddb47de,38.76%,193.8MiB / 500MiB,otel-collector,798MB / 874MB,23
871.554809,111kB / 0B,36.29%,otel-collector,5e185ddb47de,39.82%,199.1MiB / 500MiB,otel-collector,810MB / 888MB,23
881.566167,111kB / 0B,61.36%,otel-collector,5e185ddb47de,40.12%,200.6MiB / 500MiB,otel-collector,822MB / 901MB,23
891.532435,111kB / 0B,34.85%,otel-collector,5e185ddb47de,38.57%,192.9MiB / 500MiB,otel-collector,832MB / 913MB,23
901.539372,111kB / 0B,38.62%,otel-collector,5e185ddb47de,40.04%,200.2MiB / 500MiB,otel-collector,840MB / 922MB,23
911.558329,119kB / 0B,41.71%,otel-collector,5e185ddb47de,39.52%,197.6MiB / 500MiB,otel-collector,851MB / 933MB,23
921.533043,119kB / 0B,41.71%,otel-collector,5e185ddb47de,39.42%,197.1MiB / 500MiB,otel-collector,862MB / 946MB,23
931.539884,119kB / 0B,40.21%,otel-collector,5e185ddb47de,39.35%,196.8MiB / 500MiB,otel-collector,873MB / 957MB,23
941.530972,119kB / 0B,68.97%,otel-collector,5e185ddb47de,39.76%,198.8MiB / 500MiB,otel-collector,886MB / 971MB,23
951.549813,119kB / 0B,46.49%,otel-collector,5e185ddb47de,39.15%,195.8MiB / 500MiB,otel-collector,898MB / 984MB,23
961.534469,119kB / 0B,30.06%,otel-collector,5e185ddb47de,38.66%,193.3MiB / 500MiB,otel-collector,906MB / 994MB,23
971.528045,123kB / 0B,40.28%,otel-collector,5e185ddb47de,40.97%,204.8MiB / 500MiB,otel-collector,915MB / 1GB,23
981.543665,123kB / 0B,42.15%,otel-collector,5e185ddb47de,38.98%,194.9MiB / 500MiB,otel-collector,926MB / 1.02GB,23
991.538017,123kB / 0B,57.01%,otel-collector,5e185ddb47de,39.09%,195.4MiB / 500MiB,otel-collector,936MB / 1.03GB,23
1001.534530,123kB / 0B,65.09%,otel-collector,5e185ddb47de,39.25%,196.2MiB / 500MiB,otel-collector,948MB / 1.04GB,23
1011.532943,123kB / 0B,27.10%,otel-collector,5e185ddb47de,39.54%,197.7MiB / 500MiB,otel-collector,958MB / 1.05GB,23
1021.526321,123kB / 0B,48.47%,otel-collector,5e185ddb47de,39.12%,195.6MiB / 500MiB,otel-collector,966MB / 1.06GB,23
1031.545380,127kB / 0B,47.15%,otel-collector,5e185ddb47de,40.09%,200.5MiB / 500MiB,otel-collector,977MB / 1.07GB,23
1041.539708,127kB / 0B,51.91%,otel-collector,5e185ddb47de,40.43%,202.1MiB / 500MiB,otel-collector,989MB / 1.08GB,23
1051.543375,127kB / 0B,71.29%,otel-collector,5e185ddb47de,39.35%,196.8MiB / 500MiB,otel-collector,1GB / 1.1GB,23
