TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.538845,16.4kB / 0B,24.44%,otel-collector,fbece1c09bbe,28.91%,144.5MiB / 500MiB,otel-collector,8.78MB / 7.84MB,22
21.535026,16.4kB / 0B,25.19%,otel-collector,fbece1c09bbe,31.95%,159.8MiB / 500MiB,otel-collector,16.9MB / 15.2MB,22
31.536304,16.4kB / 0B,29.85%,otel-collector,fbece1c09bbe,35.56%,177.8MiB / 500MiB,otel-collector,26MB / 23.9MB,22
41.560736,16.4kB / 0B,17.61%,otel-collector,fbece1c09bbe,36.39%,182MiB / 500MiB,otel-collector,35.3MB / 32.9MB,22
51.531774,16.4kB / 0B,26.53%,otel-collector,fbece1c09bbe,34.24%,171.2MiB / 500MiB,otel-collector,44.3MB / 41.8MB,22
61.547782,16.4kB / 0B,27.55%,otel-collector,fbece1c09bbe,36.61%,183MiB / 500MiB,otel-collector,54MB / 51MB,22
71.574388,20.5kB / 0B,27.03%,otel-collector,fbece1c09bbe,37.07%,185.4MiB / 500MiB,otel-collector,63.8MB / 60.9MB,22
81.569306,20.5kB / 0B,18.30%,otel-collector,fbece1c09bbe,35.75%,178.7MiB / 500MiB,otel-collector,71.6MB / 69.1MB,22
91.574148,20.5kB / 0B,20.11%,otel-collector,fbece1c09bbe,38.09%,190.4MiB / 500MiB,otel-collector,80.7MB / 77.4MB,22
101.549475,20.5kB / 0B,25.63%,otel-collector,fbece1c09bbe,38.66%,193.3MiB / 500MiB,otel-collector,89.9MB / 85.9MB,22
111.531274,20.5kB / 0B,12.69%,otel-collector,fbece1c09bbe,38.73%,193.7MiB / 500MiB,otel-collector,99MB / 94.7MB,22
121.562923,20.5kB / 0B,33.20%,otel-collector,fbece1c09bbe,37.66%,188.3MiB / 500MiB,otel-collector,109MB / 104MB,22
131.565332,28.7kB / 0B,35.52%,otel-collector,fbece1c09bbe,37.59%,188MiB / 500MiB,otel-collector,119MB / 114MB,22
141.541703,28.7kB / 0B,32.24%,otel-collector,fbece1c09bbe,37.47%,187.4MiB / 500MiB,otel-collector,129MB / 124MB,22
151.531823,28.7kB / 0B,24.89%,otel-collector,fbece1c09bbe,36.39%,181.9MiB / 500MiB,otel-collector,138MB / 132MB,22
161.536932,28.7kB / 0B,27.53%,otel-collector,fbece1c09bbe,38.02%,190.1MiB / 500MiB,otel-collector,146MB / 141MB,22
171.525043,28.7kB / 0B,34.55%,otel-collector,fbece1c09bbe,37.32%,186.6MiB / 500MiB,otel-collector,155MB / 150MB,22
181.583558,28.7kB / 0B,30.51%,otel-collector,fbece1c09bbe,37.81%,189.1MiB / 500MiB,otel-collector,165MB / 159MB,22
191.526974,36.9kB / 0B,52.72%,otel-collector,fbece1c09bbe,37.64%,188.2MiB / 500MiB,otel-collector,175MB / 168MB,22
201.534413,36.9kB / 0B,37.15%,otel-collector,fbece1c09bbe,36.37%,181.8MiB / 500MiB,otel-collector,185MB / 178MB,22
211.600284,36.9kB / 0B,11.12%,otel-collector,fbece1c09bbe,37.98%,189.9MiB / 500MiB,otel-collector,194MB / 187MB,22
221.533746,36.9kB / 0B,36.71%,otel-collector,fbece1c09bbe,37.62%,188.1MiB / 500MiB,otel-collector,203MB / 195MB,22
231.539383,36.9kB / 0B,53.70%,otel-collector,fbece1c09bbe,36.70%,183.5MiB / 500MiB,otel-collector,212MB / 205MB,22
241.550815,36.9kB / 0B,19.98%,otel-collector,fbece1c09bbe,37.36%,186.8MiB / 500MiB,otel-collector,222MB / 213MB,22
251.545842,41kB / 0B,40.03%,otel-collector,fbece1c09bbe,38.10%,190.5MiB / 500MiB,otel-collector,231MB / 222MB,22
261.536226,41kB / 0B,34.20%,otel-collector,fbece1c09bbe,39.08%,195.4MiB / 500MiB,otel-collector,240MB / 231MB,22
271.533689,41kB / 0B,16.09%,otel-collector,fbece1c09bbe,39.52%,197.6MiB / 500MiB,otel-collector,250MB / 241MB,22
281.536051,41kB / 0B,33.40%,otel-collector,fbece1c09bbe,37.59%,187.9MiB / 500MiB,otel-collector,258MB / 249MB,22
291.530259,41kB / 0B,49.78%,otel-collector,fbece1c09bbe,36.54%,182.7MiB / 500MiB,otel-collector,267MB / 258MB,22
301.547147,41kB / 0B,33.89%,otel-collector,fbece1c09bbe,37.05%,185.2MiB / 500MiB,otel-collector,277MB / 267MB,22
311.572020,49.2kB / 0B,31.06%,otel-collector,fbece1c09bbe,37.90%,189.5MiB / 500MiB,otel-collector,286MB / 276MB,22
321.543894,49.2kB / 0B,36.81%,otel-collector,fbece1c09bbe,37.53%,187.7MiB / 500MiB,otel-collector,296MB / 285MB,22
331.534086,49.2kB / 0B,33.24%,otel-collector,fbece1c09bbe,38.04%,190.2MiB / 500MiB,otel-collector,306MB / 295MB,22
341.538081,49.2kB / 0B,36.99%,otel-collector,fbece1c09bbe,36.92%,184.6MiB / 500MiB,otel-collector,316MB / 305MB,22
351.556973,49.2kB / 0B,29.98%,otel-collector,fbece1c09bbe,39.55%,197.8MiB / 500MiB,otel-collector,324MB / 313MB,22
361.539394,49.2kB / 0B,37.90%,otel-collector,fbece1c09bbe,38.32%,191.6MiB / 500MiB,otel-collector,333MB / 322MB,22
371.564549,49.2kB / 0B,35.44%,otel-collector,fbece1c09bbe,37.87%,189.4MiB / 500MiB,otel-collector,343MB / 331MB,22
381.541541,49.2kB / 0B,53.44%,otel-collector,fbece1c09bbe,37.62%,188.1MiB / 500MiB,otel-collector,353MB / 340MB,22
391.533885,49.2kB / 0B,42.78%,otel-collector,fbece1c09bbe,38.28%,191.4MiB / 500MiB,otel-collector,362MB / 349MB,22
401.568752,49.2kB / 0B,47.77%,otel-collector,fbece1c09bbe,37.43%,187.2MiB / 500MiB,otel-collector,373MB / 359MB,22
411.534009,49.2kB / 0B,29.83%,otel-collector,fbece1c09bbe,38.16%,190.8MiB / 500MiB,otel-collector,382MB / 368MB,22
421.532788,49.2kB / 0B,19.82%,otel-collector,fbece1c09bbe,38.53%,192.6MiB / 500MiB,otel-collector,390MB / 377MB,22
431.531883,61.4kB / 0B,31.62%,otel-collector,fbece1c09bbe,37.98%,189.9MiB / 500MiB,otel-collector,399MB / 385MB,22
441.533811,61.4kB / 0B,32.37%,otel-collector,fbece1c09bbe,37.41%,187MiB / 500MiB,otel-collector,409MB / 395MB,22
451.532737,61.4kB / 0B,37.88%,otel-collector,fbece1c09bbe,37.38%,186.9MiB / 500MiB,otel-collector,419MB / 404MB,22
461.542242,61.4kB / 0B,34.32%,otel-collector,fbece1c09bbe,38.08%,190.4MiB / 500MiB,otel-collector,429MB / 414MB,22
471.533423,61.4kB / 0B,31.60%,otel-collector,fbece1c09bbe,38.29%,191.5MiB / 500MiB,otel-collector,438MB / 423MB,22
481.531965,61.4kB / 0B,31.32%,otel-collector,fbece1c09bbe,37.90%,189.5MiB / 500MiB,otel-collector,446MB / 431MB,22
491.547628,69.6kB / 0B,36.04%,otel-collector,fbece1c09bbe,37.57%,187.8MiB / 500MiB,otel-collector,456MB / 440MB,22
501.537976,69.6kB / 0B,33.93%,otel-collector,fbece1c09bbe,37.60%,188MiB / 500MiB,otel-collector,466MB / 449MB,22
511.536440,69.6kB / 0B,37.97%,otel-collector,fbece1c09bbe,37.20%,186MiB / 500MiB,otel-collector,475MB / 458MB,22
521.538705,69.6kB / 0B,42.53%,otel-collector,fbece1c09bbe,38.16%,190.8MiB / 500MiB,otel-collector,484MB / 468MB,23
531.535104,69.6kB / 0B,52.55%,otel-collector,fbece1c09bbe,38.45%,192.3MiB / 500MiB,otel-collector,494MB / 476MB,23
541.563568,69.6kB / 0B,29.22%,otel-collector,fbece1c09bbe,37.59%,188MiB / 500MiB,otel-collector,503MB / 486MB,23
551.529068,77.8kB / 0B,28.55%,otel-collector,fbece1c09bbe,38.52%,192.6MiB / 500MiB,otel-collector,511MB / 493MB,23
561.537295,77.8kB / 0B,35.86%,otel-collector,fbece1c09bbe,37.07%,185.3MiB / 500MiB,otel-collector,520MB / 502MB,23
571.570980,77.8kB / 0B,34.84%,otel-collector,fbece1c09bbe,37.82%,189.1MiB / 500MiB,otel-collector,529MB / 510MB,23
581.532150,77.8kB / 0B,15.71%,otel-collector,fbece1c09bbe,39.65%,198.2MiB / 500MiB,otel-collector,538MB / 519MB,23
591.541579,77.8kB / 0B,31.30%,otel-collector,fbece1c09bbe,38.14%,190.7MiB / 500MiB,otel-collector,547MB / 527MB,23
601.539000,77.8kB / 0B,39.91%,otel-collector,fbece1c09bbe,37.85%,189.2MiB / 500MiB,otel-collector,556MB / 537MB,23
611.536001,94.2kB / 0B,24.04%,otel-collector,fbece1c09bbe,38.44%,192.2MiB / 500MiB,otel-collector,564MB / 545MB,23
621.531570,94.2kB / 0B,24.61%,otel-collector,fbece1c09bbe,38.68%,193.4MiB / 500MiB,otel-collector,572MB / 552MB,23
631.539005,94.2kB / 0B,30.62%,otel-collector,fbece1c09bbe,39.26%,196.3MiB / 500MiB,otel-collector,580MB / 560MB,23
