TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.535421,0B / 0B,7.51%,otel-collector,194a4b799dcb,10.59%,52.93MiB / 500MiB,otel-collector,10.1MB / 1.58MB,19
21.543287,0B / 0B,7.27%,otel-collector,194a4b799dcb,12.12%,60.61MiB / 500MiB,otel-collector,22.9MB / 3.61MB,19
31.560381,0B / 0B,9.25%,otel-collector,194a4b799dcb,13.56%,67.78MiB / 500MiB,otel-collector,35.8MB / 5.58MB,19
41.566060,0B / 0B,8.46%,otel-collector,194a4b799dcb,14.57%,72.84MiB / 500MiB,otel-collector,47.8MB / 7.43MB,19
51.532521,0B / 0B,5.27%,otel-collector,194a4b799dcb,14.87%,74.35MiB / 500MiB,otel-collector,60.2MB / 9.38MB,19
61.550105,0B / 0B,9.81%,otel-collector,194a4b799dcb,15.29%,76.45MiB / 500MiB,otel-collector,70.2MB / 10.9MB,19
71.579320,0B / 0B,7.73%,otel-collector,194a4b799dcb,14.99%,74.96MiB / 500MiB,otel-collector,81.5MB / 12.7MB,19
81.564655,0B / 0B,6.63%,otel-collector,194a4b799dcb,15.31%,76.53MiB / 500MiB,otel-collector,93.5MB / 14.5MB,19
91.533760,0B / 0B,7.19%,otel-collector,194a4b799dcb,16.48%,82.42MiB / 500MiB,otel-collector,106MB / 16.4MB,21
101.533509,0B / 0B,7.65%,otel-collector,194a4b799dcb,15.10%,75.48MiB / 500MiB,otel-collector,118MB / 18.3MB,21
111.561956,0B / 0B,8.41%,otel-collector,194a4b799dcb,15.56%,77.8MiB / 500MiB,otel-collector,131MB / 20.3MB,21
121.535060,0B / 0B,9.25%,otel-collector,194a4b799dcb,15.84%,79.19MiB / 500MiB,otel-collector,144MB / 22.3MB,21
131.552149,0B / 0B,2.84%,otel-collector,194a4b799dcb,15.05%,75.25MiB / 500MiB,otel-collector,152MB / 23.6MB,21
141.561635,0B / 0B,11.24%,otel-collector,194a4b799dcb,15.55%,77.76MiB / 500MiB,otel-collector,164MB / 25.4MB,21
151.536249,0B / 0B,10.21%,otel-collector,194a4b799dcb,15.56%,77.79MiB / 500MiB,otel-collector,176MB / 27.3MB,21
