TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.590693,0B / 0B,10.31%,otel-collector,555043cc3ec1,16.61%,83.03MiB / 500MiB,otel-collector,12.1MB / 425kB,18
21.558956,0B / 0B,48.49%,otel-collector,555043cc3ec1,30.88%,154.4MiB / 500MiB,otel-collector,24.8MB / 3.77MB,21
31.554978,0B / 0B,33.11%,otel-collector,555043cc3ec1,33.92%,169.6MiB / 500MiB,otel-collector,37MB / 10.8MB,21
41.563993,0B / 0B,26.00%,otel-collector,555043cc3ec1,34.58%,172.9MiB / 500MiB,otel-collector,46.5MB / 17.3MB,21
51.541745,0B / 0B,33.18%,otel-collector,555043cc3ec1,34.16%,170.8MiB / 500MiB,otel-collector,58.6MB / 22.5MB,22
61.538413,0B / 0B,48.70%,otel-collector,555043cc3ec1,34.65%,173.2MiB / 500MiB,otel-collector,71.5MB / 28.6MB,22
71.535553,0B / 0B,39.45%,otel-collector,555043cc3ec1,34.39%,171.9MiB / 500MiB,otel-collector,82.9MB / 34.6MB,22
81.537066,0B / 0B,35.17%,otel-collector,555043cc3ec1,35.22%,176.1MiB / 500MiB,otel-collector,96.3MB / 40.9MB,22
91.559030,0B / 0B,44.89%,otel-collector,555043cc3ec1,35.42%,177.1MiB / 500MiB,otel-collector,109MB / 47.8MB,22
101.540578,0B / 0B,17.32%,otel-collector,555043cc3ec1,35.33%,176.6MiB / 500MiB,otel-collector,119MB / 54.3MB,22
111.533919,0B / 0B,49.32%,otel-collector,555043cc3ec1,35.93%,179.7MiB / 500MiB,otel-collector,131MB / 60.9MB,22
121.537757,0B / 0B,53.87%,otel-collector,555043cc3ec1,35.75%,178.8MiB / 500MiB,otel-collector,143MB / 66.3MB,22
131.567988,0B / 0B,31.72%,otel-collector,555043cc3ec1,35.87%,179.3MiB / 500MiB,otel-collector,155MB / 72.3MB,22
141.540721,0B / 0B,44.33%,otel-collector,555043cc3ec1,35.56%,177.8MiB / 500MiB,otel-collector,167MB / 78.8MB,22
151.563561,0B / 0B,54.26%,otel-collector,555043cc3ec1,36.48%,182.4MiB / 500MiB,otel-collector,181MB / 85.1MB,22
161.570533,0B / 0B,84.51%,otel-collector,555043cc3ec1,36.73%,183.7MiB / 500MiB,otel-collector,193MB / 91.9MB,22
171.599330,0B / 0B,42.52%,otel-collector,555043cc3ec1,35.72%,178.6MiB / 500MiB,otel-collector,203MB / 99.1MB,22
181.563213,0B / 0B,11.19%,otel-collector,555043cc3ec1,36.65%,183.2MiB / 500MiB,otel-collector,215MB / 104MB,22
191.566606,0B / 0B,74.91%,otel-collector,555043cc3ec1,37.10%,185.5MiB / 500MiB,otel-collector,227MB / 110MB,22
201.589013,0B / 0B,38.20%,otel-collector,555043cc3ec1,37.13%,185.7MiB / 500MiB,otel-collector,238MB / 116MB,22
211.575044,0B / 0B,23.61%,otel-collector,555043cc3ec1,36.75%,183.8MiB / 500MiB,otel-collector,251MB / 123MB,22
221.556313,0B / 0B,54.95%,otel-collector,555043cc3ec1,36.99%,184.9MiB / 500MiB,otel-collector,264MB / 129MB,22
231.532046,0B / 0B,46.74%,otel-collector,555043cc3ec1,37.38%,186.9MiB / 500MiB,otel-collector,276MB / 135MB,22
241.532109,0B / 0B,47.27%,otel-collector,555043cc3ec1,37.48%,187.4MiB / 500MiB,otel-collector,286MB / 142MB,22
251.570579,0B / 0B,47.51%,otel-collector,555043cc3ec1,37.49%,187.4MiB / 500MiB,otel-collector,297MB / 147MB,22
261.536716,0B / 0B,50.72%,otel-collector,555043cc3ec1,37.94%,189.7MiB / 500MiB,otel-collector,310MB / 153MB,22
271.534155,0B / 0B,54.03%,otel-collector,555043cc3ec1,37.86%,189.3MiB / 500MiB,otel-collector,322MB / 159MB,22
281.535609,0B / 0B,56.58%,otel-collector,555043cc3ec1,37.89%,189.4MiB / 500MiB,otel-collector,336MB / 166MB,22
291.562577,0B / 0B,50.61%,otel-collector,555043cc3ec1,37.61%,188MiB / 500MiB,otel-collector,347MB / 173MB,22
301.580873,0B / 0B,41.02%,otel-collector,555043cc3ec1,37.74%,188.7MiB / 500MiB,otel-collector,357MB / 179MB,22
311.574660,0B / 0B,48.12%,otel-collector,555043cc3ec1,37.86%,189.3MiB / 500MiB,otel-collector,368MB / 185MB,22
321.537482,0B / 0B,41.34%,otel-collector,555043cc3ec1,37.65%,188.2MiB / 500MiB,otel-collector,381MB / 190MB,22
331.537609,0B / 0B,46.68%,otel-collector,555043cc3ec1,38.12%,190.6MiB / 500MiB,otel-collector,391MB / 196MB,22
341.565040,0B / 0B,19.68%,otel-collector,555043cc3ec1,37.04%,185.2MiB / 500MiB,otel-collector,404MB / 203MB,22
351.538769,0B / 0B,57.93%,otel-collector,555043cc3ec1,37.80%,189MiB / 500MiB,otel-collector,417MB / 208MB,22
361.585758,0B / 0B,54.50%,otel-collector,555043cc3ec1,37.71%,188.6MiB / 500MiB,otel-collector,430MB / 215MB,22
371.540859,0B / 0B,20.94%,otel-collector,555043cc3ec1,37.19%,185.9MiB / 500MiB,otel-collector,438MB / 222MB,22
381.554112,0B / 0B,47.83%,otel-collector,555043cc3ec1,37.81%,189.1MiB / 500MiB,otel-collector,451MB / 227MB,22
391.537100,0B / 0B,51.39%,otel-collector,555043cc3ec1,38.21%,191.1MiB / 500MiB,otel-collector,463MB / 233MB,22
401.537096,0B / 0B,23.54%,otel-collector,555043cc3ec1,38.17%,190.9MiB / 500MiB,otel-collector,474MB / 239MB,22
411.529996,0B / 0B,51.40%,otel-collector,555043cc3ec1,38.39%,191.9MiB / 500MiB,otel-collector,484MB / 245MB,22
421.544825,0B / 0B,27.54%,otel-collector,555043cc3ec1,38.02%,190.1MiB / 500MiB,otel-collector,497MB / 250MB,22
431.525611,0B / 0B,33.36%,otel-collector,555043cc3ec1,38.20%,191MiB / 500MiB,otel-collector,507MB / 256MB,22
441.541694,0B / 0B,49.43%,otel-collector,555043cc3ec1,38.46%,192.3MiB / 500MiB,otel-collector,518MB / 262MB,22
451.536045,0B / 0B,43.35%,otel-collector,555043cc3ec1,38.35%,191.8MiB / 500MiB,otel-collector,530MB / 268MB,22
461.540148,0B / 0B,52.00%,otel-collector,555043cc3ec1,38.25%,191.2MiB / 500MiB,otel-collector,543MB / 274MB,22
471.545198,0B / 0B,52.53%,otel-collector,555043cc3ec1,38.34%,191.7MiB / 500MiB,otel-collector,554MB / 280MB,22
481.541824,0B / 0B,20.32%,otel-collector,555043cc3ec1,38.66%,193.3MiB / 500MiB,otel-collector,567MB / 286MB,22
