TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.567551,0B / 0B,13.39%,otel-collector,bc2a0cd0d26d,16.15%,80.73MiB / 500MiB,otel-collector,10.6MB / 400kB,22
21.532720,0B / 0B,29.83%,otel-collector,bc2a0cd0d26d,28.09%,140.5MiB / 500MiB,otel-collector,20.7MB / 2.58MB,22
31.567807,0B / 0B,18.11%,otel-collector,bc2a0cd0d26d,29.02%,145.1MiB / 500MiB,otel-collector,32.8MB / 7.12MB,22
41.533796,0B / 0B,19.02%,otel-collector,bc2a0cd0d26d,31.51%,157.5MiB / 500MiB,otel-collector,44.9MB / 11.9MB,22
51.532107,0B / 0B,20.73%,otel-collector,bc2a0cd0d26d,31.93%,159.7MiB / 500MiB,otel-collector,56.7MB / 16.6MB,22
61.598050,0B / 0B,20.36%,otel-collector,bc2a0cd0d26d,34.19%,170.9MiB / 500MiB,otel-collector,69.5MB / 21.4MB,22
71.546286,0B / 0B,14.64%,otel-collector,bc2a0cd0d26d,35.08%,175.4MiB / 500MiB,otel-collector,82.5MB / 26.3MB,22
81.562213,0B / 0B,12.70%,otel-collector,bc2a0cd0d26d,36.33%,181.7MiB / 500MiB,otel-collector,92.9MB / 31.4MB,22
91.533523,0B / 0B,39.12%,otel-collector,bc2a0cd0d26d,35.83%,179.2MiB / 500MiB,otel-collector,105MB / 36.8MB,22
101.541750,0B / 0B,9.92%,otel-collector,bc2a0cd0d26d,36.41%,182.1MiB / 500MiB,otel-collector,117MB / 40.5MB,22
111.538735,0B / 0B,42.23%,otel-collector,bc2a0cd0d26d,35.68%,178.4MiB / 500MiB,otel-collector,129MB / 45.4MB,22
121.532743,0B / 0B,42.42%,otel-collector,bc2a0cd0d26d,36.42%,182.1MiB / 500MiB,otel-collector,142MB / 50.5MB,22
131.595818,0B / 0B,41.79%,otel-collector,bc2a0cd0d26d,36.88%,184.4MiB / 500MiB,otel-collector,154MB / 55.7MB,22
141.529105,0B / 0B,32.19%,otel-collector,bc2a0cd0d26d,36.41%,182MiB / 500MiB,otel-collector,164MB / 60.6MB,22
151.534485,0B / 0B,12.21%,otel-collector,bc2a0cd0d26d,35.73%,178.6MiB / 500MiB,otel-collector,173MB / 65.5MB,22
161.534828,0B / 0B,16.41%,otel-collector,bc2a0cd0d26d,35.92%,179.6MiB / 500MiB,otel-collector,184MB / 68.8MB,22
171.533077,0B / 0B,41.78%,otel-collector,bc2a0cd0d26d,37.34%,186.7MiB / 500MiB,otel-collector,196MB / 72.9MB,22
181.533437,0B / 0B,21.15%,otel-collector,bc2a0cd0d26d,37.62%,188.1MiB / 500MiB,otel-collector,208MB / 77.4MB,22
191.537550,0B / 0B,16.69%,otel-collector,bc2a0cd0d26d,37.39%,187MiB / 500MiB,otel-collector,218MB / 82.4MB,22
201.567949,0B / 0B,18.35%,otel-collector,bc2a0cd0d26d,38.18%,190.9MiB / 500MiB,otel-collector,230MB / 86.7MB,22
211.561513,0B / 0B,22.26%,otel-collector,bc2a0cd0d26d,37.78%,188.9MiB / 500MiB,otel-collector,241MB / 91.3MB,22
221.546420,0B / 0B,43.96%,otel-collector,bc2a0cd0d26d,37.90%,189.5MiB / 500MiB,otel-collector,252MB / 96.2MB,22
231.539789,0B / 0B,46.47%,otel-collector,bc2a0cd0d26d,38.11%,190.5MiB / 500MiB,otel-collector,264MB / 100MB,22
241.531459,0B / 0B,77.12%,otel-collector,bc2a0cd0d26d,37.85%,189.2MiB / 500MiB,otel-collector,276MB / 105MB,22
251.562020,0B / 0B,52.89%,otel-collector,bc2a0cd0d26d,37.93%,189.6MiB / 500MiB,otel-collector,289MB / 110MB,22
261.555589,0B / 0B,44.78%,otel-collector,bc2a0cd0d26d,38.31%,191.5MiB / 500MiB,otel-collector,302MB / 114MB,22
271.563741,0B / 0B,56.07%,otel-collector,bc2a0cd0d26d,38.34%,191.7MiB / 500MiB,otel-collector,316MB / 120MB,22
281.569050,0B / 0B,48.90%,otel-collector,bc2a0cd0d26d,38.17%,190.8MiB / 500MiB,otel-collector,326MB / 125MB,22
291.536076,0B / 0B,31.86%,otel-collector,bc2a0cd0d26d,38.12%,190.6MiB / 500MiB,otel-collector,337MB / 130MB,22
301.556142,0B / 0B,47.86%,otel-collector,bc2a0cd0d26d,38.51%,192.6MiB / 500MiB,otel-collector,349MB / 134MB,22
311.570380,0B / 0B,48.18%,otel-collector,bc2a0cd0d26d,38.24%,191.2MiB / 500MiB,otel-collector,361MB / 139MB,22
321.533366,0B / 0B,50.58%,otel-collector,bc2a0cd0d26d,38.63%,193.2MiB / 500MiB,otel-collector,374MB / 144MB,22
331.581550,0B / 0B,56.63%,otel-collector,bc2a0cd0d26d,38.57%,192.9MiB / 500MiB,otel-collector,387MB / 149MB,22
341.609806,0B / 0B,27.68%,otel-collector,bc2a0cd0d26d,38.61%,193.1MiB / 500MiB,otel-collector,399MB / 154MB,22
351.532046,0B / 0B,15.33%,otel-collector,bc2a0cd0d26d,38.44%,192.2MiB / 500MiB,otel-collector,408MB / 159MB,22
361.531510,0B / 0B,13.75%,otel-collector,bc2a0cd0d26d,38.96%,194.8MiB / 500MiB,otel-collector,420MB / 163MB,22
371.535593,0B / 0B,47.02%,otel-collector,bc2a0cd0d26d,38.67%,193.3MiB / 500MiB,otel-collector,433MB / 168MB,22
381.612826,0B / 0B,45.27%,otel-collector,bc2a0cd0d26d,38.54%,192.7MiB / 500MiB,otel-collector,445MB / 173MB,22
391.556753,0B / 0B,17.88%,otel-collector,bc2a0cd0d26d,39.25%,196.2MiB / 500MiB,otel-collector,459MB / 177MB,22
401.541356,0B / 0B,76.38%,otel-collector,bc2a0cd0d26d,38.78%,193.9MiB / 500MiB,otel-collector,471MB / 182MB,22
411.545514,0B / 0B,34.19%,otel-collector,bc2a0cd0d26d,38.68%,193.4MiB / 500MiB,otel-collector,482MB / 187MB,22
421.535115,0B / 0B,51.58%,otel-collector,bc2a0cd0d26d,38.82%,194.1MiB / 500MiB,otel-collector,493MB / 193MB,22
431.535448,0B / 0B,42.97%,otel-collector,bc2a0cd0d26d,38.82%,194.1MiB / 500MiB,otel-collector,505MB / 196MB,22
441.541837,0B / 0B,9.91%,otel-collector,bc2a0cd0d26d,38.25%,191.3MiB / 500MiB,otel-collector,518MB / 201MB,22
451.530852,0B / 0B,51.92%,otel-collector,bc2a0cd0d26d,39.04%,195.2MiB / 500MiB,otel-collector,530MB / 206MB,22
461.538472,0B / 0B,58.68%,otel-collector,bc2a0cd0d26d,39.03%,195.2MiB / 500MiB,otel-collector,543MB / 211MB,22
471.538704,0B / 0B,57.58%,otel-collector,bc2a0cd0d26d,38.96%,194.8MiB / 500MiB,otel-collector,556MB / 216MB,22
481.531257,0B / 0B,53.94%,otel-collector,bc2a0cd0d26d,39.73%,198.6MiB / 500MiB,otel-collector,566MB / 222MB,22
491.569834,0B / 0B,15.93%,otel-collector,bc2a0cd0d26d,38.80%,194MiB / 500MiB,otel-collector,579MB / 226MB,22
501.534890,0B / 0B,54.69%,otel-collector,bc2a0cd0d26d,39.19%,195.9MiB / 500MiB,otel-collector,591MB / 230MB,22
511.534700,0B / 0B,47.04%,otel-collector,bc2a0cd0d26d,39.29%,196.5MiB / 500MiB,otel-collector,604MB / 235MB,22
521.559247,0B / 0B,46.96%,otel-collector,bc2a0cd0d26d,39.28%,196.4MiB / 500MiB,otel-collector,618MB / 241MB,22
531.535403,0B / 0B,80.49%,otel-collector,bc2a0cd0d26d,39.36%,196.8MiB / 500MiB,otel-collector,630MB / 246MB,22
