TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.562307,0B / 0B,6.78%,otel-collector,4498f828a079,14.78%,73.91MiB / 500MiB,otel-collector,9.86MB / 405kB,21
21.532944,0B / 0B,17.92%,otel-collector,4498f828a079,27.57%,137.8MiB / 500MiB,otel-collector,21.7MB / 2.72MB,22
31.545839,0B / 0B,17.71%,otel-collector,4498f828a079,32.23%,161.1MiB / 500MiB,otel-collector,33.5MB / 9.56MB,22
41.532655,0B / 0B,19.95%,otel-collector,4498f828a079,32.39%,161.9MiB / 500MiB,otel-collector,47MB / 15.7MB,22
51.553845,0B / 0B,41.13%,otel-collector,4498f828a079,33.48%,167.4MiB / 500MiB,otel-collector,59.2MB / 22.3MB,22
61.529338,0B / 0B,27.44%,otel-collector,4498f828a079,33.74%,168.7MiB / 500MiB,otel-collector,68.3MB / 28.8MB,22
71.549884,0B / 0B,14.17%,otel-collector,4498f828a079,32.20%,161MiB / 500MiB,otel-collector,79.9MB / 34.1MB,22
81.537646,0B / 0B,39.64%,otel-collector,4498f828a079,33.54%,167.7MiB / 500MiB,otel-collector,92.5MB / 39.9MB,22
91.532967,0B / 0B,34.57%,otel-collector,4498f828a079,33.44%,167.2MiB / 500MiB,otel-collector,103MB / 46.1MB,22
101.534665,0B / 0B,32.17%,otel-collector,4498f828a079,34.43%,172.2MiB / 500MiB,otel-collector,116MB / 52.2MB,22
111.522901,0B / 0B,42.36%,otel-collector,4498f828a079,34.53%,172.6MiB / 500MiB,otel-collector,129MB / 58.9MB,22
121.540926,0B / 0B,50.82%,otel-collector,4498f828a079,34.25%,171.2MiB / 500MiB,otel-collector,139MB / 65.5MB,22
131.546331,0B / 0B,41.36%,otel-collector,4498f828a079,33.99%,169.9MiB / 500MiB,otel-collector,151MB / 72.1MB,22
141.531742,0B / 0B,44.17%,otel-collector,4498f828a079,33.78%,168.9MiB / 500MiB,otel-collector,162MB / 77.2MB,22
151.546894,0B / 0B,12.86%,otel-collector,4498f828a079,33.20%,166MiB / 500MiB,otel-collector,175MB / 82.9MB,22
161.567465,0B / 0B,47.23%,otel-collector,4498f828a079,34.67%,173.3MiB / 500MiB,otel-collector,186MB / 89.8MB,22
171.539946,0B / 0B,16.02%,otel-collector,4498f828a079,34.46%,172.3MiB / 500MiB,otel-collector,198MB / 95.4MB,22
181.540514,0B / 0B,50.56%,otel-collector,4498f828a079,34.67%,173.3MiB / 500MiB,otel-collector,211MB / 102MB,22
191.553015,0B / 0B,48.97%,otel-collector,4498f828a079,34.92%,174.6MiB / 500MiB,otel-collector,220MB / 108MB,22
201.565599,0B / 0B,35.25%,otel-collector,4498f828a079,35.17%,175.9MiB / 500MiB,otel-collector,230MB / 114MB,22
211.531979,0B / 0B,25.76%,otel-collector,4498f828a079,33.73%,168.6MiB / 500MiB,otel-collector,242MB / 119MB,22
221.534608,0B / 0B,49.95%,otel-collector,4498f828a079,34.90%,174.5MiB / 500MiB,otel-collector,254MB / 125MB,22
231.567607,0B / 0B,74.29%,otel-collector,4498f828a079,34.42%,172.1MiB / 500MiB,otel-collector,267MB / 132MB,22
241.534603,0B / 0B,46.05%,otel-collector,4498f828a079,34.83%,174.2MiB / 500MiB,otel-collector,279MB / 138MB,22
251.531038,0B / 0B,47.51%,otel-collector,4498f828a079,34.81%,174.1MiB / 500MiB,otel-collector,290MB / 144MB,22
261.569059,0B / 0B,25.40%,otel-collector,4498f828a079,34.90%,174.5MiB / 500MiB,otel-collector,300MB / 151MB,22
271.562154,0B / 0B,41.95%,otel-collector,4498f828a079,35.46%,177.3MiB / 500MiB,otel-collector,311MB / 155MB,22
281.540033,0B / 0B,22.85%,otel-collector,4498f828a079,35.40%,177MiB / 500MiB,otel-collector,322MB / 162MB,22
291.550761,0B / 0B,37.76%,otel-collector,4498f828a079,35.30%,176.5MiB / 500MiB,otel-collector,334MB / 167MB,22
301.570074,0B / 0B,18.11%,otel-collector,4498f828a079,35.02%,175.1MiB / 500MiB,otel-collector,346MB / 173MB,22
311.600943,0B / 0B,54.77%,otel-collector,4498f828a079,35.54%,177.7MiB / 500MiB,otel-collector,360MB / 180MB,22
321.544522,0B / 0B,55.18%,otel-collector,4498f828a079,35.43%,177.1MiB / 500MiB,otel-collector,369MB / 187MB,22
331.565966,0B / 0B,48.50%,otel-collector,4498f828a079,35.83%,179.1MiB / 500MiB,otel-collector,380MB / 193MB,22
341.532496,0B / 0B,9.95%,otel-collector,4498f828a079,34.75%,173.7MiB / 500MiB,otel-collector,391MB / 197MB,22
351.547645,0B / 0B,35.69%,otel-collector,4498f828a079,35.45%,177.2MiB / 500MiB,otel-collector,403MB / 204MB,22
361.600684,0B / 0B,49.33%,otel-collector,4498f828a079,34.82%,174.1MiB / 500MiB,otel-collector,416MB / 210MB,22
371.611766,0B / 0B,51.52%,otel-collector,4498f828a079,34.95%,174.8MiB / 500MiB,otel-collector,427MB / 217MB,22
381.533846,0B / 0B,54.60%,otel-collector,4498f828a079,34.97%,174.8MiB / 500MiB,otel-collector,440MB / 223MB,22
391.534464,0B / 0B,52.15%,otel-collector,4498f828a079,35.67%,178.3MiB / 500MiB,otel-collector,450MB / 229MB,22
401.537344,0B / 0B,22.35%,otel-collector,4498f828a079,35.52%,177.6MiB / 500MiB,otel-collector,461MB / 235MB,22
411.536093,0B / 0B,61.47%,otel-collector,4498f828a079,35.54%,177.7MiB / 500MiB,otel-collector,471MB / 241MB,22
421.542970,0B / 0B,46.71%,otel-collector,4498f828a079,35.45%,177.3MiB / 500MiB,otel-collector,484MB / 247MB,22
431.535394,0B / 0B,49.25%,otel-collector,4498f828a079,35.70%,178.5MiB / 500MiB,otel-collector,497MB / 253MB,23
441.541748,0B / 0B,23.07%,otel-collector,4498f828a079,35.83%,179.2MiB / 500MiB,otel-collector,509MB / 259MB,23
451.534107,0B / 0B,43.11%,otel-collector,4498f828a079,36.15%,180.7MiB / 500MiB,otel-collector,519MB / 265MB,23
461.526336,0B / 0B,45.37%,otel-collector,4498f828a079,36.18%,180.9MiB / 500MiB,otel-collector,529MB / 272MB,23
471.533590,0B / 0B,48.16%,otel-collector,4498f828a079,36.39%,181.9MiB / 500MiB,otel-collector,540MB / 276MB,23
481.534800,0B / 0B,53.82%,otel-collector,4498f828a079,36.75%,183.8MiB / 500MiB,otel-collector,553MB / 282MB,23
491.548525,0B / 0B,52.55%,otel-collector,4498f828a079,36.30%,181.5MiB / 500MiB,otel-collector,564MB / 289MB,23
501.535447,0B / 0B,49.73%,otel-collector,4498f828a079,36.36%,181.8MiB / 500MiB,otel-collector,579MB / 295MB,23
