TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.529861,0B / 0B,7.13%,otel-collector,96bf67b322ce,16.35%,81.76MiB / 500MiB,otel-collector,11.8MB / 418kB,20
21.530429,0B / 0B,22.81%,otel-collector,96bf67b322ce,29.75%,148.8MiB / 500MiB,otel-collector,25.3MB / 2.35MB,21
31.527779,0B / 0B,27.79%,otel-collector,96bf67b322ce,32.90%,164.5MiB / 500MiB,otel-collector,34.5MB / 6.34MB,21
41.545178,0B / 0B,37.12%,otel-collector,96bf67b322ce,34.81%,174MiB / 500MiB,otel-collector,46.4MB / 10.3MB,21
51.550651,0B / 0B,9.95%,otel-collector,96bf67b322ce,34.82%,174.1MiB / 500MiB,otel-collector,57.8MB / 12.7MB,21
61.528816,0B / 0B,34.14%,otel-collector,96bf67b322ce,33.94%,169.7MiB / 500MiB,otel-collector,69.5MB / 16.1MB,21
71.584136,0B / 0B,21.24%,otel-collector,96bf67b322ce,33.98%,169.9MiB / 500MiB,otel-collector,81.6MB / 19.8MB,21
81.533295,0B / 0B,20.15%,otel-collector,96bf67b322ce,34.86%,174.3MiB / 500MiB,otel-collector,94.2MB / 23.4MB,21
91.542726,0B / 0B,19.93%,otel-collector,96bf67b322ce,35.60%,178MiB / 500MiB,otel-collector,107MB / 27.4MB,21
101.543296,0B / 0B,36.04%,otel-collector,96bf67b322ce,35.07%,175.3MiB / 500MiB,otel-collector,115MB / 31.2MB,21
111.537578,0B / 0B,38.39%,otel-collector,96bf67b322ce,35.58%,177.9MiB / 500MiB,otel-collector,127MB / 34.3MB,21
121.531722,0B / 0B,39.27%,otel-collector,96bf67b322ce,34.86%,174.3MiB / 500MiB,otel-collector,139MB / 37.5MB,22
131.603819,0B / 0B,43.79%,otel-collector,96bf67b322ce,34.41%,172.1MiB / 500MiB,otel-collector,151MB / 41.2MB,22
141.541429,0B / 0B,41.86%,otel-collector,96bf67b322ce,34.52%,172.6MiB / 500MiB,otel-collector,163MB / 44.7MB,22
151.565247,0B / 0B,20.57%,otel-collector,96bf67b322ce,35.11%,175.6MiB / 500MiB,otel-collector,177MB / 48.2MB,22
161.597428,0B / 0B,40.59%,otel-collector,96bf67b322ce,35.08%,175.4MiB / 500MiB,otel-collector,187MB / 52.1MB,22
171.599201,0B / 0B,43.79%,otel-collector,96bf67b322ce,34.66%,173.3MiB / 500MiB,otel-collector,196MB / 55.9MB,22
181.525886,0B / 0B,18.62%,otel-collector,96bf67b322ce,35.21%,176MiB / 500MiB,otel-collector,208MB / 58.4MB,22
191.531841,0B / 0B,45.06%,otel-collector,96bf67b322ce,35.90%,179.5MiB / 500MiB,otel-collector,221MB / 61.8MB,22
201.529431,0B / 0B,45.60%,otel-collector,96bf67b322ce,36.39%,182MiB / 500MiB,otel-collector,233MB / 65.2MB,22
211.532032,0B / 0B,44.73%,otel-collector,96bf67b322ce,36.68%,183.4MiB / 500MiB,otel-collector,247MB / 68.8MB,23
221.540759,0B / 0B,83.14%,otel-collector,96bf67b322ce,36.41%,182.1MiB / 500MiB,otel-collector,259MB / 73MB,23
231.537232,0B / 0B,45.55%,otel-collector,96bf67b322ce,36.54%,182.7MiB / 500MiB,otel-collector,269MB / 77MB,23
241.533863,0B / 0B,41.87%,otel-collector,96bf67b322ce,36.98%,184.9MiB / 500MiB,otel-collector,280MB / 80.6MB,23
251.541593,0B / 0B,40.14%,otel-collector,96bf67b322ce,37.07%,185.4MiB / 500MiB,otel-collector,291MB / 83.1MB,23
261.537619,0B / 0B,17.42%,otel-collector,96bf67b322ce,37.35%,186.8MiB / 500MiB,otel-collector,302MB / 86.4MB,23
271.535261,0B / 0B,44.47%,otel-collector,96bf67b322ce,37.85%,189.3MiB / 500MiB,otel-collector,314MB / 90MB,23
281.532619,0B / 0B,48.55%,otel-collector,96bf67b322ce,37.81%,189MiB / 500MiB,otel-collector,326MB / 93.5MB,23
291.532276,0B / 0B,53.99%,otel-collector,96bf67b322ce,37.63%,188.1MiB / 500MiB,otel-collector,338MB / 97.4MB,23
301.530897,0B / 0B,13.13%,otel-collector,96bf67b322ce,37.29%,186.5MiB / 500MiB,otel-collector,347MB / 101MB,23
311.539604,0B / 0B,18.48%,otel-collector,96bf67b322ce,37.39%,186.9MiB / 500MiB,otel-collector,361MB / 104MB,23
321.532862,0B / 0B,88.70%,otel-collector,96bf67b322ce,37.76%,188.8MiB / 500MiB,otel-collector,375MB / 108MB,23
331.533574,0B / 0B,49.36%,otel-collector,96bf67b322ce,37.44%,187.2MiB / 500MiB,otel-collector,387MB / 112MB,23
341.539142,0B / 0B,13.07%,otel-collector,96bf67b322ce,38.15%,190.8MiB / 500MiB,otel-collector,401MB / 116MB,23
