TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.526228,0B / 0B,2.34%,otel-collector,3688b1b9c636,8.85%,44.27MiB / 500MiB,otel-collector,3.88MB / 577kB,16
21.533296,0B / 0B,1.03%,otel-collector,3688b1b9c636,9.68%,48.42MiB / 500MiB,otel-collector,6.62MB / 922kB,16
31.532157,0B / 0B,1.70%,otel-collector,3688b1b9c636,10.13%,50.66MiB / 500MiB,otel-collector,10.1MB / 1.36MB,16
41.535730,0B / 0B,2.76%,otel-collector,3688b1b9c636,10.98%,54.89MiB / 500MiB,otel-collector,14.1MB / 1.83MB,16
51.535231,0B / 0B,1.90%,otel-collector,3688b1b9c636,11.02%,55.09MiB / 500MiB,otel-collector,18MB / 2.33MB,18
61.534020,0B / 0B,3.81%,otel-collector,3688b1b9c636,11.86%,59.31MiB / 500MiB,otel-collector,23MB / 2.97MB,21
71.534583,0B / 0B,3.07%,otel-collector,3688b1b9c636,12.29%,61.47MiB / 500MiB,otel-collector,29.7MB / 3.87MB,21
81.532773,0B / 0B,2.65%,otel-collector,3688b1b9c636,13.51%,67.53MiB / 500MiB,otel-collector,38.2MB / 4.99MB,21
91.531504,0B / 0B,3.40%,otel-collector,3688b1b9c636,13.19%,65.94MiB / 500MiB,otel-collector,46.8MB / 6.13MB,21
101.534947,0B / 0B,3.22%,otel-collector,3688b1b9c636,13.27%,66.34MiB / 500MiB,otel-collector,53.3MB / 7MB,21
111.529120,0B / 0B,2.27%,otel-collector,3688b1b9c636,13.22%,66.12MiB / 500MiB,otel-collector,60.3MB / 7.91MB,21
121.532739,0B / 0B,4.49%,otel-collector,3688b1b9c636,14.31%,71.54MiB / 500MiB,otel-collector,68.3MB / 9.12MB,21
131.533998,0B / 0B,7.71%,otel-collector,3688b1b9c636,13.71%,68.55MiB / 500MiB,otel-collector,76.5MB / 10.3MB,21
141.533904,0B / 0B,5.25%,otel-collector,3688b1b9c636,14.86%,74.29MiB / 500MiB,otel-collector,84.7MB / 11.7MB,21
151.530425,0B / 0B,7.02%,otel-collector,3688b1b9c636,14.39%,71.97MiB / 500MiB,otel-collector,93MB / 13MB,21
161.560830,0B / 0B,4.12%,otel-collector,3688b1b9c636,14.92%,74.59MiB / 500MiB,otel-collector,101MB / 14.2MB,21
171.531538,0B / 0B,4.83%,otel-collector,3688b1b9c636,14.12%,70.62MiB / 500MiB,otel-collector,108MB / 15.4MB,21
181.532091,0B / 0B,10.25%,otel-collector,3688b1b9c636,14.21%,71.04MiB / 500MiB,otel-collector,117MB / 16.6MB,21
191.533996,0B / 0B,2.43%,otel-collector,3688b1b9c636,14.18%,70.91MiB / 500MiB,otel-collector,124MB / 17.9MB,21
201.528303,0B / 0B,5.97%,otel-collector,3688b1b9c636,14.64%,73.2MiB / 500MiB,otel-collector,132MB / 19MB,21
211.533606,0B / 0B,1.73%,otel-collector,3688b1b9c636,15.62%,78.11MiB / 500MiB,otel-collector,140MB / 20.3MB,21
221.537871,0B / 0B,10.34%,otel-collector,3688b1b9c636,15.17%,75.86MiB / 500MiB,otel-collector,149MB / 21.7MB,21
231.532629,0B / 0B,4.91%,otel-collector,3688b1b9c636,14.47%,72.36MiB / 500MiB,otel-collector,157MB / 22.9MB,21
241.532139,0B / 0B,7.51%,otel-collector,3688b1b9c636,14.18%,70.89MiB / 500MiB,otel-collector,166MB / 24.3MB,21
251.531496,0B / 0B,6.48%,otel-collector,3688b1b9c636,15.40%,77.02MiB / 500MiB,otel-collector,175MB / 25.7MB,21
261.569124,0B / 0B,5.32%,otel-collector,3688b1b9c636,15.41%,77.03MiB / 500MiB,otel-collector,183MB / 26.9MB,21
271.530636,0B / 0B,6.24%,otel-collector,3688b1b9c636,14.64%,73.2MiB / 500MiB,otel-collector,191MB / 28.2MB,21
281.581558,0B / 0B,5.87%,otel-collector,3688b1b9c636,15.33%,76.66MiB / 500MiB,otel-collector,201MB / 29.7MB,21
291.530339,0B / 0B,8.99%,otel-collector,3688b1b9c636,14.80%,73.98MiB / 500MiB,otel-collector,208MB / 30.8MB,21
301.534077,0B / 0B,5.26%,otel-collector,3688b1b9c636,14.96%,74.82MiB / 500MiB,otel-collector,215MB / 31.9MB,21
311.532663,0B / 0B,5.67%,otel-collector,3688b1b9c636,14.76%,73.82MiB / 500MiB,otel-collector,223MB / 33.1MB,21
321.530627,0B / 0B,2.95%,otel-collector,3688b1b9c636,14.68%,73.39MiB / 500MiB,otel-collector,230MB / 34.2MB,21
331.529861,0B / 0B,8.67%,otel-collector,3688b1b9c636,14.29%,71.47MiB / 500MiB,otel-collector,238MB / 35.4MB,21
341.566267,0B / 0B,7.88%,otel-collector,3688b1b9c636,15.14%,75.71MiB / 500MiB,otel-collector,247MB / 36.8MB,21
351.532838,0B / 0B,6.72%,otel-collector,3688b1b9c636,15.26%,76.28MiB / 500MiB,otel-collector,255MB / 38.1MB,21
361.548813,0B / 0B,5.49%,otel-collector,3688b1b9c636,14.75%,73.76MiB / 500MiB,otel-collector,262MB / 39.2MB,21
371.559232,0B / 0B,3.28%,otel-collector,3688b1b9c636,14.75%,73.77MiB / 500MiB,otel-collector,271MB / 40.5MB,21
381.533840,0B / 0B,6.95%,otel-collector,3688b1b9c636,14.98%,74.88MiB / 500MiB,otel-collector,278MB / 41.7MB,21
391.535834,0B / 0B,8.89%,otel-collector,3688b1b9c636,14.84%,74.21MiB / 500MiB,otel-collector,286MB / 42.9MB,21
401.537043,0B / 0B,6.02%,otel-collector,3688b1b9c636,15.25%,76.25MiB / 500MiB,otel-collector,294MB / 44.2MB,21
411.535895,0B / 0B,6.46%,otel-collector,3688b1b9c636,15.19%,75.95MiB / 500MiB,otel-collector,303MB / 45.6MB,21
421.531311,0B / 0B,1.70%,otel-collector,3688b1b9c636,15.47%,77.34MiB / 500MiB,otel-collector,310MB / 46.7MB,21
431.530291,0B / 0B,5.14%,otel-collector,3688b1b9c636,16.59%,82.93MiB / 500MiB,otel-collector,317MB / 47.7MB,21
441.525123,0B / 0B,9.26%,otel-collector,3688b1b9c636,16.22%,81.09MiB / 500MiB,otel-collector,323MB / 48.6MB,21
451.534533,0B / 0B,8.91%,otel-collector,3688b1b9c636,15.99%,79.97MiB / 500MiB,otel-collector,331MB / 49.8MB,21
461.554905,0B / 0B,7.84%,otel-collector,3688b1b9c636,15.94%,79.68MiB / 500MiB,otel-collector,338MB / 51MB,21
471.531111,0B / 0B,4.47%,otel-collector,3688b1b9c636,15.24%,76.21MiB / 500MiB,otel-collector,346MB / 52.2MB,21
481.532584,0B / 0B,9.73%,otel-collector,3688b1b9c636,15.97%,79.85MiB / 500MiB,otel-collector,355MB / 53.6MB,21
491.530084,0B / 0B,6.61%,otel-collector,3688b1b9c636,15.00%,75MiB / 500MiB,otel-collector,362MB / 54.7MB,21
501.536822,0B / 0B,2.67%,otel-collector,3688b1b9c636,16.53%,82.67MiB / 500MiB,otel-collector,369MB / 55.7MB,21
511.532906,0B / 0B,6.49%,otel-collector,3688b1b9c636,16.18%,80.88MiB / 500MiB,otel-collector,376MB / 56.9MB,21
521.533985,0B / 0B,2.37%,otel-collector,3688b1b9c636,15.28%,76.42MiB / 500MiB,otel-collector,384MB / 58.1MB,21
531.537316,0B / 0B,6.03%,otel-collector,3688b1b9c636,15.60%,78.02MiB / 500MiB,otel-collector,392MB / 59.4MB,21
541.547656,0B / 0B,2.16%,otel-collector,3688b1b9c636,16.28%,81.41MiB / 500MiB,otel-collector,401MB / 60.7MB,21
551.532634,0B / 0B,1.26%,otel-collector,3688b1b9c636,16.97%,84.84MiB / 500MiB,otel-collector,408MB / 61.8MB,21
561.538955,0B / 0B,4.17%,otel-collector,3688b1b9c636,17.24%,86.2MiB / 500MiB,otel-collector,415MB / 62.9MB,21
571.531504,0B / 0B,8.48%,otel-collector,3688b1b9c636,15.76%,78.8MiB / 500MiB,otel-collector,423MB / 64MB,21
581.530743,0B / 0B,4.79%,otel-collector,3688b1b9c636,16.39%,81.96MiB / 500MiB,otel-collector,430MB / 65.2MB,21
591.543426,0B / 0B,6.55%,otel-collector,3688b1b9c636,16.27%,81.33MiB / 500MiB,otel-collector,437MB / 66.4MB,21
