TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.530852,0B / 0B,2.29%,otel-collector,99fbc828a364,13.06%,65.28MiB / 500MiB,otel-collector,7.39MB / 248kB,21
21.536218,0B / 0B,5.18%,otel-collector,99fbc828a364,29.01%,145.1MiB / 500MiB,otel-collector,14MB / 3.13MB,21
31.586143,0B / 0B,13.79%,otel-collector,99fbc828a364,30.22%,151.1MiB / 500MiB,otel-collector,22.2MB / 6.99MB,22
41.563987,0B / 0B,21.13%,otel-collector,99fbc828a364,34.22%,171.1MiB / 500MiB,otel-collector,31MB / 10.6MB,22
51.549605,0B / 0B,28.05%,otel-collector,99fbc828a364,36.20%,181MiB / 500MiB,otel-collector,39MB / 15MB,22
61.533217,0B / 0B,26.05%,otel-collector,99fbc828a364,35.82%,179.1MiB / 500MiB,otel-collector,47.2MB / 19.2MB,22
71.544470,0B / 0B,15.02%,otel-collector,99fbc828a364,36.05%,180.3MiB / 500MiB,otel-collector,54.6MB / 23.4MB,22
81.543553,0B / 0B,18.00%,otel-collector,99fbc828a364,36.65%,183.2MiB / 500MiB,otel-collector,61.2MB / 27.8MB,22
91.551463,0B / 0B,10.23%,otel-collector,99fbc828a364,36.19%,180.9MiB / 500MiB,otel-collector,69.7MB / 31.3MB,22
101.537422,0B / 0B,20.58%,otel-collector,99fbc828a364,36.55%,182.7MiB / 500MiB,otel-collector,78.2MB / 34.7MB,22
111.551298,0B / 0B,15.31%,otel-collector,99fbc828a364,37.26%,186.3MiB / 500MiB,otel-collector,86MB / 39.3MB,22
121.562378,0B / 0B,35.96%,otel-collector,99fbc828a364,38.47%,192.4MiB / 500MiB,otel-collector,94.3MB / 43.6MB,22
131.537346,0B / 0B,31.10%,otel-collector,99fbc828a364,37.08%,185.4MiB / 500MiB,otel-collector,102MB / 47.5MB,22
141.527616,0B / 0B,11.07%,otel-collector,99fbc828a364,38.24%,191.2MiB / 500MiB,otel-collector,110MB / 52MB,22
151.550300,0B / 0B,27.22%,otel-collector,99fbc828a364,37.27%,186.4MiB / 500MiB,otel-collector,116MB / 56.1MB,22
161.544831,0B / 0B,15.58%,otel-collector,99fbc828a364,37.45%,187.2MiB / 500MiB,otel-collector,124MB / 59.8MB,22
