TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.567578,0B / 0B,10.97%,otel-collector,0ae2551a002a,13.89%,69.47MiB / 500MiB,otel-collector,7.64MB / 323kB,20
21.538836,0B / 0B,1.94%,otel-collector,0ae2551a002a,23.14%,115.7MiB / 500MiB,otel-collector,14.6MB / 1.53MB,21
31.535692,0B / 0B,9.96%,otel-collector,0ae2551a002a,26.54%,132.7MiB / 500MiB,otel-collector,22.3MB / 5.5MB,21
41.531879,0B / 0B,15.61%,otel-collector,0ae2551a002a,30.50%,152.5MiB / 500MiB,otel-collector,31.5MB / 8.69MB,21
51.536403,0B / 0B,13.32%,otel-collector,0ae2551a002a,29.27%,146.3MiB / 500MiB,otel-collector,39.7MB / 12.3MB,21
61.536908,0B / 0B,8.68%,otel-collector,0ae2551a002a,30.40%,152MiB / 500MiB,otel-collector,47.3MB / 15.8MB,21
71.632426,0B / 0B,8.47%,otel-collector,0ae2551a002a,32.82%,164.1MiB / 500MiB,otel-collector,54.2MB / 19.1MB,21
81.532092,0B / 0B,14.52%,otel-collector,0ae2551a002a,33.34%,166.7MiB / 500MiB,otel-collector,61.4MB / 21.8MB,21
91.563556,0B / 0B,27.98%,otel-collector,0ae2551a002a,35.39%,177MiB / 500MiB,otel-collector,69.9MB / 25.1MB,21
101.540655,0B / 0B,14.24%,otel-collector,0ae2551a002a,34.22%,171.1MiB / 500MiB,otel-collector,77.5MB / 28.1MB,21
111.539631,0B / 0B,8.62%,otel-collector,0ae2551a002a,33.65%,168.2MiB / 500MiB,otel-collector,85.2MB / 31.4MB,21
121.561313,0B / 0B,9.72%,otel-collector,0ae2551a002a,33.78%,168.9MiB / 500MiB,otel-collector,92.1MB / 34.7MB,22
131.544315,0B / 0B,30.37%,otel-collector,0ae2551a002a,31.71%,158.5MiB / 500MiB,otel-collector,99MB / 37.9MB,22
141.574391,0B / 0B,7.07%,otel-collector,0ae2551a002a,32.93%,164.7MiB / 500MiB,otel-collector,107MB / 40.7MB,22
151.534301,0B / 0B,15.70%,otel-collector,0ae2551a002a,34.80%,174MiB / 500MiB,otel-collector,116MB / 43.8MB,22
161.551067,0B / 0B,19.16%,otel-collector,0ae2551a002a,34.69%,173.5MiB / 500MiB,otel-collector,123MB / 47.2MB,22
171.554292,0B / 0B,15.35%,otel-collector,0ae2551a002a,35.45%,177.3MiB / 500MiB,otel-collector,132MB / 50.6MB,22
