TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.563662,0B / 0B,5.15%,otel-collector,36317455399e,15.95%,79.74MiB / 500MiB,otel-collector,10.4MB / 351kB,20
21.534216,0B / 0B,16.16%,otel-collector,36317455399e,28.70%,143.5MiB / 500MiB,otel-collector,18.6MB / 3.65MB,21
31.533094,0B / 0B,10.87%,otel-collector,36317455399e,30.77%,153.8MiB / 500MiB,otel-collector,27.7MB / 8.45MB,21
41.564338,0B / 0B,17.84%,otel-collector,36317455399e,32.77%,163.8MiB / 500MiB,otel-collector,35.6MB / 13.3MB,21
51.534043,0B / 0B,3.90%,otel-collector,36317455399e,34.82%,174.1MiB / 500MiB,otel-collector,42.7MB / 17.4MB,21
61.567848,0B / 0B,11.85%,otel-collector,36317455399e,34.66%,173.3MiB / 500MiB,otel-collector,49.7MB / 21MB,21
71.563784,0B / 0B,22.52%,otel-collector,36317455399e,34.24%,171.2MiB / 500MiB,otel-collector,58.4MB / 24.9MB,22
81.537437,0B / 0B,27.34%,otel-collector,36317455399e,35.15%,175.8MiB / 500MiB,otel-collector,66.2MB / 28.7MB,22
91.544768,0B / 0B,7.99%,otel-collector,36317455399e,35.14%,175.7MiB / 500MiB,otel-collector,74.6MB / 33.4MB,22
101.554258,0B / 0B,7.82%,otel-collector,36317455399e,34.93%,174.6MiB / 500MiB,otel-collector,82.9MB / 37.7MB,22
111.531673,0B / 0B,11.34%,otel-collector,36317455399e,36.80%,184MiB / 500MiB,otel-collector,89.7MB / 42.1MB,22
121.596005,0B / 0B,12.31%,otel-collector,36317455399e,32.82%,164.1MiB / 500MiB,otel-collector,97.1MB / 46.4MB,22
131.534354,0B / 0B,19.58%,otel-collector,36317455399e,34.03%,170.1MiB / 500MiB,otel-collector,105MB / 49.5MB,22
141.529842,0B / 0B,35.98%,otel-collector,36317455399e,34.40%,172MiB / 500MiB,otel-collector,113MB / 53.4MB,22
151.568178,0B / 0B,14.81%,otel-collector,36317455399e,34.86%,174.3MiB / 500MiB,otel-collector,121MB / 57.5MB,22
161.531250,0B / 0B,39.29%,otel-collector,36317455399e,35.36%,176.8MiB / 500MiB,otel-collector,129MB / 61.8MB,22
171.592803,0B / 0B,20.80%,otel-collector,36317455399e,36.43%,182.2MiB / 500MiB,otel-collector,138MB / 66MB,22
181.529567,0B / 0B,16.54%,otel-collector,36317455399e,35.69%,178.5MiB / 500MiB,otel-collector,144MB / 69.8MB,22
191.529627,0B / 0B,10.60%,otel-collector,36317455399e,36.06%,180.3MiB / 500MiB,otel-collector,150MB / 73.9MB,22
201.590356,0B / 0B,24.74%,otel-collector,36317455399e,35.48%,177.4MiB / 500MiB,otel-collector,159MB / 77.6MB,22
211.566125,0B / 0B,18.41%,otel-collector,36317455399e,33.93%,169.7MiB / 500MiB,otel-collector,167MB / 81.6MB,22
221.525759,0B / 0B,19.11%,otel-collector,36317455399e,34.47%,172.3MiB / 500MiB,otel-collector,175MB / 85.6MB,22
231.547122,0B / 0B,38.71%,otel-collector,36317455399e,34.43%,172.1MiB / 500MiB,otel-collector,183MB / 89.7MB,22
241.525981,0B / 0B,17.05%,otel-collector,36317455399e,34.93%,174.6MiB / 500MiB,otel-collector,190MB / 93.9MB,22
251.533712,0B / 0B,42.99%,otel-collector,36317455399e,35.53%,177.7MiB / 500MiB,otel-collector,196MB / 97.7MB,22
261.532140,0B / 0B,12.17%,otel-collector,36317455399e,34.62%,173.1MiB / 500MiB,otel-collector,204MB / 101MB,22
271.607271,0B / 0B,22.79%,otel-collector,36317455399e,36.02%,180.1MiB / 500MiB,otel-collector,211MB / 105MB,22
281.528010,0B / 0B,27.20%,otel-collector,36317455399e,36.23%,181.1MiB / 500MiB,otel-collector,219MB / 109MB,22
291.530246,0B / 0B,41.10%,otel-collector,36317455399e,35.77%,178.9MiB / 500MiB,otel-collector,228MB / 113MB,22
301.545975,0B / 0B,22.52%,otel-collector,36317455399e,36.10%,180.5MiB / 500MiB,otel-collector,235MB / 117MB,22
311.555527,0B / 0B,9.13%,otel-collector,36317455399e,36.05%,180.3MiB / 500MiB,otel-collector,242MB / 121MB,22
321.535737,0B / 0B,30.26%,otel-collector,36317455399e,35.20%,176MiB / 500MiB,otel-collector,249MB / 125MB,22
331.563527,0B / 0B,33.74%,otel-collector,36317455399e,35.53%,177.7MiB / 500MiB,otel-collector,257MB / 129MB,22
341.535786,0B / 0B,14.94%,otel-collector,36317455399e,35.41%,177.1MiB / 500MiB,otel-collector,265MB / 132MB,22
351.538268,0B / 0B,31.98%,otel-collector,36317455399e,35.24%,176.2MiB / 500MiB,otel-collector,273MB / 137MB,22
361.565796,0B / 0B,12.41%,otel-collector,36317455399e,35.17%,175.9MiB / 500MiB,otel-collector,280MB / 141MB,22
371.530129,0B / 0B,5.26%,otel-collector,36317455399e,35.30%,176.5MiB / 500MiB,otel-collector,288MB / 144MB,22
381.533714,0B / 0B,30.04%,otel-collector,36317455399e,34.56%,172.8MiB / 500MiB,otel-collector,295MB / 149MB,22
391.587601,0B / 0B,17.41%,otel-collector,36317455399e,35.80%,179MiB / 500MiB,otel-collector,304MB / 153MB,22
401.530531,0B / 0B,12.25%,otel-collector,36317455399e,34.57%,172.9MiB / 500MiB,otel-collector,312MB / 157MB,22
411.566066,0B / 0B,26.50%,otel-collector,36317455399e,35.73%,178.7MiB / 500MiB,otel-collector,320MB / 161MB,22
421.533408,0B / 0B,33.54%,otel-collector,36317455399e,35.42%,177.1MiB / 500MiB,otel-collector,328MB / 165MB,22
431.595828,0B / 0B,17.82%,otel-collector,36317455399e,35.89%,179.4MiB / 500MiB,otel-collector,336MB / 170MB,22
441.549678,0B / 0B,17.63%,otel-collector,36317455399e,34.58%,172.9MiB / 500MiB,otel-collector,342MB / 173MB,22
451.534712,0B / 0B,15.93%,otel-collector,36317455399e,34.61%,173.1MiB / 500MiB,otel-collector,350MB / 177MB,22
461.535007,0B / 0B,15.04%,otel-collector,36317455399e,35.28%,176.4MiB / 500MiB,otel-collector,358MB / 181MB,22
471.560005,0B / 0B,38.14%,otel-collector,36317455399e,36.11%,180.5MiB / 500MiB,otel-collector,365MB / 185MB,22
481.531000,0B / 0B,20.38%,otel-collector,36317455399e,34.87%,174.4MiB / 500MiB,otel-collector,373MB / 189MB,22
491.525491,0B / 0B,36.09%,otel-collector,36317455399e,36.13%,180.6MiB / 500MiB,otel-collector,380MB / 193MB,22
501.532193,0B / 0B,22.99%,otel-collector,36317455399e,36.69%,183.4MiB / 500MiB,otel-collector,389MB / 197MB,22
511.574998,0B / 0B,38.25%,otel-collector,36317455399e,35.93%,179.6MiB / 500MiB,otel-collector,395MB / 201MB,22
521.589484,0B / 0B,21.81%,otel-collector,36317455399e,35.07%,175.4MiB / 500MiB,otel-collector,403MB / 205MB,22
531.561744,0B / 0B,38.75%,otel-collector,36317455399e,35.87%,179.4MiB / 500MiB,otel-collector,410MB / 208MB,22
541.535460,0B / 0B,20.82%,otel-collector,36317455399e,35.80%,179MiB / 500MiB,otel-collector,417MB / 213MB,22
551.553457,0B / 0B,14.59%,otel-collector,36317455399e,35.58%,177.9MiB / 500MiB,otel-collector,424MB / 216MB,22
561.528676,0B / 0B,33.89%,otel-collector,36317455399e,35.76%,178.8MiB / 500MiB,otel-collector,432MB / 220MB,22
571.530665,0B / 0B,27.16%,otel-collector,36317455399e,36.58%,182.9MiB / 500MiB,otel-collector,440MB / 224MB,22
581.536006,0B / 0B,5.97%,otel-collector,36317455399e,35.64%,178.2MiB / 500MiB,otel-collector,446MB / 228MB,22
591.530851,0B / 0B,16.44%,otel-collector,36317455399e,36.31%,181.6MiB / 500MiB,otel-collector,455MB / 232MB,22
