TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.563489,0B / 0B,15.09%,otel-collector,a6884b4d123e,15.08%,75.42MiB / 500MiB,otel-collector,10MB / 321kB,22
21.595867,0B / 0B,26.81%,otel-collector,a6884b4d123e,27.28%,136.4MiB / 500MiB,otel-collector,18.2MB / 2.47MB,22
31.535719,0B / 0B,25.97%,otel-collector,a6884b4d123e,28.95%,144.7MiB / 500MiB,otel-collector,24.4MB / 4.67MB,22
41.539224,0B / 0B,4.65%,otel-collector,a6884b4d123e,29.67%,148.3MiB / 500MiB,otel-collector,32.2MB / 6.86MB,22
51.576710,0B / 0B,33.38%,otel-collector,a6884b4d123e,34.14%,170.7MiB / 500MiB,otel-collector,39.1MB / 8.98MB,22
61.569900,0B / 0B,11.14%,otel-collector,a6884b4d123e,30.83%,154.1MiB / 500MiB,otel-collector,47.2MB / 11.3MB,22
71.544460,0B / 0B,13.95%,otel-collector,a6884b4d123e,33.36%,166.8MiB / 500MiB,otel-collector,55MB / 13.4MB,22
81.534770,0B / 0B,16.78%,otel-collector,a6884b4d123e,33.35%,166.7MiB / 500MiB,otel-collector,63.9MB / 15.8MB,22
91.564126,0B / 0B,7.09%,otel-collector,a6884b4d123e,33.98%,169.9MiB / 500MiB,otel-collector,67.8MB / 18.1MB,22
101.553427,0B / 0B,4.81%,otel-collector,a6884b4d123e,30.21%,151.1MiB / 500MiB,otel-collector,70.5MB / 20.2MB,22
111.530353,0B / 0B,0.72%,otel-collector,a6884b4d123e,30.28%,151.4MiB / 500MiB,otel-collector,72.9MB / 21MB,22
121.560014,0B / 0B,15.35%,otel-collector,a6884b4d123e,30.35%,151.7MiB / 500MiB,otel-collector,76MB / 22MB,22
131.537599,0B / 0B,11.76%,otel-collector,a6884b4d123e,29.12%,145.6MiB / 500MiB,otel-collector,78.5MB / 22.9MB,22
141.526210,0B / 0B,9.87%,otel-collector,a6884b4d123e,30.85%,154.2MiB / 500MiB,otel-collector,81.3MB / 23.7MB,22
151.530426,0B / 0B,15.96%,otel-collector,a6884b4d123e,30.35%,151.7MiB / 500MiB,otel-collector,83.7MB / 24.6MB,22
161.531953,0B / 0B,3.39%,otel-collector,a6884b4d123e,29.36%,146.8MiB / 500MiB,otel-collector,86.6MB / 25.4MB,22
171.529855,0B / 0B,3.02%,otel-collector,a6884b4d123e,29.20%,146MiB / 500MiB,otel-collector,89.1MB / 26.4MB,22
181.540222,0B / 0B,2.95%,otel-collector,a6884b4d123e,29.92%,149.6MiB / 500MiB,otel-collector,91.8MB / 27.3MB,22
191.531341,0B / 0B,1.62%,otel-collector,a6884b4d123e,29.63%,148.2MiB / 500MiB,otel-collector,94.5MB / 28.2MB,22
201.529814,0B / 0B,1.12%,otel-collector,a6884b4d123e,29.45%,147.2MiB / 500MiB,otel-collector,97.1MB / 29.1MB,22
211.531343,0B / 0B,15.64%,otel-collector,a6884b4d123e,29.51%,147.6MiB / 500MiB,otel-collector,99.9MB / 30.1MB,22
221.618767,0B / 0B,14.35%,otel-collector,a6884b4d123e,31.71%,158.5MiB / 500MiB,otel-collector,111MB / 31.6MB,22
231.567416,0B / 0B,40.72%,otel-collector,a6884b4d123e,36.92%,184.6MiB / 500MiB,otel-collector,123MB / 33.4MB,22
241.533292,0B / 0B,41.03%,otel-collector,a6884b4d123e,37.30%,186.5MiB / 500MiB,otel-collector,135MB / 36.9MB,22
251.532556,0B / 0B,17.28%,otel-collector,a6884b4d123e,37.31%,186.6MiB / 500MiB,otel-collector,141MB / 40.5MB,22
261.531223,0B / 0B,9.16%,otel-collector,a6884b4d123e,35.96%,179.8MiB / 500MiB,otel-collector,152MB / 43.4MB,22
271.542478,0B / 0B,76.01%,otel-collector,a6884b4d123e,37.50%,187.5MiB / 500MiB,otel-collector,166MB / 46MB,22
281.541916,0B / 0B,43.22%,otel-collector,a6884b4d123e,37.45%,187.2MiB / 500MiB,otel-collector,179MB / 49.9MB,22
291.547679,0B / 0B,41.70%,otel-collector,a6884b4d123e,38.07%,190.4MiB / 500MiB,otel-collector,188MB / 53.6MB,22
301.551370,0B / 0B,41.98%,otel-collector,a6884b4d123e,37.66%,188.3MiB / 500MiB,otel-collector,199MB / 56.9MB,22
311.534818,0B / 0B,47.07%,otel-collector,a6884b4d123e,37.53%,187.7MiB / 500MiB,otel-collector,212MB / 59.9MB,22
321.532589,0B / 0B,77.70%,otel-collector,a6884b4d123e,38.34%,191.7MiB / 500MiB,otel-collector,224MB / 63.4MB,22
331.532358,0B / 0B,82.38%,otel-collector,a6884b4d123e,38.45%,192.3MiB / 500MiB,otel-collector,238MB / 67.4MB,22
341.560443,0B / 0B,82.12%,otel-collector,a6884b4d123e,38.69%,193.4MiB / 500MiB,otel-collector,251MB / 71.3MB,22
351.531359,0B / 0B,36.12%,otel-collector,a6884b4d123e,38.43%,192.2MiB / 500MiB,otel-collector,262MB / 75.2MB,22
361.530334,0B / 0B,42.80%,otel-collector,a6884b4d123e,38.52%,192.6MiB / 500MiB,otel-collector,272MB / 79MB,22
371.552192,0B / 0B,42.59%,otel-collector,a6884b4d123e,38.47%,192.4MiB / 500MiB,otel-collector,283MB / 81.8MB,22
381.535449,0B / 0B,48.37%,otel-collector,a6884b4d123e,39.28%,196.4MiB / 500MiB,otel-collector,296MB / 85MB,22
391.545932,0B / 0B,82.46%,otel-collector,a6884b4d123e,38.48%,192.4MiB / 500MiB,otel-collector,308MB / 88.7MB,22
401.540341,0B / 0B,19.27%,otel-collector,a6884b4d123e,38.59%,192.9MiB / 500MiB,otel-collector,320MB / 92.2MB,22
411.584666,0B / 0B,90.86%,otel-collector,a6884b4d123e,38.40%,192MiB / 500MiB,otel-collector,333MB / 96MB,22
421.542145,0B / 0B,21.03%,otel-collector,a6884b4d123e,38.46%,192.3MiB / 500MiB,otel-collector,342MB / 99.6MB,22
431.561014,0B / 0B,46.85%,otel-collector,a6884b4d123e,38.19%,191MiB / 500MiB,otel-collector,353MB / 103MB,22
441.572095,0B / 0B,53.06%,otel-collector,a6884b4d123e,38.15%,190.8MiB / 500MiB,otel-collector,365MB / 106MB,22
451.570302,0B / 0B,19.59%,otel-collector,a6884b4d123e,38.27%,191.3MiB / 500MiB,otel-collector,377MB / 109MB,22
461.530607,0B / 0B,54.91%,otel-collector,a6884b4d123e,38.12%,190.6MiB / 500MiB,otel-collector,391MB / 113MB,22
471.534213,0B / 0B,48.38%,otel-collector,a6884b4d123e,38.25%,191.2MiB / 500MiB,otel-collector,404MB / 117MB,22
481.576625,0B / 0B,47.07%,otel-collector,a6884b4d123e,38.17%,190.9MiB / 500MiB,otel-collector,416MB / 121MB,22
491.538381,0B / 0B,40.60%,otel-collector,a6884b4d123e,38.34%,191.7MiB / 500MiB,otel-collector,424MB / 125MB,23
501.565900,0B / 0B,44.30%,otel-collector,a6884b4d123e,38.25%,191.3MiB / 500MiB,otel-collector,435MB / 128MB,23
511.531616,0B / 0B,77.40%,otel-collector,a6884b4d123e,38.35%,191.7MiB / 500MiB,otel-collector,446MB / 130MB,23
521.566466,0B / 0B,52.16%,otel-collector,a6884b4d123e,38.44%,192.2MiB / 500MiB,otel-collector,459MB / 134MB,23
531.546061,0B / 0B,47.26%,otel-collector,a6884b4d123e,38.38%,191.9MiB / 500MiB,otel-collector,472MB / 138MB,23
541.554736,0B / 0B,49.56%,otel-collector,a6884b4d123e,38.23%,191.1MiB / 500MiB,otel-collector,485MB / 142MB,23
551.572320,0B / 0B,41.12%,otel-collector,a6884b4d123e,38.22%,191.1MiB / 500MiB,otel-collector,496MB / 146MB,23
561.559273,0B / 0B,49.23%,otel-collector,a6884b4d123e,37.92%,189.6MiB / 500MiB,otel-collector,506MB / 149MB,23
571.529802,0B / 0B,43.73%,otel-collector,a6884b4d123e,39.08%,195.4MiB / 500MiB,otel-collector,517MB / 152MB,23
581.528369,0B / 0B,43.22%,otel-collector,a6884b4d123e,38.44%,192.2MiB / 500MiB,otel-collector,530MB / 156MB,23
591.566321,0B / 0B,49.65%,otel-collector,a6884b4d123e,38.53%,192.7MiB / 500MiB,otel-collector,543MB / 159MB,23
