TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.544993,0B / 0B,7.97%,otel-collector,42c10454b901,37.33%,74.66MiB / 200MiB,otel-collector,13.9MB / 471kB,17
21.534274,0B / 0B,8.82%,otel-collector,42c10454b901,39.51%,79.02MiB / 200MiB,otel-collector,26.6MB / 921kB,17
31.530632,0B / 0B,7.97%,otel-collector,42c10454b901,40.65%,81.31MiB / 200MiB,otel-collector,38.7MB / 1.32MB,20
41.545737,0B / 0B,7.20%,otel-collector,42c10454b901,40.70%,81.4MiB / 200MiB,otel-collector,47.5MB / 1.6MB,21
51.537330,0B / 0B,8.98%,otel-collector,42c10454b901,42.87%,85.73MiB / 200MiB,otel-collector,59.7MB / 2.01MB,21
61.537135,0B / 0B,9.56%,otel-collector,42c10454b901,44.92%,89.83MiB / 200MiB,otel-collector,71.8MB / 2.42MB,21
71.524030,0B / 0B,11.35%,otel-collector,42c10454b901,44.44%,88.87MiB / 200MiB,otel-collector,82.5MB / 2.79MB,21
81.547738,0B / 0B,12.75%,otel-collector,42c10454b901,43.45%,86.9MiB / 200MiB,otel-collector,95.1MB / 3.2MB,21
91.538599,0B / 0B,8.73%,otel-collector,42c10454b901,45.10%,90.19MiB / 200MiB,otel-collector,107MB / 3.6MB,21
101.531801,0B / 0B,8.18%,otel-collector,42c10454b901,45.30%,90.59MiB / 200MiB,otel-collector,117MB / 3.93MB,21
111.535328,0B / 0B,6.98%,otel-collector,42c10454b901,45.18%,90.36MiB / 200MiB,otel-collector,128MB / 4.29MB,21
121.533302,0B / 0B,9.51%,otel-collector,42c10454b901,46.78%,93.57MiB / 200MiB,otel-collector,139MB / 4.65MB,21
131.531676,0B / 0B,4.45%,otel-collector,42c10454b901,46.84%,93.68MiB / 200MiB,otel-collector,149MB / 4.99MB,21
141.530957,0B / 0B,10.65%,otel-collector,42c10454b901,47.84%,95.68MiB / 200MiB,otel-collector,161MB / 5.38MB,21
151.542459,0B / 0B,12.51%,otel-collector,42c10454b901,47.95%,95.89MiB / 200MiB,otel-collector,173MB / 5.79MB,21
161.529915,0B / 0B,11.71%,otel-collector,42c10454b901,47.98%,95.96MiB / 200MiB,otel-collector,185MB / 6.19MB,21
171.555465,0B / 0B,6.55%,otel-collector,42c10454b901,49.17%,98.33MiB / 200MiB,otel-collector,194MB / 6.48MB,21
181.585786,0B / 0B,9.26%,otel-collector,42c10454b901,49.55%,99.1MiB / 200MiB,otel-collector,204MB / 6.82MB,21
191.535265,0B / 0B,10.97%,otel-collector,42c10454b901,49.43%,98.86MiB / 200MiB,otel-collector,215MB / 7.18MB,21
201.558147,0B / 0B,7.59%,otel-collector,42c10454b901,49.94%,99.87MiB / 200MiB,otel-collector,226MB / 7.53MB,21
211.535965,0B / 0B,8.64%,otel-collector,42c10454b901,49.42%,98.85MiB / 200MiB,otel-collector,237MB / 7.9MB,21
221.531582,0B / 0B,4.97%,otel-collector,42c10454b901,50.40%,100.8MiB / 200MiB,otel-collector,248MB / 8.23MB,21
231.597452,0B / 0B,9.08%,otel-collector,42c10454b901,46.54%,93.09MiB / 200MiB,otel-collector,257MB / 8.56MB,21
241.559294,0B / 0B,4.88%,otel-collector,42c10454b901,46.91%,93.82MiB / 200MiB,otel-collector,267MB / 8.88MB,21
251.532663,0B / 0B,7.39%,otel-collector,42c10454b901,47.05%,94.1MiB / 200MiB,otel-collector,278MB / 9.24MB,21
261.530086,0B / 0B,9.64%,otel-collector,42c10454b901,47.18%,94.36MiB / 200MiB,otel-collector,289MB / 9.65MB,21
271.548067,0B / 0B,11.85%,otel-collector,42c10454b901,47.19%,94.39MiB / 200MiB,otel-collector,301MB / 10MB,21
