TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.538776,0B / 0B,21.22%,otel-collector,d6c660461db6,68.94%,137.9MiB / 200MiB,otel-collector,10.9MB / 3.1MB,21
21.534101,0B / 0B,23.95%,otel-collector,d6c660461db6,75.54%,151.1MiB / 200MiB,otel-collector,20.6MB / 9MB,21
31.565157,0B / 0B,5.93%,otel-collector,d6c660461db6,77.98%,156MiB / 200MiB,otel-collector,32.6MB / 11.6MB,21
41.549530,0B / 0B,23.88%,otel-collector,d6c660461db6,87.80%,175.6MiB / 200MiB,otel-collector,44.9MB / 19.6MB,22
51.543023,0B / 0B,12.91%,otel-collector,d6c660461db6,85.58%,171.2MiB / 200MiB,otel-collector,54.7MB / 25.6MB,22
61.549956,0B / 0B,19.14%,otel-collector,d6c660461db6,88.96%,177.9MiB / 200MiB,otel-collector,65.4MB / 30.6MB,22
71.535160,0B / 0B,29.56%,otel-collector,d6c660461db6,91.24%,182.5MiB / 200MiB,otel-collector,76.6MB / 36.4MB,22
81.544681,0B / 0B,13.14%,otel-collector,d6c660461db6,86.11%,172.2MiB / 200MiB,otel-collector,84.8MB / 42.1MB,22
91.534439,0B / 0B,27.85%,otel-collector,d6c660461db6,90.17%,180.3MiB / 200MiB,otel-collector,95.1MB / 47.3MB,22
101.531684,0B / 0B,23.68%,otel-collector,d6c660461db6,93.12%,186.2MiB / 200MiB,otel-collector,106MB / 52.6MB,22
111.559260,0B / 0B,16.25%,otel-collector,d6c660461db6,93.29%,186.6MiB / 200MiB,otel-collector,116MB / 58.7MB,22
121.540788,0B / 0B,24.42%,otel-collector,d6c660461db6,90.16%,180.3MiB / 200MiB,otel-collector,124MB / 62.8MB,22
131.534771,0B / 0B,21.97%,otel-collector,d6c660461db6,90.56%,181.1MiB / 200MiB,otel-collector,135MB / 68.3MB,22
141.531384,0B / 0B,8.02%,otel-collector,d6c660461db6,89.89%,179.8MiB / 200MiB,otel-collector,143MB / 73.4MB,22
151.531575,0B / 0B,20.11%,otel-collector,d6c660461db6,89.04%,178.1MiB / 200MiB,otel-collector,152MB / 77.3MB,22
161.533008,0B / 0B,20.80%,otel-collector,d6c660461db6,91.55%,183.1MiB / 200MiB,otel-collector,162MB / 83.2MB,22
171.534312,0B / 0B,18.62%,otel-collector,d6c660461db6,91.57%,183.1MiB / 200MiB,otel-collector,171MB / 88.4MB,22
181.562612,0B / 0B,16.61%,otel-collector,d6c660461db6,86.56%,173.1MiB / 200MiB,otel-collector,178MB / 92.9MB,22
191.529270,0B / 0B,10.94%,otel-collector,d6c660461db6,90.05%,180.1MiB / 200MiB,otel-collector,186MB / 96.7MB,22
201.531840,0B / 0B,23.80%,otel-collector,d6c660461db6,88.99%,178MiB / 200MiB,otel-collector,195MB / 101MB,22
211.563228,0B / 0B,13.79%,otel-collector,d6c660461db6,91.41%,182.8MiB / 200MiB,otel-collector,204MB / 106MB,22
221.560958,0B / 0B,26.69%,otel-collector,d6c660461db6,90.46%,180.9MiB / 200MiB,otel-collector,211MB / 111MB,22
231.525414,0B / 0B,12.58%,otel-collector,d6c660461db6,93.31%,186.6MiB / 200MiB,otel-collector,217MB / 113MB,22
241.534863,0B / 0B,36.50%,otel-collector,d6c660461db6,92.61%,185.2MiB / 200MiB,otel-collector,227MB / 118MB,22
251.544990,0B / 0B,17.75%,otel-collector,d6c660461db6,92.57%,185.1MiB / 200MiB,otel-collector,235MB / 123MB,22
261.564181,0B / 0B,67.10%,otel-collector,d6c660461db6,81.35%,162.7MiB / 200MiB,otel-collector,247MB / 129MB,22
271.538843,0B / 0B,37.86%,otel-collector,d6c660461db6,92.11%,184.2MiB / 200MiB,otel-collector,259MB / 134MB,22
281.535564,0B / 0B,27.67%,otel-collector,d6c660461db6,91.36%,182.7MiB / 200MiB,otel-collector,270MB / 138MB,22
291.544815,0B / 0B,44.17%,otel-collector,d6c660461db6,90.90%,181.8MiB / 200MiB,otel-collector,283MB / 146MB,22
301.533435,0B / 0B,40.42%,otel-collector,d6c660461db6,94.09%,188.2MiB / 200MiB,otel-collector,296MB / 153MB,22
311.532730,0B / 0B,20.77%,otel-collector,d6c660461db6,95.98%,192MiB / 200MiB,otel-collector,309MB / 160MB,22
321.565473,0B / 0B,24.70%,otel-collector,d6c660461db6,92.39%,184.8MiB / 200MiB,otel-collector,319MB / 165MB,22
331.543436,0B / 0B,38.20%,otel-collector,d6c660461db6,91.27%,182.5MiB / 200MiB,otel-collector,329MB / 170MB,22
341.568950,0B / 0B,39.81%,otel-collector,d6c660461db6,94.53%,189.1MiB / 200MiB,otel-collector,341MB / 176MB,22
351.537840,0B / 0B,30.45%,otel-collector,d6c660461db6,93.37%,186.7MiB / 200MiB,otel-collector,352MB / 182MB,22
