TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.537102,0B / 0B,9.22%,otel-collector,2585deb74abd,40.62%,81.24MiB / 200MiB,otel-collector,7.55MB / 1.22MB,22
21.532356,0B / 0B,5.41%,otel-collector,2585deb74abd,44.30%,88.6MiB / 200MiB,otel-collector,13.9MB / 2.21MB,22
31.530718,0B / 0B,6.56%,otel-collector,2585deb74abd,47.49%,94.99MiB / 200MiB,otel-collector,20.9MB / 3.3MB,22
41.535258,0B / 0B,6.33%,otel-collector,2585deb74abd,48.70%,97.39MiB / 200MiB,otel-collector,27.3MB / 4.27MB,22
51.563539,0B / 0B,6.24%,otel-collector,2585deb74abd,49.13%,98.26MiB / 200MiB,otel-collector,33.9MB / 5.32MB,22
61.534250,0B / 0B,6.94%,otel-collector,2585deb74abd,50.12%,100.2MiB / 200MiB,otel-collector,40.4MB / 6.32MB,22
71.531415,0B / 0B,4.09%,otel-collector,2585deb74abd,50.14%,100.3MiB / 200MiB,otel-collector,46MB / 7.2MB,22
81.524533,0B / 0B,6.23%,otel-collector,2585deb74abd,51.19%,102.4MiB / 200MiB,otel-collector,52.6MB / 8.22MB,22
91.536759,0B / 0B,3.57%,otel-collector,2585deb74abd,51.20%,102.4MiB / 200MiB,otel-collector,59.8MB / 9.33MB,22
101.532419,0B / 0B,6.79%,otel-collector,2585deb74abd,51.22%,102.4MiB / 200MiB,otel-collector,67MB / 10.4MB,22
111.539938,0B / 0B,4.84%,otel-collector,2585deb74abd,51.77%,103.5MiB / 200MiB,otel-collector,74.6MB / 11.6MB,22
121.532909,0B / 0B,5.63%,otel-collector,2585deb74abd,52.38%,104.8MiB / 200MiB,otel-collector,82MB / 12.7MB,22
131.539366,0B / 0B,3.66%,otel-collector,2585deb74abd,53.30%,106.6MiB / 200MiB,otel-collector,88.2MB / 13.7MB,22
141.529840,0B / 0B,5.50%,otel-collector,2585deb74abd,53.94%,107.9MiB / 200MiB,otel-collector,94.1MB / 14.6MB,22
