TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.526297,0B / 0B,4.96%,otel-collector,d43c4617031d,39.05%,78.11MiB / 200MiB,otel-collector,7.12MB / 1.12MB,20
21.530832,0B / 0B,7.87%,otel-collector,d43c4617031d,42.32%,84.64MiB / 200MiB,otel-collector,12.1MB / 1.89MB,20
31.522051,0B / 0B,7.09%,otel-collector,d43c4617031d,45.59%,91.18MiB / 200MiB,otel-collector,17.4MB / 2.7MB,20
41.531460,0B / 0B,5.09%,otel-collector,d43c4617031d,45.54%,91.08MiB / 200MiB,otel-collector,22.7MB / 3.5MB,20
51.537994,0B / 0B,4.92%,otel-collector,d43c4617031d,45.69%,91.38MiB / 200MiB,otel-collector,28.5MB / 4.4MB,20
61.531208,0B / 0B,7.83%,otel-collector,d43c4617031d,47.61%,95.21MiB / 200MiB,otel-collector,35.3MB / 5.44MB,20
71.529318,0B / 0B,5.09%,otel-collector,d43c4617031d,49.62%,99.24MiB / 200MiB,otel-collector,41.4MB / 6.37MB,20
81.532595,0B / 0B,5.57%,otel-collector,d43c4617031d,49.76%,99.52MiB / 200MiB,otel-collector,45.9MB / 7.05MB,20
91.540869,0B / 0B,6.50%,otel-collector,d43c4617031d,49.68%,99.36MiB / 200MiB,otel-collector,50.8MB / 7.8MB,22
101.530356,0B / 0B,8.71%,otel-collector,d43c4617031d,51.02%,102MiB / 200MiB,otel-collector,57.2MB / 8.78MB,22
111.525229,0B / 0B,7.62%,otel-collector,d43c4617031d,51.67%,103.3MiB / 200MiB,otel-collector,63.3MB / 9.68MB,22
121.562419,0B / 0B,8.43%,otel-collector,d43c4617031d,51.34%,102.7MiB / 200MiB,otel-collector,69.4MB / 10.6MB,22
131.575805,0B / 0B,6.40%,otel-collector,d43c4617031d,49.83%,99.65MiB / 200MiB,otel-collector,75.5MB / 11.5MB,22
141.528917,0B / 0B,7.93%,otel-collector,d43c4617031d,49.96%,99.91MiB / 200MiB,otel-collector,81.3MB / 12.4MB,22
151.524919,0B / 0B,8.79%,otel-collector,d43c4617031d,49.85%,99.7MiB / 200MiB,otel-collector,86.5MB / 13.2MB,22
161.545242,0B / 0B,7.34%,otel-collector,d43c4617031d,49.87%,99.74MiB / 200MiB,otel-collector,91.2MB / 13.9MB,22
171.531412,0B / 0B,8.87%,otel-collector,d43c4617031d,51.24%,102.5MiB / 200MiB,otel-collector,97.6MB / 14.9MB,22
181.567187,0B / 0B,8.83%,otel-collector,d43c4617031d,51.26%,102.5MiB / 200MiB,otel-collector,103MB / 15.8MB,22
191.530586,0B / 0B,7.98%,otel-collector,d43c4617031d,50.65%,101.3MiB / 200MiB,otel-collector,108MB / 16.5MB,22
201.530007,0B / 0B,13.29%,otel-collector,d43c4617031d,51.54%,103.1MiB / 200MiB,otel-collector,114MB / 17.4MB,22
211.537821,0B / 0B,12.13%,otel-collector,d43c4617031d,48.79%,97.57MiB / 200MiB,otel-collector,120MB / 18.2MB,22
221.561451,0B / 0B,11.73%,otel-collector,d43c4617031d,52.02%,104MiB / 200MiB,otel-collector,124MB / 19MB,22
231.531768,0B / 0B,8.84%,otel-collector,d43c4617031d,53.16%,106.3MiB / 200MiB,otel-collector,131MB / 19.9MB,22
241.540312,0B / 0B,9.70%,otel-collector,d43c4617031d,52.23%,104.5MiB / 200MiB,otel-collector,136MB / 20.8MB,22
251.525063,0B / 0B,9.12%,otel-collector,d43c4617031d,53.70%,107.4MiB / 200MiB,otel-collector,142MB / 21.6MB,22
261.529556,0B / 0B,8.30%,otel-collector,d43c4617031d,53.73%,107.5MiB / 200MiB,otel-collector,148MB / 22.5MB,23
271.531208,0B / 0B,8.92%,otel-collector,d43c4617031d,53.85%,107.7MiB / 200MiB,otel-collector,154MB / 23.5MB,23
281.544612,0B / 0B,11.73%,otel-collector,d43c4617031d,54.06%,108.1MiB / 200MiB,otel-collector,159MB / 24.2MB,23
291.523381,0B / 0B,5.08%,otel-collector,d43c4617031d,54.06%,108.1MiB / 200MiB,otel-collector,164MB / 25MB,23
