TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.553062,0B / 0B,18.65%,otel-collector,85584e48909a,70.10%,140.2MiB / 200MiB,otel-collector,11.3MB / 3.28MB,20
21.525125,0B / 0B,18.97%,otel-collector,85584e48909a,76.56%,153.1MiB / 200MiB,otel-collector,23.3MB / 9.61MB,21
31.549050,0B / 0B,28.12%,otel-collector,85584e48909a,81.45%,162.9MiB / 200MiB,otel-collector,35.1MB / 16MB,21
41.532661,0B / 0B,31.38%,otel-collector,85584e48909a,80.97%,161.9MiB / 200MiB,otel-collector,45.6MB / 22.2MB,21
51.529065,0B / 0B,16.08%,otel-collector,85584e48909a,86.09%,172.2MiB / 200MiB,otel-collector,57MB / 28MB,21
61.538794,0B / 0B,30.80%,otel-collector,85584e48909a,84.44%,168.9MiB / 200MiB,otel-collector,69.9MB / 34.5MB,22
71.549543,0B / 0B,33.46%,otel-collector,85584e48909a,82.98%,166MiB / 200MiB,otel-collector,81.4MB / 41.9MB,22
81.530543,0B / 0B,35.84%,otel-collector,85584e48909a,89.00%,178MiB / 200MiB,otel-collector,96.6MB / 48.8MB,22
91.538392,0B / 0B,41.05%,otel-collector,85584e48909a,85.09%,170.2MiB / 200MiB,otel-collector,111MB / 57.4MB,22
101.534297,0B / 0B,25.29%,otel-collector,85584e48909a,88.37%,176.7MiB / 200MiB,otel-collector,124MB / 65.2MB,22
111.535495,0B / 0B,33.29%,otel-collector,85584e48909a,84.81%,169.6MiB / 200MiB,otel-collector,135MB / 71.1MB,22
121.539920,0B / 0B,36.80%,otel-collector,85584e48909a,86.85%,173.7MiB / 200MiB,otel-collector,147MB / 77.9MB,22
131.552934,0B / 0B,38.25%,otel-collector,85584e48909a,88.14%,176.3MiB / 200MiB,otel-collector,160MB / 84.8MB,22
141.564644,0B / 0B,21.24%,otel-collector,85584e48909a,86.61%,173.2MiB / 200MiB,otel-collector,172MB / 91.3MB,22
151.528002,0B / 0B,25.15%,otel-collector,85584e48909a,86.73%,173.5MiB / 200MiB,otel-collector,185MB / 98.2MB,22
161.539463,0B / 0B,43.32%,otel-collector,85584e48909a,89.30%,178.6MiB / 200MiB,otel-collector,197MB / 105MB,22
171.530144,0B / 0B,37.18%,otel-collector,85584e48909a,87.90%,175.8MiB / 200MiB,otel-collector,206MB / 111MB,22
181.532249,0B / 0B,15.59%,otel-collector,85584e48909a,89.70%,179.4MiB / 200MiB,otel-collector,218MB / 116MB,22
191.563977,0B / 0B,22.47%,otel-collector,85584e48909a,87.40%,174.8MiB / 200MiB,otel-collector,229MB / 123MB,22
201.533937,0B / 0B,35.97%,otel-collector,85584e48909a,87.90%,175.8MiB / 200MiB,otel-collector,240MB / 129MB,22
211.535730,0B / 0B,21.84%,otel-collector,85584e48909a,87.40%,174.8MiB / 200MiB,otel-collector,252MB / 136MB,22
221.558400,0B / 0B,15.32%,otel-collector,85584e48909a,90.50%,181MiB / 200MiB,otel-collector,263MB / 141MB,22
231.532459,0B / 0B,13.82%,otel-collector,85584e48909a,90.07%,180.1MiB / 200MiB,otel-collector,274MB / 147MB,22
241.561870,0B / 0B,14.80%,otel-collector,85584e48909a,85.23%,170.5MiB / 200MiB,otel-collector,282MB / 153MB,22
251.542405,0B / 0B,34.76%,otel-collector,85584e48909a,88.05%,176.1MiB / 200MiB,otel-collector,294MB / 158MB,22
261.534279,0B / 0B,7.48%,otel-collector,85584e48909a,88.58%,177.2MiB / 200MiB,otel-collector,306MB / 161MB,22
271.554901,0B / 0B,10.97%,otel-collector,85584e48909a,89.49%,179MiB / 200MiB,otel-collector,317MB / 169MB,23
281.548566,0B / 0B,41.87%,otel-collector,85584e48909a,87.96%,175.9MiB / 200MiB,otel-collector,330MB / 175MB,23
291.537981,0B / 0B,18.65%,otel-collector,85584e48909a,90.96%,181.9MiB / 200MiB,otel-collector,342MB / 181MB,23
301.534738,0B / 0B,24.44%,otel-collector,85584e48909a,87.83%,175.7MiB / 200MiB,otel-collector,353MB / 186MB,23
311.535944,0B / 0B,36.87%,otel-collector,85584e48909a,89.97%,179.9MiB / 200MiB,otel-collector,364MB / 192MB,23
321.532921,0B / 0B,28.92%,otel-collector,85584e48909a,89.95%,179.9MiB / 200MiB,otel-collector,375MB / 198MB,23
331.547705,0B / 0B,36.03%,otel-collector,85584e48909a,90.66%,181.3MiB / 200MiB,otel-collector,387MB / 204MB,23
341.541581,0B / 0B,18.01%,otel-collector,85584e48909a,92.15%,184.3MiB / 200MiB,otel-collector,398MB / 210MB,23
351.532039,0B / 0B,19.26%,otel-collector,85584e48909a,89.83%,179.7MiB / 200MiB,otel-collector,410MB / 216MB,23
361.570098,0B / 0B,19.06%,otel-collector,85584e48909a,91.95%,183.9MiB / 200MiB,otel-collector,423MB / 223MB,23
371.546099,0B / 0B,32.68%,otel-collector,85584e48909a,87.52%,175MiB / 200MiB,otel-collector,433MB / 229MB,23
381.542540,0B / 0B,12.62%,otel-collector,85584e48909a,89.14%,178.3MiB / 200MiB,otel-collector,443MB / 235MB,23
391.534418,0B / 0B,38.75%,otel-collector,85584e48909a,88.52%,177MiB / 200MiB,otel-collector,455MB / 241MB,23
401.531950,0B / 0B,19.80%,otel-collector,85584e48909a,87.32%,174.6MiB / 200MiB,otel-collector,466MB / 247MB,23
