TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs
11.551701,0B / 0B,18.53%,otel-collector,faabac86f163,54.63%,109.3MiB / 200MiB,otel-collector,9.39MB / 2.35MB,21
21.531627,0B / 0B,7.99%,otel-collector,faabac86f163,61.22%,122.4MiB / 200MiB,otel-collector,16.4MB / 6.15MB,21
31.533086,0B / 0B,8.92%,otel-collector,faabac86f163,63.56%,127.1MiB / 200MiB,otel-collector,24MB / 9.26MB,22
41.522749,0B / 0B,12.13%,otel-collector,faabac86f163,67.08%,134.2MiB / 200MiB,otel-collector,32.1MB / 12.8MB,22
51.543036,0B / 0B,11.41%,otel-collector,faabac86f163,72.71%,145.4MiB / 200MiB,otel-collector,40.4MB / 16.2MB,22
61.532188,0B / 0B,10.00%,otel-collector,faabac86f163,78.57%,157.1MiB / 200MiB,otel-collector,48.7MB / 19.7MB,22
71.555948,0B / 0B,10.43%,otel-collector,faabac86f163,79.78%,159.6MiB / 200MiB,otel-collector,57.8MB / 23.5MB,22
81.531381,0B / 0B,17.02%,otel-collector,faabac86f163,79.38%,158.8MiB / 200MiB,otel-collector,64.6MB / 27.1MB,22
91.545027,0B / 0B,23.82%,otel-collector,faabac86f163,78.75%,157.5MiB / 200MiB,otel-collector,71.8MB / 30.1MB,22
101.532354,0B / 0B,12.96%,otel-collector,faabac86f163,80.30%,160.6MiB / 200MiB,otel-collector,79.5MB / 33.3MB,22
111.533870,0B / 0B,9.06%,otel-collector,faabac86f163,81.26%,162.5MiB / 200MiB,otel-collector,86.8MB / 36.5MB,22
121.552634,0B / 0B,20.41%,otel-collector,faabac86f163,87.16%,174.3MiB / 200MiB,otel-collector,94.6MB / 39.5MB,22
131.537238,0B / 0B,7.79%,otel-collector,faabac86f163,81.89%,163.8MiB / 200MiB,otel-collector,102MB / 42.7MB,22
141.538589,0B / 0B,11.40%,otel-collector,faabac86f163,85.21%,170.4MiB / 200MiB,otel-collector,110MB / 46.2MB,22
151.535925,0B / 0B,14.83%,otel-collector,faabac86f163,77.55%,155.1MiB / 200MiB,otel-collector,117MB / 49.5MB,22
161.546850,0B / 0B,3.86%,otel-collector,faabac86f163,82.10%,164.2MiB / 200MiB,otel-collector,125MB / 52.1MB,22
171.534118,0B / 0B,8.52%,otel-collector,faabac86f163,82.27%,164.5MiB / 200MiB,otel-collector,132MB / 55.4MB,22
181.620852,0B / 0B,19.44%,otel-collector,faabac86f163,84.15%,168.3MiB / 200MiB,otel-collector,140MB / 58.8MB,22
191.560712,0B / 0B,10.45%,otel-collector,faabac86f163,83.09%,166.2MiB / 200MiB,otel-collector,148MB / 62.1MB,22
201.531014,0B / 0B,18.97%,otel-collector,faabac86f163,80.52%,161MiB / 200MiB,otel-collector,155MB / 65.2MB,22
211.534662,0B / 0B,8.13%,otel-collector,faabac86f163,82.56%,165.1MiB / 200MiB,otel-collector,162MB / 68.3MB,22
221.556543,0B / 0B,8.92%,otel-collector,faabac86f163,83.42%,166.8MiB / 200MiB,otel-collector,169MB / 70.9MB,22
231.558365,0B / 0B,8.62%,otel-collector,faabac86f163,88.87%,177.7MiB / 200MiB,otel-collector,176MB / 74MB,22
241.531994,0B / 0B,9.41%,otel-collector,faabac86f163,89.14%,178.3MiB / 200MiB,otel-collector,183MB / 77.1MB,22
251.561859,0B / 0B,8.91%,otel-collector,faabac86f163,88.85%,177.7MiB / 200MiB,otel-collector,190MB / 79.9MB,22
261.532423,0B / 0B,10.80%,otel-collector,faabac86f163,88.43%,176.9MiB / 200MiB,otel-collector,198MB / 83.3MB,22
271.530139,0B / 0B,12.94%,otel-collector,faabac86f163,89.20%,178.4MiB / 200MiB,otel-collector,206MB / 86.5MB,22
281.527451,0B / 0B,19.70%,otel-collector,faabac86f163,89.72%,179.4MiB / 200MiB,otel-collector,212MB / 89.5MB,22
