TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.594397,0B / 0B,26.65%,otel-collector,0aecec2e5cd0,26.73%,133.6MiB / 500MiB,otel-collector,12.1MB / 9.19MB,21,22036609,22036609
21.555876,0B / 0B,12.56%,otel-collector,0aecec2e5cd0,25.68%,128.4MiB / 500MiB,otel-collector,23.1MB / 17.5MB,21,41928003,41928003
31.538777,0B / 0B,30.24%,otel-collector,0aecec2e5cd0,26.33%,131.6MiB / 500MiB,otel-collector,32.2MB / 23.7MB,21,58102593,58102593
41.532753,0B / 30.5MB,22.28%,otel-collector,0aecec2e5cd0,29.98%,149.9MiB / 500MiB,otel-collector,43.7MB / 32.6MB,21,78177965,78177965
51.547418,0B / 81.8MB,20.55%,otel-collector,0aecec2e5cd0,29.58%,147.9MiB / 500MiB,otel-collector,56MB / 41.6MB,21,100849776,100849776
61.533516,0B / 123MB,22.01%,otel-collector,0aecec2e5cd0,32.47%,162.3MiB / 500MiB,otel-collector,67.6MB / 50MB,22,120755711,120755711
71.542243,4.1kB / 159MB,11.43%,otel-collector,0aecec2e5cd0,31.89%,159.4MiB / 500MiB,otel-collector,79.8MB / 59.5MB,22,142477682,142477682
81.617610,4.1kB / 184MB,26.14%,otel-collector,0aecec2e5cd0,31.15%,155.8MiB / 500MiB,otel-collector,92.1MB / 68.2MB,22,164093424,164093424
91.526285,4.1kB / 229MB,8.92%,otel-collector,0aecec2e5cd0,32.63%,163.2MiB / 500MiB,otel-collector,102MB / 75.4MB,22,180639979,180639979
101.530993,4.1kB / 256MB,23.94%,otel-collector,0aecec2e5cd0,32.35%,161.8MiB / 500MiB,otel-collector,113MB / 83.6MB,22,201121606,201121606
111.539833,4.1kB / 297MB,28.25%,otel-collector,0aecec2e5cd0,33.31%,166.5MiB / 500MiB,otel-collector,124MB / 92.2MB,22,220910750,220910750
121.553634,4.1kB / 343MB,15.95%,otel-collector,0aecec2e5cd0,32.34%,161.7MiB / 500MiB,otel-collector,136MB / 101MB,22,240938715,240938715
131.548199,4.1kB / 410MB,27.46%,otel-collector,0aecec2e5cd0,32.71%,163.5MiB / 500MiB,otel-collector,148MB / 110MB,22,263016242,263016242
141.534832,4.1kB / 457MB,23.41%,otel-collector,0aecec2e5cd0,33.43%,167.2MiB / 500MiB,otel-collector,161MB / 119MB,22,285389143,285389143
151.566290,4.1kB / 467MB,22.77%,otel-collector,0aecec2e5cd0,32.70%,163.5MiB / 500MiB,otel-collector,173MB / 128MB,22,307174705,307174705
161.534090,4.1kB / 502MB,13.09%,otel-collector,0aecec2e5cd0,31.99%,160MiB / 500MiB,otel-collector,182MB / 135MB,22,322181306,322181306
171.565663,4.1kB / 536MB,20.43%,otel-collector,0aecec2e5cd0,33.12%,165.6MiB / 500MiB,otel-collector,192MB / 143MB,22,342078858,342078858
181.585508,4.1kB / 579MB,28.07%,otel-collector,0aecec2e5cd0,28.17%,140.8MiB / 500MiB,otel-collector,205MB / 152MB,22,363608143,363608143
191.570247,8.19kB / 637MB,20.01%,otel-collector,0aecec2e5cd0,30.39%,151.9MiB / 500MiB,otel-collector,216MB / 160MB,22,383349536,383349536
201.536018,8.19kB / 696MB,22.86%,otel-collector,0aecec2e5cd0,32.11%,160.6MiB / 500MiB,otel-collector,228MB / 169MB,22,404878664,404878664
211.533138,8.19kB / 743MB,22.91%,otel-collector,0aecec2e5cd0,33.49%,167.5MiB / 500MiB,otel-collector,240MB / 178MB,22,428412889,428412889
221.532226,8.19kB / 743MB,16.81%,otel-collector,0aecec2e5cd0,32.91%,164.6MiB / 500MiB,otel-collector,250MB / 185MB,22,445524814,445524814
231.536384,8.19kB / 781MB,24.47%,otel-collector,0aecec2e5cd0,32.28%,161.4MiB / 500MiB,otel-collector,261MB / 193MB,22,463576577,463576577
241.535952,8.19kB / 853MB,22.74%,otel-collector,0aecec2e5cd0,30.22%,151.1MiB / 500MiB,otel-collector,271MB / 201MB,22,482772392,482772392
251.530875,8.19kB / 876MB,23.80%,otel-collector,0aecec2e5cd0,33.29%,166.4MiB / 500MiB,otel-collector,283MB / 210MB,22,504181497,504178128
261.574843,8.19kB / 914MB,20.21%,otel-collector,0aecec2e5cd0,32.51%,162.5MiB / 500MiB,otel-collector,293MB / 217MB,23,521132571,521132571
271.541705,8.19kB / 937MB,24.52%,otel-collector,0aecec2e5cd0,31.92%,159.6MiB / 500MiB,otel-collector,305MB / 225MB,23,542426083,542426083
281.545980,8.19kB / 1.01GB,23.08%,otel-collector,0aecec2e5cd0,32.38%,161.9MiB / 500MiB,otel-collector,317MB / 234MB,23,564296877,564296877
291.533665,8.19kB / 1.04GB,22.23%,otel-collector,0aecec2e5cd0,33.78%,168.9MiB / 500MiB,otel-collector,325MB / 240MB,23,578494260,578494260
301.540195,8.19kB / 1.08GB,22.14%,otel-collector,0aecec2e5cd0,34.75%,173.7MiB / 500MiB,otel-collector,336MB / 248MB,23,598031129,598031129
311.538709,12.3kB / 1.08GB,27.60%,otel-collector,0aecec2e5cd0,31.46%,157.3MiB / 500MiB,otel-collector,347MB / 256MB,23,616735142,616735142
321.581898,12.3kB / 1.12GB,20.88%,otel-collector,0aecec2e5cd0,35.97%,179.9MiB / 500MiB,otel-collector,357MB / 264MB,23,634275351,634275351
331.539323,12.3kB / 1.16GB,18.06%,otel-collector,0aecec2e5cd0,32.65%,163.3MiB / 500MiB,otel-collector,367MB / 271MB,23,653218598,653218598
341.548272,12.3kB / 1.21GB,23.39%,otel-collector,0aecec2e5cd0,32.72%,163.6MiB / 500MiB,otel-collector,379MB / 280MB,23,674399072,674399072
351.563268,12.3kB / 1.26GB,16.10%,otel-collector,0aecec2e5cd0,31.95%,159.8MiB / 500MiB,otel-collector,391MB / 289MB,23,694907684,694907684
361.541138,12.3kB / 1.29GB,18.31%,otel-collector,0aecec2e5cd0,32.60%,163MiB / 500MiB,otel-collector,400MB / 296MB,23,711809517,711809517
371.557610,12.3kB / 1.31GB,17.63%,otel-collector,0aecec2e5cd0,32.42%,162.1MiB / 500MiB,otel-collector,411MB / 304MB,23,730829220,730829220
381.540189,12.3kB / 1.37GB,27.24%,otel-collector,0aecec2e5cd0,32.90%,164.5MiB / 500MiB,otel-collector,424MB / 313MB,23,752548622,752548622
391.535540,12.3kB / 1.42GB,24.68%,otel-collector,0aecec2e5cd0,36.76%,183.8MiB / 500MiB,otel-collector,435MB / 321MB,23,772769397,772769397
401.556518,12.3kB / 1.46GB,19.37%,otel-collector,0aecec2e5cd0,32.50%,162.5MiB / 500MiB,otel-collector,447MB / 330MB,23,793295191,793295191
411.570560,12.3kB / 1.51GB,21.39%,otel-collector,0aecec2e5cd0,35.29%,176.5MiB / 500MiB,otel-collector,459MB / 339MB,23,816565666,816565666
421.540689,12.3kB / 1.55GB,20.08%,otel-collector,0aecec2e5cd0,34.39%,172MiB / 500MiB,otel-collector,469MB / 346MB,23,832875076,832875076
431.535008,16.4kB / 1.59GB,20.30%,otel-collector,0aecec2e5cd0,30.90%,154.5MiB / 500MiB,otel-collector,480MB / 354MB,23,852400179,852400179
441.548546,16.4kB / 1.61GB,24.95%,otel-collector,0aecec2e5cd0,33.12%,165.6MiB / 500MiB,otel-collector,491MB / 363MB,23,873720077,873720077
451.545728,16.4kB / 1.64GB,14.74%,otel-collector,0aecec2e5cd0,32.87%,164.4MiB / 500MiB,otel-collector,504MB / 372MB,23,894182435,894182435
461.589377,16.4kB / 1.68GB,13.17%,otel-collector,0aecec2e5cd0,33.16%,165.8MiB / 500MiB,otel-collector,515MB / 380MB,23,915107891,915107891
471.529408,16.4kB / 1.73GB,19.68%,otel-collector,0aecec2e5cd0,33.58%,167.9MiB / 500MiB,otel-collector,527MB / 389MB,23,936796257,936796257
481.538667,16.4kB / 1.78GB,23.10%,otel-collector,0aecec2e5cd0,33.84%,169.2MiB / 500MiB,otel-collector,539MB / 399MB,23,958136382,958136382
491.559443,20.5kB / 1.83GB,25.05%,otel-collector,0aecec2e5cd0,33.27%,166.4MiB / 500MiB,otel-collector,549MB / 405MB,23,975880523,975880523
501.534586,20.5kB / 1.86GB,13.59%,otel-collector,0aecec2e5cd0,33.26%,166.3MiB / 500MiB,otel-collector,560MB / 414MB,23,994487245,994487245
511.599760,20.5kB / 1.9GB,21.76%,otel-collector,0aecec2e5cd0,31.77%,158.8MiB / 500MiB,otel-collector,572MB / 422MB,23,1016283319,1016283319
521.584235,20.5kB / 1.92GB,18.31%,otel-collector,0aecec2e5cd0,33.27%,166.3MiB / 500MiB,otel-collector,583MB / 431MB,23,1036736013,1036736013
531.564993,20.5kB / 1.98GB,19.66%,otel-collector,0aecec2e5cd0,34.60%,173MiB / 500MiB,otel-collector,596MB / 441MB,23,1059394633,1059394633
541.535633,20.5kB / 2.05GB,18.13%,otel-collector,0aecec2e5cd0,34.38%,171.9MiB / 500MiB,otel-collector,609MB / 450MB,23,1081990052,1081990052
551.538703,24.6kB / 2.09GB,13.84%,otel-collector,0aecec2e5cd0,32.56%,162.8MiB / 500MiB,otel-collector,620MB / 458MB,23,1101859280,1101859280
561.541190,24.6kB / 2.09GB,17.55%,otel-collector,0aecec2e5cd0,34.74%,173.7MiB / 500MiB,otel-collector,630MB / 465MB,23,1118300468,1118300468
571.535240,24.6kB / 2.15GB,25.29%,otel-collector,0aecec2e5cd0,33.46%,167.3MiB / 500MiB,otel-collector,641MB / 473MB,23,1138026017,1138026017
581.537314,24.6kB / 2.17GB,16.17%,otel-collector,0aecec2e5cd0,35.62%,178.1MiB / 500MiB,otel-collector,653MB / 482MB,23,1160648511,1160648511
591.592149,24.6kB / 2.22GB,18.80%,otel-collector,0aecec2e5cd0,32.73%,163.6MiB / 500MiB,otel-collector,665MB / 491MB,23,1180370565,1180370565
