TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.558755,0B / 0B,25.70%,otel-collector,7e4b12d0eb73,26.41%,132.1MiB / 500MiB,otel-collector,12.5MB / 8.15MB,22,22327288,0
21.542426,0B / 0B,26.20%,otel-collector,7e4b12d0eb73,28.90%,144.5MiB / 500MiB,otel-collector,22MB / 14.1MB,22,39538202,0
31.534649,0B / 0B,24.47%,otel-collector,7e4b12d0eb73,35.58%,177.9MiB / 500MiB,otel-collector,34.1MB / 22MB,22,59614456,0
41.545347,0B / 0B,23.09%,otel-collector,7e4b12d0eb73,35.92%,179.6MiB / 500MiB,otel-collector,46.1MB / 29.3MB,22,81249515,0
51.534530,0B / 11.4MB,21.34%,otel-collector,7e4b12d0eb73,33.62%,168.1MiB / 500MiB,otel-collector,57.2MB / 36.3MB,22,100633337,0
61.532226,0B / 33.3MB,22.98%,otel-collector,7e4b12d0eb73,34.92%,174.6MiB / 500MiB,otel-collector,69.1MB / 43.8MB,22,122085984,0
71.535717,4.1kB / 56.2MB,27.14%,otel-collector,7e4b12d0eb73,37.15%,185.8MiB / 500MiB,otel-collector,81.7MB / 51.5MB,22,143748070,0
81.575423,4.1kB / 78.1MB,22.16%,otel-collector,7e4b12d0eb73,35.75%,178.8MiB / 500MiB,otel-collector,93.3MB / 58.6MB,22,163688521,0
91.552529,4.1kB / 95.4MB,25.08%,otel-collector,7e4b12d0eb73,34.68%,173.4MiB / 500MiB,otel-collector,103MB / 65MB,22,181020692,0
101.534933,4.1kB / 116MB,24.70%,otel-collector,7e4b12d0eb73,36.94%,184.7MiB / 500MiB,otel-collector,114MB / 72MB,22,200465375,0
111.534297,4.1kB / 127MB,35.98%,otel-collector,7e4b12d0eb73,35.99%,180MiB / 500MiB,otel-collector,128MB / 80.5MB,22,223796360,0
121.537325,4.1kB / 147MB,10.45%,otel-collector,7e4b12d0eb73,39.07%,195.4MiB / 500MiB,otel-collector,138MB / 86.7MB,22,241776710,0
131.535341,4.1kB / 171MB,13.42%,otel-collector,7e4b12d0eb73,39.27%,196.3MiB / 500MiB,otel-collector,150MB / 94.3MB,22,263048185,0
141.536174,4.1kB / 194MB,26.31%,otel-collector,7e4b12d0eb73,38.24%,191.2MiB / 500MiB,otel-collector,162MB / 102MB,22,285201889,0
151.542462,4.1kB / 216MB,18.79%,otel-collector,7e4b12d0eb73,38.73%,193.6MiB / 500MiB,otel-collector,173MB / 109MB,22,303783997,0
161.539113,4.1kB / 234MB,33.56%,otel-collector,7e4b12d0eb73,37.74%,188.7MiB / 500MiB,otel-collector,184MB / 116MB,22,323140157,0
171.537589,4.1kB / 254MB,30.92%,otel-collector,7e4b12d0eb73,38.76%,193.8MiB / 500MiB,otel-collector,196MB / 123MB,22,342356074,0
181.560588,4.1kB / 266MB,26.79%,otel-collector,7e4b12d0eb73,38.70%,193.5MiB / 500MiB,otel-collector,207MB / 129MB,22,361860094,0
191.584696,8.19kB / 288MB,31.25%,otel-collector,7e4b12d0eb73,38.49%,192.5MiB / 500MiB,otel-collector,220MB / 137MB,22,385182610,0
201.543188,8.19kB / 316MB,32.57%,otel-collector,7e4b12d0eb73,38.37%,191.8MiB / 500MiB,otel-collector,232MB / 145MB,22,408841416,0
211.534432,8.19kB / 339MB,33.25%,otel-collector,7e4b12d0eb73,38.81%,194MiB / 500MiB,otel-collector,245MB / 153MB,22,429975085,0
221.568439,8.19kB / 348MB,21.97%,otel-collector,7e4b12d0eb73,38.85%,194.2MiB / 500MiB,otel-collector,254MB / 159MB,23,445464111,0
231.533411,8.19kB / 379MB,27.91%,otel-collector,7e4b12d0eb73,37.91%,189.6MiB / 500MiB,otel-collector,266MB / 166MB,23,465296850,0
241.549304,8.19kB / 390MB,33.57%,otel-collector,7e4b12d0eb73,38.43%,192.1MiB / 500MiB,otel-collector,278MB / 174MB,23,487743806,0
251.533038,12.3kB / 413MB,30.08%,otel-collector,7e4b12d0eb73,38.71%,193.5MiB / 500MiB,otel-collector,290MB / 181MB,23,509266345,0
261.537541,12.3kB / 439MB,35.78%,otel-collector,7e4b12d0eb73,39.69%,198.5MiB / 500MiB,otel-collector,304MB / 190MB,23,533136043,0
271.538378,12.3kB / 464MB,31.56%,otel-collector,7e4b12d0eb73,39.24%,196.2MiB / 500MiB,otel-collector,316MB / 198MB,23,554501898,0
281.525433,12.3kB / 486MB,26.32%,otel-collector,7e4b12d0eb73,39.42%,197.1MiB / 500MiB,otel-collector,326MB / 204MB,23,571945042,0
291.534805,12.3kB / 502MB,14.11%,otel-collector,7e4b12d0eb73,38.67%,193.3MiB / 500MiB,otel-collector,336MB / 210MB,23,589914901,0
301.537613,12.3kB / 523MB,33.39%,otel-collector,7e4b12d0eb73,39.25%,196.3MiB / 500MiB,otel-collector,348MB / 217MB,23,610725872,0
311.534283,16.4kB / 547MB,35.66%,otel-collector,7e4b12d0eb73,40.11%,200.6MiB / 500MiB,otel-collector,361MB / 226MB,23,633570335,0
321.537225,16.4kB / 570MB,30.09%,otel-collector,7e4b12d0eb73,38.75%,193.8MiB / 500MiB,otel-collector,373MB / 234MB,23,655147226,0
331.545827,16.4kB / 570MB,42.58%,otel-collector,7e4b12d0eb73,35.67%,178.4MiB / 500MiB,otel-collector,387MB / 242MB,23,679255524,0
341.538210,16.4kB / 596MB,31.15%,otel-collector,7e4b12d0eb73,34.74%,173.7MiB / 500MiB,otel-collector,400MB / 250MB,23,702098762,0
351.534101,16.4kB / 621MB,13.87%,otel-collector,7e4b12d0eb73,38.26%,191.3MiB / 500MiB,otel-collector,410MB / 257MB,23,719737644,0
361.562857,16.4kB / 652MB,45.09%,otel-collector,7e4b12d0eb73,36.88%,184.4MiB / 500MiB,otel-collector,422MB / 264MB,23,740476510,0
371.536104,16.4kB / 672MB,33.68%,otel-collector,7e4b12d0eb73,38.16%,190.8MiB / 500MiB,otel-collector,433MB / 271MB,23,760823278,0
381.535728,16.4kB / 694MB,31.09%,otel-collector,7e4b12d0eb73,40.12%,200.6MiB / 500MiB,otel-collector,445MB / 278MB,23,782055474,0
391.573775,16.4kB / 718MB,36.25%,otel-collector,7e4b12d0eb73,39.90%,199.5MiB / 500MiB,otel-collector,458MB / 287MB,23,804565999,0
401.545694,16.4kB / 742MB,32.00%,otel-collector,7e4b12d0eb73,40.58%,202.9MiB / 500MiB,otel-collector,470MB / 294MB,23,826146367,0
411.574629,16.4kB / 742MB,24.18%,otel-collector,7e4b12d0eb73,40.14%,200.7MiB / 500MiB,otel-collector,482MB / 302MB,23,847034068,0
421.535551,16.4kB / 764MB,12.31%,otel-collector,7e4b12d0eb73,40.41%,202MiB / 500MiB,otel-collector,492MB / 307MB,23,863674231,0
431.532809,20.5kB / 795MB,28.44%,otel-collector,7e4b12d0eb73,40.38%,201.9MiB / 500MiB,otel-collector,503MB / 315MB,23,884770571,0
441.571228,20.5kB / 817MB,34.94%,otel-collector,7e4b12d0eb73,40.65%,203.2MiB / 500MiB,otel-collector,517MB / 323MB,23,908281661,0
451.535638,20.5kB / 829MB,31.56%,otel-collector,7e4b12d0eb73,40.05%,200.2MiB / 500MiB,otel-collector,529MB / 330MB,23,929371135,0
461.552635,20.5kB / 851MB,34.88%,otel-collector,7e4b12d0eb73,39.90%,199.5MiB / 500MiB,otel-collector,542MB / 339MB,23,952522089,0
471.569262,20.5kB / 875MB,34.64%,otel-collector,7e4b12d0eb73,40.20%,201MiB / 500MiB,otel-collector,554MB / 347MB,23,975151333,0
481.536106,20.5kB / 899MB,31.35%,otel-collector,7e4b12d0eb73,40.45%,202.2MiB / 500MiB,otel-collector,566MB / 354MB,23,993743442,0
491.535119,20.5kB / 922MB,30.78%,otel-collector,7e4b12d0eb73,40.14%,200.7MiB / 500MiB,otel-collector,576MB / 360MB,23,1012709806,0
501.532191,20.5kB / 945MB,27.34%,otel-collector,7e4b12d0eb73,40.49%,202.4MiB / 500MiB,otel-collector,587MB / 367MB,23,1032002136,0
511.533613,20.5kB / 967MB,30.16%,otel-collector,7e4b12d0eb73,39.72%,198.6MiB / 500MiB,otel-collector,599MB / 375MB,23,1052986386,0
521.549654,20.5kB / 989MB,33.05%,otel-collector,7e4b12d0eb73,40.24%,201.2MiB / 500MiB,otel-collector,611MB / 382MB,23,1074810733,0
531.546028,20.5kB / 1.01GB,28.55%,otel-collector,7e4b12d0eb73,40.16%,200.8MiB / 500MiB,otel-collector,624MB / 390MB,23,1097808446,0
