TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.538206,4.1kB / 0B,37.78%,otel-collector,dd1ce2810dce,27.32%,136.6MiB / 500MiB,otel-collector,10.6MB / 7.98MB,22,19887056,7557413
21.534627,4.1kB / 0B,35.00%,otel-collector,dd1ce2810dce,29.40%,147MiB / 500MiB,otel-collector,23.2MB / 18.8MB,22,40503319,23860073
31.533337,4.1kB / 0B,34.86%,otel-collector,dd1ce2810dce,32.87%,164.3MiB / 500MiB,otel-collector,35.5MB / 29.3MB,22,62043663,38441200
41.551932,4.1kB / 0B,45.12%,otel-collector,dd1ce2810dce,34.41%,172.1MiB / 500MiB,otel-collector,48.8MB / 41.3MB,22,84292327,55576497
51.542578,4.1kB / 13.3MB,33.06%,otel-collector,dd1ce2810dce,34.08%,170.4MiB / 500MiB,otel-collector,61.6MB / 52.4MB,22,106373764,72099593
61.533517,4.1kB / 29.6MB,26.51%,otel-collector,dd1ce2810dce,35.68%,178.4MiB / 500MiB,otel-collector,70.5MB / 60.8MB,22,122294068,85103401
71.551438,8.19kB / 65.3MB,35.30%,otel-collector,dd1ce2810dce,36.04%,180.2MiB / 500MiB,otel-collector,83MB / 71.4MB,22,143863326,99953459
81.527724,8.19kB / 101MB,51.93%,otel-collector,dd1ce2810dce,36.15%,180.8MiB / 500MiB,otel-collector,95.3MB / 82MB,22,164372133,114995688
91.532452,8.19kB / 145MB,34.16%,otel-collector,dd1ce2810dce,35.61%,178.1MiB / 500MiB,otel-collector,108MB / 92.7MB,22,185722270,131176450
101.562455,8.19kB / 168MB,52.74%,otel-collector,dd1ce2810dce,36.77%,183.8MiB / 500MiB,otel-collector,120MB / 104MB,22,207427675,148113076
111.542486,8.19kB / 210MB,35.34%,otel-collector,dd1ce2810dce,35.56%,177.8MiB / 500MiB,otel-collector,133MB / 115MB,22,229313904,163954011
121.536405,8.19kB / 230MB,48.33%,otel-collector,dd1ce2810dce,35.06%,175.3MiB / 500MiB,otel-collector,143MB / 125MB,22,246848901,180638166
131.538986,12.3kB / 262MB,42.43%,otel-collector,dd1ce2810dce,36.83%,184.1MiB / 500MiB,otel-collector,155MB / 134MB,22,265890531,192167967
141.556417,12.3kB / 306MB,53.28%,otel-collector,dd1ce2810dce,36.06%,180.3MiB / 500MiB,otel-collector,166MB / 144MB,22,285826700,206290459
151.531782,12.3kB / 354MB,32.89%,otel-collector,dd1ce2810dce,38.04%,190.2MiB / 500MiB,otel-collector,178MB / 154MB,22,304889563,223188026
161.556980,12.3kB / 389MB,63.09%,otel-collector,dd1ce2810dce,36.90%,184.5MiB / 500MiB,otel-collector,190MB / 164MB,22,325823227,236648626
171.540487,12.3kB / 411MB,58.81%,otel-collector,dd1ce2810dce,38.01%,190MiB / 500MiB,otel-collector,202MB / 175MB,22,348466433,253489928
181.528623,12.3kB / 456MB,62.06%,otel-collector,dd1ce2810dce,36.08%,180.4MiB / 500MiB,otel-collector,215MB / 187MB,22,369961987,269553245
191.547140,16.4kB / 492MB,45.42%,otel-collector,dd1ce2810dce,36.13%,180.7MiB / 500MiB,otel-collector,225MB / 195MB,22,386771723,283907885
201.525291,16.4kB / 524MB,36.93%,otel-collector,dd1ce2810dce,37.23%,186.2MiB / 500MiB,otel-collector,236MB / 205MB,22,405712916,297277912
211.533696,16.4kB / 560MB,80.97%,otel-collector,dd1ce2810dce,35.74%,178.7MiB / 500MiB,otel-collector,248MB / 216MB,22,427435854,312770372
221.538784,16.4kB / 582MB,79.61%,otel-collector,dd1ce2810dce,36.75%,183.8MiB / 500MiB,otel-collector,261MB / 226MB,22,448071528,329833963
231.557317,16.4kB / 636MB,63.54%,otel-collector,dd1ce2810dce,37.28%,186.4MiB / 500MiB,otel-collector,272MB / 237MB,22,469181285,343438924
241.565762,16.4kB / 675MB,56.42%,otel-collector,dd1ce2810dce,36.81%,184MiB / 500MiB,otel-collector,285MB / 247MB,22,489760246,359157844
251.532739,20.5kB / 713MB,55.13%,otel-collector,dd1ce2810dce,36.85%,184.2MiB / 500MiB,otel-collector,296MB / 258MB,22,509527358,375345491
261.547545,20.5kB / 713MB,52.34%,otel-collector,dd1ce2810dce,36.58%,182.9MiB / 500MiB,otel-collector,305MB / 266MB,22,525486511,388362787
271.536827,20.5kB / 743MB,54.82%,otel-collector,dd1ce2810dce,36.48%,182.4MiB / 500MiB,otel-collector,316MB / 276MB,22,544625645,402865857
281.548579,20.5kB / 796MB,81.56%,otel-collector,dd1ce2810dce,36.89%,184.5MiB / 500MiB,otel-collector,329MB / 286MB,22,566420058,416455026
291.536459,20.5kB / 816MB,55.09%,otel-collector,dd1ce2810dce,37.85%,189.3MiB / 500MiB,otel-collector,340MB / 296MB,22,585099755,430795480
301.543917,20.5kB / 871MB,63.46%,otel-collector,dd1ce2810dce,37.21%,186MiB / 500MiB,otel-collector,353MB / 307MB,22,607248946,446790640
311.545662,24.6kB / 911MB,66.97%,otel-collector,dd1ce2810dce,37.45%,187.2MiB / 500MiB,otel-collector,365MB / 317MB,22,628268585,463184801
321.551093,24.6kB / 950MB,25.54%,otel-collector,dd1ce2810dce,36.04%,180.2MiB / 500MiB,otel-collector,375MB / 327MB,22,645839663,479894262
331.574433,24.6kB / 968MB,37.83%,otel-collector,dd1ce2810dce,35.86%,179.3MiB / 500MiB,otel-collector,386MB / 336MB,22,664532126,491476244
341.535603,24.6kB / 1.02GB,57.91%,otel-collector,dd1ce2810dce,36.92%,184.6MiB / 500MiB,otel-collector,397MB / 345MB,22,683098308,505306886
351.556740,24.6kB / 1.04GB,36.40%,otel-collector,dd1ce2810dce,37.83%,189.2MiB / 500MiB,otel-collector,409MB / 356MB,22,703890497,522023323
361.534329,24.6kB / 1.08GB,54.98%,otel-collector,dd1ce2810dce,37.31%,186.6MiB / 500MiB,otel-collector,422MB / 367MB,22,725851318,537632214
371.536746,28.7kB / 1.12GB,66.05%,otel-collector,dd1ce2810dce,37.42%,187.1MiB / 500MiB,otel-collector,434MB / 378MB,22,747218536,553745532
381.535879,28.7kB / 1.16GB,50.52%,otel-collector,dd1ce2810dce,37.42%,187.1MiB / 500MiB,otel-collector,446MB / 389MB,22,768315891,569417201
391.536562,28.7kB / 1.19GB,34.15%,otel-collector,dd1ce2810dce,37.13%,185.6MiB / 500MiB,otel-collector,456MB / 397MB,22,784555734,583100200
401.549581,28.7kB / 1.21GB,55.37%,otel-collector,dd1ce2810dce,37.36%,186.8MiB / 500MiB,otel-collector,466MB / 406MB,22,801765234,595338217
411.555170,28.7kB / 1.23GB,29.92%,otel-collector,dd1ce2810dce,38.32%,191.6MiB / 500MiB,otel-collector,477MB / 415MB,22,820297751,607796275
421.560940,28.7kB / 1.26GB,39.95%,otel-collector,dd1ce2810dce,37.89%,189.4MiB / 500MiB,otel-collector,486MB / 424MB,22,838179666,621852239
431.542236,32.8kB / 1.29GB,57.97%,otel-collector,dd1ce2810dce,37.48%,187.4MiB / 500MiB,otel-collector,499MB / 434MB,22,858809109,635994197
