TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.580669,8.19kB / 0B,24.86%,otel-collector,f94a496ae1a5,29.92%,149.6MiB / 500MiB,otel-collector,9MB / 7.98MB,22,16101690,11137198
21.545796,8.19kB / 0B,31.04%,otel-collector,f94a496ae1a5,34.04%,170.2MiB / 500MiB,otel-collector,17MB / 15.6MB,22,29891427,23514460
31.536168,8.19kB / 0B,25.03%,otel-collector,f94a496ae1a5,36.78%,183.9MiB / 500MiB,otel-collector,25.9MB / 24.5MB,22,44444369,38502342
41.571491,8.19kB / 0B,25.41%,otel-collector,f94a496ae1a5,38.53%,192.7MiB / 500MiB,otel-collector,35.4MB / 33.3MB,22,60481847,52646427
51.563863,8.19kB / 0B,27.34%,otel-collector,f94a496ae1a5,39.79%,198.9MiB / 500MiB,otel-collector,44.6MB / 41.8MB,22,75379998,67117990
61.530732,8.19kB / 17.1MB,26.64%,otel-collector,f94a496ae1a5,38.85%,194.3MiB / 500MiB,otel-collector,54.5MB / 51.7MB,22,92285475,83252478
71.532778,12.3kB / 50.7MB,11.97%,otel-collector,f94a496ae1a5,38.72%,193.6MiB / 500MiB,otel-collector,64.4MB / 61MB,22,109328056,99301670
81.547087,12.3kB / 70MB,24.16%,otel-collector,f94a496ae1a5,39.61%,198MiB / 500MiB,otel-collector,73.4MB / 70.2MB,22,123994879,115476222
91.535125,12.3kB / 100MB,19.15%,otel-collector,f94a496ae1a5,38.56%,192.8MiB / 500MiB,otel-collector,81.5MB / 77.8MB,22,138730599,128043554
101.577168,12.3kB / 128MB,36.85%,otel-collector,f94a496ae1a5,39.74%,198.7MiB / 500MiB,otel-collector,91MB / 86.8MB,22,154209473,141334946
111.526951,12.3kB / 160MB,39.81%,otel-collector,f94a496ae1a5,37.92%,189.6MiB / 500MiB,otel-collector,100MB / 95.9MB,22,169254292,157411051
121.559476,12.3kB / 193MB,43.84%,otel-collector,f94a496ae1a5,38.77%,193.9MiB / 500MiB,otel-collector,110MB / 105MB,22,185446423,172382781
131.537902,16.4kB / 228MB,33.16%,otel-collector,f94a496ae1a5,40.45%,202.3MiB / 500MiB,otel-collector,120MB / 114MB,22,202630972,188427330
141.533015,16.4kB / 271MB,31.86%,otel-collector,f94a496ae1a5,38.32%,191.6MiB / 500MiB,otel-collector,130MB / 124MB,22,220443998,205574006
151.533121,16.4kB / 299MB,30.00%,otel-collector,f94a496ae1a5,39.43%,197.2MiB / 500MiB,otel-collector,138MB / 132MB,22,233087699,219959216
161.538154,16.4kB / 316MB,33.27%,otel-collector,f94a496ae1a5,38.59%,193MiB / 500MiB,otel-collector,147MB / 141MB,22,248390833,233165448
171.537414,16.4kB / 332MB,34.07%,otel-collector,f94a496ae1a5,38.94%,194.7MiB / 500MiB,otel-collector,156MB / 150MB,22,264188308,248312610
181.536982,16.4kB / 381MB,35.94%,otel-collector,f94a496ae1a5,38.27%,191.3MiB / 500MiB,otel-collector,165MB / 159MB,22,280396172,264203169
191.555740,16.4kB / 417MB,35.98%,otel-collector,f94a496ae1a5,40.15%,200.8MiB / 500MiB,otel-collector,175MB / 168MB,22,297705187,280196007
201.567096,16.4kB / 453MB,42.69%,otel-collector,f94a496ae1a5,39.29%,196.4MiB / 500MiB,otel-collector,185MB / 178MB,22,313535394,296291378
211.531724,16.4kB / 484MB,34.34%,otel-collector,f94a496ae1a5,40.12%,200.6MiB / 500MiB,otel-collector,193MB / 186MB,22,327346767,311686128
221.536993,16.4kB / 513MB,29.40%,otel-collector,f94a496ae1a5,37.87%,189.4MiB / 500MiB,otel-collector,202MB / 195MB,22,342731164,325189844
231.525720,16.4kB / 546MB,43.89%,otel-collector,f94a496ae1a5,38.43%,192.2MiB / 500MiB,otel-collector,212MB / 203MB,22,358029386,339792470
241.550132,16.4kB / 546MB,49.13%,otel-collector,f94a496ae1a5,37.81%,189.1MiB / 500MiB,otel-collector,221MB / 212MB,22,374078718,355406790
251.531569,20.5kB / 580MB,35.39%,otel-collector,f94a496ae1a5,37.70%,188.5MiB / 500MiB,otel-collector,229MB / 221MB,23,388783257,371006424
261.576279,20.5kB / 612MB,43.09%,otel-collector,f94a496ae1a5,38.72%,193.6MiB / 500MiB,otel-collector,239MB / 231MB,23,405992593,386837240
271.558769,20.5kB / 669MB,55.75%,otel-collector,f94a496ae1a5,38.18%,190.9MiB / 500MiB,otel-collector,250MB / 241MB,23,423275795,404160660
281.564220,20.5kB / 702MB,33.17%,otel-collector,f94a496ae1a5,38.85%,194.3MiB / 500MiB,otel-collector,258MB / 249MB,23,437340068,417821019
291.533816,20.5kB / 731MB,32.56%,otel-collector,f94a496ae1a5,38.13%,190.6MiB / 500MiB,otel-collector,267MB / 257MB,23,451335549,432683253
301.537038,20.5kB / 762MB,33.84%,otel-collector,f94a496ae1a5,37.97%,189.9MiB / 500MiB,otel-collector,275MB / 265MB,23,466703119,446141312
311.544293,28.7kB / 762MB,44.60%,otel-collector,f94a496ae1a5,38.19%,191MiB / 500MiB,otel-collector,285MB / 274MB,23,482979109,461863124
321.552286,28.7kB / 795MB,38.37%,otel-collector,f94a496ae1a5,38.65%,193.2MiB / 500MiB,otel-collector,295MB / 284MB,23,499977678,478710518
331.534688,28.7kB / 831MB,34.43%,otel-collector,f94a496ae1a5,38.47%,192.4MiB / 500MiB,otel-collector,304MB / 293MB,23,516201319,494931477
341.538478,28.7kB / 864MB,52.37%,otel-collector,f94a496ae1a5,39.01%,195.1MiB / 500MiB,otel-collector,314MB / 303MB,23,532281866,509683788
351.534758,28.7kB / 901MB,35.32%,otel-collector,f94a496ae1a5,38.06%,190.3MiB / 500MiB,otel-collector,322MB / 311MB,23,546120112,523054323
361.534526,28.7kB / 930MB,33.35%,otel-collector,f94a496ae1a5,38.49%,192.4MiB / 500MiB,otel-collector,330MB / 319MB,23,560605003,538289832
371.569884,32.8kB / 960MB,36.86%,otel-collector,f94a496ae1a5,39.13%,195.7MiB / 500MiB,otel-collector,340MB / 327MB,23,576909134,552769586
381.544708,32.8kB / 994MB,28.48%,otel-collector,f94a496ae1a5,39.45%,197.3MiB / 500MiB,otel-collector,349MB / 336MB,23,591941014,568057934
391.541811,32.8kB / 1.03GB,55.28%,otel-collector,f94a496ae1a5,39.16%,195.8MiB / 500MiB,otel-collector,358MB / 346MB,23,608251313,584752499
401.573180,32.8kB / 1.06GB,28.60%,otel-collector,f94a496ae1a5,39.44%,197.2MiB / 500MiB,otel-collector,367MB / 354MB,23,623411972,599103539
411.558632,32.8kB / 1.09GB,45.34%,otel-collector,f94a496ae1a5,38.85%,194.3MiB / 500MiB,otel-collector,375MB / 362MB,23,635797573,613376644
421.579631,32.8kB / 1.11GB,32.42%,otel-collector,f94a496ae1a5,38.94%,194.7MiB / 500MiB,otel-collector,383MB / 370MB,23,649525298,624827743
431.542815,32.8kB / 1.14GB,58.74%,otel-collector,f94a496ae1a5,38.64%,193.2MiB / 500MiB,otel-collector,392MB / 379MB,23,666129010,638733330
