TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.540098,8.19kB / 0B,9.61%,otel-collector,b463f44a9a74,19.34%,96.68MiB / 500MiB,otel-collector,9.91MB / 6.96MB,20,0,0
21.534287,8.19kB / 0B,12.04%,otel-collector,b463f44a9a74,20.64%,103.2MiB / 500MiB,otel-collector,17.6MB / 11.4MB,20,0,0
31.534377,8.19kB / 0B,13.41%,otel-collector,b463f44a9a74,23.81%,119.1MiB / 500MiB,otel-collector,26.6MB / 16.5MB,21,0,0
41.574837,8.19kB / 0B,12.46%,otel-collector,b463f44a9a74,24.73%,123.7MiB / 500MiB,otel-collector,36.3MB / 22.5MB,21,0,0
51.534483,8.19kB / 0B,16.35%,otel-collector,b463f44a9a74,24.93%,124.7MiB / 500MiB,otel-collector,44.8MB / 27.4MB,21,0,0
61.536943,8.19kB / 0B,10.97%,otel-collector,b463f44a9a74,24.05%,120.2MiB / 500MiB,otel-collector,53.8MB / 32.6MB,21,0,0
71.532508,12.3kB / 0B,12.24%,otel-collector,b463f44a9a74,26.37%,131.8MiB / 500MiB,otel-collector,63.4MB / 38.6MB,21,0,0
81.536168,12.3kB / 0B,7.94%,otel-collector,b463f44a9a74,25.82%,129.1MiB / 500MiB,otel-collector,71.1MB / 43.4MB,21,0,0
91.534715,12.3kB / 0B,12.87%,otel-collector,b463f44a9a74,25.38%,126.9MiB / 500MiB,otel-collector,80.2MB / 48.4MB,21,0,0
101.580685,12.3kB / 0B,12.60%,otel-collector,b463f44a9a74,25.77%,128.9MiB / 500MiB,otel-collector,88.6MB / 53.8MB,21,0,0
111.605689,12.3kB / 0B,7.48%,otel-collector,b463f44a9a74,23.90%,119.5MiB / 500MiB,otel-collector,97.2MB / 58.8MB,22,0,0
121.535736,12.3kB / 0B,15.19%,otel-collector,b463f44a9a74,25.56%,127.8MiB / 500MiB,otel-collector,106MB / 63.7MB,22,0,0
131.550173,12.3kB / 0B,13.14%,otel-collector,b463f44a9a74,23.78%,118.9MiB / 500MiB,otel-collector,115MB / 69.1MB,22,0,0
