TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.545297,16.4kB / 0B,42.01%,otel-collector,ec9b10ca9b3b,31.50%,157.5MiB / 500MiB,otel-collector,10.2MB / 8.86MB,22,18438109,16339692
21.561531,16.4kB / 0B,36.51%,otel-collector,ec9b10ca9b3b,37.05%,185.2MiB / 500MiB,otel-collector,22.2MB / 22.3MB,22,38728147,44136192
31.531344,16.4kB / 0B,31.42%,otel-collector,ec9b10ca9b3b,37.16%,185.8MiB / 500MiB,otel-collector,33.3MB / 34.6MB,22,57445113,73712030
41.538430,16.4kB / 30.1MB,46.45%,otel-collector,ec9b10ca9b3b,37.54%,187.7MiB / 500MiB,otel-collector,45.6MB / 48.1MB,22,77836668,102811317
51.534401,16.4kB / 87.2MB,44.29%,otel-collector,ec9b10ca9b3b,37.74%,188.7MiB / 500MiB,otel-collector,57.9MB / 61.7MB,22,98810089,133744564
61.534723,16.4kB / 114MB,31.52%,otel-collector,ec9b10ca9b3b,36.03%,180.1MiB / 500MiB,otel-collector,68MB / 73.6MB,23,115701873,164299837
71.557834,20.5kB / 160MB,39.43%,otel-collector,ec9b10ca9b3b,37.56%,187.8MiB / 500MiB,otel-collector,79MB / 84.9MB,23,134613137,187835515
81.549211,20.5kB / 209MB,37.85%,otel-collector,ec9b10ca9b3b,37.66%,188.3MiB / 500MiB,otel-collector,90.5MB / 97.5MB,23,154024971,217274104
91.535401,20.5kB / 267MB,63.92%,otel-collector,ec9b10ca9b3b,36.45%,182.2MiB / 500MiB,otel-collector,101MB / 110MB,23,172969380,246551608
101.551569,20.5kB / 317MB,59.37%,otel-collector,ec9b10ca9b3b,38.50%,192.5MiB / 500MiB,otel-collector,114MB / 123MB,23,193058268,275839393
111.586915,20.5kB / 375MB,50.68%,otel-collector,ec9b10ca9b3b,38.59%,192.9MiB / 500MiB,otel-collector,127MB / 137MB,23,214997093,307474131
121.552369,20.5kB / 431MB,58.16%,otel-collector,ec9b10ca9b3b,37.48%,187.4MiB / 500MiB,otel-collector,138MB / 151MB,23,233713949,337078795
131.530186,24.6kB / 431MB,48.90%,otel-collector,ec9b10ca9b3b,39.07%,195.3MiB / 500MiB,otel-collector,148MB / 161MB,23,250622748,362372309
141.545362,24.6kB / 498MB,54.47%,otel-collector,ec9b10ca9b3b,37.76%,188.8MiB / 500MiB,otel-collector,159MB / 174MB,23,269211272,391274232
151.620208,24.6kB / 557MB,66.16%,otel-collector,ec9b10ca9b3b,39.68%,198.4MiB / 500MiB,otel-collector,171MB / 187MB,23,289651669,420070536
161.534531,24.6kB / 611MB,55.58%,otel-collector,ec9b10ca9b3b,38.68%,193.4MiB / 500MiB,otel-collector,182MB / 199MB,23,307533543,447449144
171.535645,24.6kB / 664MB,64.73%,otel-collector,ec9b10ca9b3b,39.17%,195.9MiB / 500MiB,otel-collector,194MB / 212MB,23,328606895,476429366
181.546030,24.6kB / 700MB,55.34%,otel-collector,ec9b10ca9b3b,39.04%,195.2MiB / 500MiB,otel-collector,206MB / 226MB,23,349599408,508500831
191.548938,28.7kB / 742MB,54.81%,otel-collector,ec9b10ca9b3b,39.55%,197.7MiB / 500MiB,otel-collector,218MB / 239MB,23,367695327,539582327
201.533600,28.7kB / 792MB,68.30%,otel-collector,ec9b10ca9b3b,39.35%,196.8MiB / 500MiB,otel-collector,228MB / 250MB,23,384992131,564835120
211.537682,28.7kB / 848MB,54.57%,otel-collector,ec9b10ca9b3b,38.89%,194.4MiB / 500MiB,otel-collector,240MB / 263MB,23,404105646,591480700
221.562749,28.7kB / 903MB,62.75%,otel-collector,ec9b10ca9b3b,39.57%,197.8MiB / 500MiB,otel-collector,252MB / 276MB,23,425679238,624299278
