TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.538869,12.3kB / 0B,27.51%,otel-collector,2b6b17a10381,24.79%,123.9MiB / 500MiB,otel-collector,5.82MB / 4.47MB,21,10833387,10874030
21.532638,12.3kB / 0B,11.56%,otel-collector,2b6b17a10381,31.26%,156.3MiB / 500MiB,otel-collector,11.9MB / 10.8MB,22,22276996,28721578
31.538938,12.3kB / 64MB,53.25%,otel-collector,2b6b17a10381,35.85%,179.2MiB / 500MiB,otel-collector,20.4MB / 18.9MB,22,37842917,51753349
41.543569,12.3kB / 102MB,21.92%,otel-collector,2b6b17a10381,36.90%,184.5MiB / 500MiB,otel-collector,29.7MB / 32MB,23,52526663,73407096
51.568262,12.3kB / 102MB,78.84%,otel-collector,2b6b17a10381,39.46%,197.3MiB / 500MiB,otel-collector,44MB / 42.8MB,23,72607763,99053858
61.578048,12.3kB / 172MB,36.61%,otel-collector,2b6b17a10381,38.24%,191.2MiB / 500MiB,otel-collector,53.2MB / 52.5MB,23,87364961,120826982
71.531731,12.3kB / 189MB,33.15%,otel-collector,2b6b17a10381,39.75%,198.7MiB / 500MiB,otel-collector,62.3MB / 62.4MB,23,103564901,145813372
81.543499,12.3kB / 232MB,41.28%,otel-collector,2b6b17a10381,38.85%,194.2MiB / 500MiB,otel-collector,72.7MB / 73.2MB,23,120488581,168434216
91.536036,12.3kB / 294MB,44.15%,otel-collector,2b6b17a10381,37.78%,188.9MiB / 500MiB,otel-collector,82.7MB / 84MB,23,137653040,194291833
101.538025,12.3kB / 341MB,32.84%,otel-collector,2b6b17a10381,37.56%,187.8MiB / 500MiB,otel-collector,93MB / 95.6MB,23,155231037,222046077
111.532118,12.3kB / 373MB,29.12%,otel-collector,2b6b17a10381,38.95%,194.8MiB / 500MiB,otel-collector,100MB / 104MB,23,167644591,241171236
121.547478,12.3kB / 405MB,41.43%,otel-collector,2b6b17a10381,39.03%,195.1MiB / 500MiB,otel-collector,110MB / 113MB,23,183614737,264924926
131.549783,16.4kB / 450MB,63.19%,otel-collector,2b6b17a10381,39.30%,196.5MiB / 500MiB,otel-collector,121MB / 124MB,23,202328197,288787011
141.533708,16.4kB / 493MB,45.52%,otel-collector,2b6b17a10381,39.83%,199.1MiB / 500MiB,otel-collector,133MB / 139MB,23,220705206,317395586
151.539944,16.4kB / 559MB,56.54%,otel-collector,2b6b17a10381,38.90%,194.5MiB / 500MiB,otel-collector,146MB / 153MB,23,241042263,347017520
161.532883,16.4kB / 609MB,59.18%,otel-collector,2b6b17a10381,38.10%,190.5MiB / 500MiB,otel-collector,157MB / 167MB,23,258688588,376042133
171.542420,16.4kB / 633MB,53.96%,otel-collector,2b6b17a10381,38.67%,193.4MiB / 500MiB,otel-collector,167MB / 178MB,23,275301746,402730958
181.530581,16.4kB / 677MB,49.31%,otel-collector,2b6b17a10381,37.96%,189.8MiB / 500MiB,otel-collector,177MB / 188MB,23,290276504,423255721
191.542151,20.5kB / 721MB,27.67%,otel-collector,2b6b17a10381,38.76%,193.8MiB / 500MiB,otel-collector,187MB / 199MB,23,306967505,449021265
201.542766,20.5kB / 763MB,41.07%,otel-collector,2b6b17a10381,39.46%,197.3MiB / 500MiB,otel-collector,197MB / 211MB,23,324375291,473723395
211.532633,20.5kB / 809MB,68.33%,otel-collector,2b6b17a10381,38.36%,191.8MiB / 500MiB,otel-collector,208MB / 223MB,23,340608738,499317895
221.538248,20.5kB / 850MB,63.58%,otel-collector,2b6b17a10381,39.81%,199MiB / 500MiB,otel-collector,219MB / 234MB,23,358516569,526708818
231.533241,20.5kB / 902MB,59.70%,otel-collector,2b6b17a10381,38.26%,191.3MiB / 500MiB,otel-collector,229MB / 246MB,23,376774541,552073421
241.557343,20.5kB / 942MB,36.74%,otel-collector,2b6b17a10381,39.72%,198.6MiB / 500MiB,otel-collector,239MB / 256MB,23,391557042,576034483
251.541750,28.7kB / 985MB,74.28%,otel-collector,2b6b17a10381,40.21%,201.1MiB / 500MiB,otel-collector,249MB / 268MB,23,407312738,598850541
261.541416,28.7kB / 1GB,60.72%,otel-collector,2b6b17a10381,38.77%,193.9MiB / 500MiB,otel-collector,258MB / 278MB,23,424047190,623657696
271.537068,28.7kB / 1.05GB,65.60%,otel-collector,2b6b17a10381,40.02%,200.1MiB / 500MiB,otel-collector,268MB / 289MB,23,440184811,650490848
281.535053,28.7kB / 1.09GB,66.53%,otel-collector,2b6b17a10381,39.74%,198.7MiB / 500MiB,otel-collector,278MB / 300MB,23,456632827,672181297
291.543579,28.7kB / 1.13GB,66.51%,otel-collector,2b6b17a10381,40.34%,201.7MiB / 500MiB,otel-collector,289MB / 311MB,23,473250899,696364478
301.531689,28.7kB / 1.18GB,39.12%,otel-collector,2b6b17a10381,40.52%,202.6MiB / 500MiB,otel-collector,298MB / 322MB,23,488955641,723685638
311.555708,28.7kB / 1.22GB,56.38%,otel-collector,2b6b17a10381,40.06%,200.3MiB / 500MiB,otel-collector,306MB / 331MB,23,503289431,742641399
321.526841,28.7kB / 1.24GB,50.51%,otel-collector,2b6b17a10381,41.37%,206.9MiB / 500MiB,otel-collector,316MB / 340MB,23,518275894,766252688
