TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.530415,12.3kB / 0B,21.36%,otel-collector,76c46393d7cb,27.16%,135.8MiB / 500MiB,otel-collector,8.15MB / 6.4MB,21,13804743,7485745
21.563033,12.3kB / 0B,24.46%,otel-collector,76c46393d7cb,33.02%,165.1MiB / 500MiB,otel-collector,15.2MB / 14.3MB,22,26633827,21665246
31.533266,12.3kB / 0B,10.45%,otel-collector,76c46393d7cb,36.61%,183MiB / 500MiB,otel-collector,23.2MB / 21.9MB,22,39183292,34742498
41.534624,12.3kB / 15.8MB,23.39%,otel-collector,76c46393d7cb,34.99%,175MiB / 500MiB,otel-collector,31.1MB / 29.9MB,23,52370224,48199114
51.562486,12.3kB / 30.6MB,34.14%,otel-collector,76c46393d7cb,34.13%,170.6MiB / 500MiB,otel-collector,37.3MB / 36.3MB,23,61973185,60982903
61.543769,12.3kB / 66.9MB,24.06%,otel-collector,76c46393d7cb,37.71%,188.6MiB / 500MiB,otel-collector,45.4MB / 43.6MB,23,75649722,72858325
71.538618,16.4kB / 81MB,31.97%,otel-collector,76c46393d7cb,36.54%,182.7MiB / 500MiB,otel-collector,53.2MB / 51.4MB,23,88647718,85808906
81.549334,16.4kB / 109MB,25.47%,otel-collector,76c46393d7cb,38.58%,192.9MiB / 500MiB,otel-collector,61.2MB / 59.6MB,23,101821134,99961792
91.561818,16.4kB / 133MB,18.55%,otel-collector,76c46393d7cb,38.70%,193.5MiB / 500MiB,otel-collector,69.2MB / 67MB,23,115900253,113224385
101.536861,16.4kB / 161MB,45.55%,otel-collector,76c46393d7cb,38.16%,190.8MiB / 500MiB,otel-collector,77.5MB / 75.4MB,23,129307822,127481291
111.531235,16.4kB / 190MB,27.22%,otel-collector,76c46393d7cb,38.27%,191.3MiB / 500MiB,otel-collector,85.2MB / 83.2MB,23,142194331,140810264
121.575285,16.4kB / 216MB,27.98%,otel-collector,76c46393d7cb,38.53%,192.6MiB / 500MiB,otel-collector,91.6MB / 89.9MB,23,153083050,152351046
131.530646,16.4kB / 241MB,20.87%,otel-collector,76c46393d7cb,38.88%,194.4MiB / 500MiB,otel-collector,99.1MB / 97.1MB,23,166262178,164611673
141.536195,16.4kB / 269MB,42.90%,otel-collector,76c46393d7cb,36.80%,184MiB / 500MiB,otel-collector,107MB / 105MB,23,179107260,177838111
151.533649,16.4kB / 298MB,36.14%,otel-collector,76c46393d7cb,38.10%,190.5MiB / 500MiB,otel-collector,115MB / 112MB,23,191613179,190417372
161.541908,16.4kB / 327MB,31.58%,otel-collector,76c46393d7cb,37.26%,186.3MiB / 500MiB,otel-collector,123MB / 120MB,23,206415420,204590518
171.561315,16.4kB / 355MB,38.83%,otel-collector,76c46393d7cb,36.68%,183.4MiB / 500MiB,otel-collector,130MB / 128MB,23,218242929,218363995
181.533310,16.4kB / 380MB,29.87%,otel-collector,76c46393d7cb,37.64%,188.2MiB / 500MiB,otel-collector,137MB / 135MB,23,229112602,230748438
191.564270,20.5kB / 403MB,26.45%,otel-collector,76c46393d7cb,38.78%,193.9MiB / 500MiB,otel-collector,144MB / 141MB,23,240407299,240890862
201.562417,20.5kB / 429MB,54.47%,otel-collector,76c46393d7cb,37.16%,185.8MiB / 500MiB,otel-collector,152MB / 149MB,23,255308874,254514154
211.562636,20.5kB / 462MB,22.87%,otel-collector,76c46393d7cb,36.86%,184.3MiB / 500MiB,otel-collector,160MB / 158MB,23,268470002,269087941
221.533551,20.5kB / 462MB,8.81%,otel-collector,76c46393d7cb,39.43%,197.2MiB / 500MiB,otel-collector,168MB / 165MB,23,282619139,282279952
231.528823,20.5kB / 492MB,25.53%,otel-collector,76c46393d7cb,37.65%,188.2MiB / 500MiB,otel-collector,178MB / 173MB,23,297884676,296194543
241.551005,20.5kB / 522MB,28.53%,otel-collector,76c46393d7cb,36.31%,181.6MiB / 500MiB,otel-collector,186MB / 182MB,23,312627992,311611776
251.529630,20.5kB / 553MB,7.50%,otel-collector,76c46393d7cb,39.54%,197.7MiB / 500MiB,otel-collector,192MB / 189MB,24,321949094,324668023
261.532681,20.5kB / 578MB,39.82%,otel-collector,76c46393d7cb,38.00%,190MiB / 500MiB,otel-collector,200MB / 197MB,24,335290875,336908174
271.538255,20.5kB / 607MB,61.17%,otel-collector,76c46393d7cb,37.46%,187.3MiB / 500MiB,otel-collector,209MB / 205MB,24,350544261,351828632
281.593861,20.5kB / 653MB,41.90%,otel-collector,76c46393d7cb,37.76%,188.8MiB / 500MiB,otel-collector,216MB / 213MB,24,363396346,365779235
291.533706,20.5kB / 662MB,58.90%,otel-collector,76c46393d7cb,37.58%,187.9MiB / 500MiB,otel-collector,224MB / 220MB,24,376077345,378633238
301.541316,20.5kB / 703MB,53.48%,otel-collector,76c46393d7cb,38.22%,191.1MiB / 500MiB,otel-collector,231MB / 227MB,24,389915857,390388725
311.530607,24.6kB / 733MB,47.53%,otel-collector,76c46393d7cb,37.34%,186.7MiB / 500MiB,otel-collector,240MB / 235MB,24,402822309,406137255
321.543497,24.6kB / 733MB,42.80%,otel-collector,76c46393d7cb,38.12%,190.6MiB / 500MiB,otel-collector,247MB / 242MB,24,416293471,416366609
