TimeFromStart,BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,FileIn,FileOut
11.576953,27.6MB / 0B,54.97%,otel-collector,770d5699c9c0,52.04%,104.1MiB / 200MiB,otel-collector,4.25MB / 2.62MB,13,6439661,4648676
21.557937,27.7MB / 7.84MB,37.61%,otel-collector,770d5699c9c0,57.47%,114.9MiB / 200MiB,otel-collector,8.4MB / 5.94MB,13,11995272,13266374
31.581683,27.7MB / 22.3MB,48.52%,otel-collector,770d5699c9c0,59.46%,118.9MiB / 200MiB,otel-collector,13.2MB / 9.63MB,15,19173509,21701449
41.565446,27.7MB / 39.9MB,38.45%,otel-collector,770d5699c9c0,58.35%,116.7MiB / 200MiB,otel-collector,18.8MB / 13.7MB,15,27229190,31771390
51.591055,27.8MB / 58.2MB,42.57%,otel-collector,770d5699c9c0,56.74%,113.5MiB / 200MiB,otel-collector,24.1MB / 17.8MB,15,34413237,42297766
61.589806,27.8MB / 74.7MB,45.86%,otel-collector,770d5699c9c0,61.96%,123.9MiB / 200MiB,otel-collector,29.3MB / 21.6MB,15,41739198,51170380
71.566689,27.8MB / 94.9MB,43.05%,otel-collector,770d5699c9c0,52.06%,104.1MiB / 200MiB,otel-collector,35.2MB / 25.9MB,15,50708243,61556826
81.558887,27.8MB / 113MB,53.31%,otel-collector,770d5699c9c0,62.38%,124.8MiB / 200MiB,otel-collector,41MB / 30.5MB,15,59008321,74092908
91.575479,27.8MB / 133MB,54.45%,otel-collector,770d5699c9c0,62.93%,125.9MiB / 200MiB,otel-collector,46.7MB / 34.9MB,15,66923909,85146863
101.570909,27.8MB / 150MB,40.14%,otel-collector,770d5699c9c0,60.23%,120.5MiB / 200MiB,otel-collector,52MB / 38.5MB,15,74529880,94044582
111.572710,28.1MB / 169MB,43.99%,otel-collector,770d5699c9c0,64.93%,129.9MiB / 200MiB,otel-collector,56.9MB / 42.6MB,15,81965553,104131446
